cfYears,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,ft_ftCAPEX_CashFlow,ft_ftCAPEX_depreciation,ft_ftCAPEX_depreciation_tax_credit,ft_ftFOM_CashFlow,ft_ftVOM_CashFlow,ft_co2_shipping_CashFlow,ft_h2_ptc_CashFlow,ft_elec_consumption_ftELEC_CAP_MARKET_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-648429404.037,0.0,0.0,0.0,0.0,0.0,-268473868.537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66015000.0,0.0,0.0,0.0,0.0
1,0.0,-22337752.0279,31729761.4033,-29865200.0,-19205844.0432,-27514448.25,0.0,-9248659.39764,13137300.2807,-21732221.0,-5378564.928,-75922896.0009,650587680.0,-416208.405,39685717.4672,33326260.0246,65047288.3331,34139988.8331,0.0,-2274151.49736,3230328.83147,0.0,0.0
2,0.0,-41536238.8462,59000339.2701,-29865200.0,-19205844.0432,-27514448.25,0.0,-17197546.3452,24428332.8767,-21732221.0,-5378564.928,-75922896.0009,650587680.0,-416208.405,44776610.605,33326260.0246,65047288.3331,34139988.8331,0.0,-4228702.13836,6006679.17381,0.0,0.0
3,0.0,-36585060.6396,51967415.6812,-29865200.0,-19205844.0432,-27514448.25,0.0,-15147574.5847,21516441.1715,-21732221.0,-5378564.928,-75922896.0009,650587680.0,-416208.405,57696913.6785,31152808.2838,68003983.2574,32598182.8858,0.0,-3724634.88405,5290674.55121,0.0,0.0
4,0.0,-32245008.1698,45802568.4231,-29865200.0,-19205844.0432,-27514448.25,0.0,-13350631.5884,18963965.3244,-21732221.0,-5378564.928,-75922896.0009,650587680.0,-416208.405,41158114.3556,25356936.9752,62090593.4089,30395602.961,0.0,-3282784.83529,4663046.64104,0.0,0.0
5,0.0,-28401357.7538,40342837.7185,-29865200.0,-19205844.0432,-27514448.25,0.0,-11759217.4883,16703433.9322,-21732221.0,-5378564.928,-75922896.0009,650587680.0,-416208.405,33878999.2495,24994695.0184,68426368.2465,32157666.9008,0.0,-2891472.25657,4107204.9099,0.0,0.0
6,0.0,-24987799.7047,35494033.6715,-29865200.0,-19205844.0432,-27514448.25,0.0,-10345877.6101,14695848.878,-21732221.0,-5378564.928,-75922896.0009,650587680.0,-416208.405,34875029.4825,24270211.1049,68426368.2465,31717150.9159,0.0,-2543946.32205,3613560.11654,0.0,0.0
7,0.0,-23159334.8875,32896782.5107,-29865200.0,-19205844.0432,-27514448.25,0.0,-9588825.23108,13620490.3851,-21732221.0,-5378564.928,-75922896.0009,650587680.0,-416208.405,42549422.5946,24632453.0616,68848753.2357,31496892.9234,0.0,-2357794.82405,3349140.37507,0.0,0.0
8,0.0,-22665232.8122,32194932.9719,-29865200.0,-19205844.0432,-27514448.25,0.0,-9384248.61136,13329898.5957,-21732221.0,-5378564.928,-75922896.0009,650587680.0,-416208.405,31009194.965,25356936.9752,70115908.2033,31496892.9234,0.0,-2307491.50915,3277686.80277,0.0,0.0
9,0.0,-22219268.4097,31561460.8093,-29865200.0,-19205844.0432,-27514448.25,0.0,-9199602.77694,13067617.5809,-21732221.0,-5378564.928,-75922896.0009,650587680.0,-416208.405,24494528.659,25719178.932,71805448.16,31937408.9083,0.0,-2262088.97212,3213194.56267,0.0,0.0
10,0.0,-21708428.6112,30835836.0954,-29865200.0,-19205844.0432,-27514448.25,0.0,-8988096.11782,12767181.9855,-21732221.0,-5378564.928,-75922896.0009,650587680.0,-416208.405,45472998.8815,26081420.8888,72650218.1383,32377924.8933,0.0,-2210081.63085,3139320.49837,0.0,0.0
11,0.0,-21281290.4267,30229105.7197,-29865200.0,-19205844.0432,-27514448.25,0.0,-8811245.03723,12515973.0642,-21732221.0,-5378564.928,-75922896.0009,0.0,-416208.405,39649339.4754,27530388.716,72650218.1383,32157666.9008,0.0,-2166595.74469,3077550.7737,0.0,0.0
12,0.0,-20792015.5363,29534112.9777,-29865200.0,-19205844.0432,-27514448.25,0.0,-8608667.05145,12228220.2435,-21732221.0,-5378564.928,-75922896.0009,0.0,-416208.405,43821087.5181,27892630.6727,74762143.0842,32818440.8782,0.0,-2116783.8736,3006795.27499,0.0,0.0
13,0.0,-20382908.8282,28952995.4946,-29865200.0,-19205844.0432,-27514448.25,0.0,-8439281.6721,11987616.0115,-21732221.0,-5378564.928,-75922896.0009,0.0,-416208.405,56364364.0075,28617114.5863,75606913.0625,33038698.8707,0.0,-2075133.72761,2947633.13581,0.0,0.0
14,0.0,-19914288.4916,28287341.6074,-29865200.0,-19205844.0432,-27514448.25,0.0,-8245255.43911,11712010.5669,-21732221.0,-5378564.928,-75922896.0009,0.0,-416208.405,41005182.6745,28979356.5431,76451683.0409,33258956.8632,0.0,-2027424.64575,2879864.55363,0.0,0.0
15,0.0,-19522452.0679,27730755.7783,-29865200.0,-19205844.0432,-27514448.25,0.0,-8083020.59926,11481563.3512,-21732221.0,-5378564.928,-75922896.0009,0.0,-416208.405,33837954.7829,29341598.4999,76874068.0301,33258956.8632,0.0,-1987532.74487,2823199.9217,0.0,0.0
16,0.0,-9536807.1805,13546601.1087,-29865200.0,-19205844.0432,-27514448.25,0.0,-3948592.55503,5608796.24294,-21732221.0,-5378564.928,-75922896.0009,0.0,-416208.405,35465637.3666,29341598.4999,77718838.0084,33479214.8556,0.0,-970918.841899,1379146.08224,0.0,0.0
17,0.0,0.0,0.0,-29865200.0,-19205844.0432,-27514448.25,0.0,0.0,0.0,-21732221.0,-5378564.928,-75922896.0009,0.0,-416208.405,42950543.3053,29703840.4567,78985992.976,33919730.8406,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,-29865200.0,-19205844.0432,-27514448.25,0.0,0.0,0.0,-21732221.0,-5378564.928,-75922896.0009,0.0,-416208.405,31318786.1193,30066082.4135,80253147.9435,34360246.8255,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,-29865200.0,-19205844.0432,-27514448.25,0.0,0.0,0.0,-21732221.0,-5378564.928,-75922896.0009,0.0,-416208.405,24587906.5735,30790566.3271,81097917.9218,34580504.818,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,-29865200.0,-19205844.0432,-27514448.25,0.0,0.0,0.0,-21732221.0,-5378564.928,-75922896.0009,0.0,-416208.405,45369078.1647,30790566.3271,81942687.9002,34800762.8105,0.0,0.0,0.0,0.0,0.0
