npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability,prefix
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,3110636000.98,2602972.1675,3110953158.29,3112861092.94,3107776594.4,3107972495.29,3112855486.45,4.0,6775464104780.0,0.125,0.249997869776,0.125,0.00390621671525,5.88667788813e-14,6
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,3009864665.03,1372049.48516,3009432975.75,3011841871.15,3008750837.47,3008815674.38,3011518020.67,4.0,1882519789720.0,0.125,0.250002603607,0.125,0.00390629068136,5.88667788813e-14,11
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2913662180.85,5817784.15079,2914644811.46,2919338368.35,2906020732.13,2906996183.66,2918952495.18,4.0,33846612425100.0,0.25,0.249997869776,0.25,0.015624866861,5.88667788813e-14,32
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2913338709.85,2763194.9317,2913834286.09,2916097544.48,2909588722.75,2910134255.71,2915849357.27,4.0,7635246230590.0,0.125,0.250002130224,0.125,0.00390628328475,5.88667788813e-14,16
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2813817183.39,4902341.49357,2812561165.92,2820750610.41,2809395791.31,2809748617.96,2819644173.27,4.0,24032952119600.0,0.25,0.250002603607,0.25,0.0156251627254,5.88667788813e-14,37
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2813404407.46,1955063.16004,2813281006.51,2815497179.88,2811558436.91,2811614209.7,2815367366.53,4.0,3822271959750.0,0.125,0.125001065112,0.125,0.00195314164237,5.88667788813e-14,21
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2807655985.09,3599875.99797,2806665935.88,2812471755.91,2804820312.67,2804844277.32,2811853761.73,4.0,12959107200700.0,0.25,0.124996331281,0.125,0.00390613535253,5.88667788813e-14,26
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2807189961.65,5985885.59427,2807830354.94,2813559055.25,2799540081.48,2800491483.26,2812991889.44,4.0,35830826347700.0,0.25,0.249997869776,0.125,0.0078124334305,5.88667788813e-14,31
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2719335935.18,3179051.82347,2720161262.3,2722204579.29,2714816636.84,2715559887.87,2721956524.53,4.0,10106370496300.0,0.25,0.250002130224,0.25,0.015625133139,5.88667788813e-14,42
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2717038907.54,10521894.051,2717714319.71,2728845630.73,2703881360.03,2705497654.22,2727634583.83,4.0,110710254422000.0,0.25,0.249997869776,0.25,0.015624866861,5.88667788813e-14,58
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2705607259.42,7046212.00557,2707205543.43,2711724216.54,2696293734.27,2697459981.53,2711516939.68,4.0,49649103627400.0,0.25,0.250002603607,0.125,0.00781258136272,5.88667788813e-14,36
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2618851179.98,10495319.0656,2615872509.54,2633855089.55,2609804611.3,2610460403.28,2631412095.3,4.0,110151722289000.0,0.25,0.250002603607,0.25,0.0156251627254,5.88667788813e-14,63
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2610197445.33,5863164.48734,2608491947.79,2618184896.66,2605620989.07,2605675594.53,2617106992.68,4.0,34376697805600.0,0.25,0.125001065112,0.25,0.0078125665695,5.88667788813e-14,47
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2608176563.21,7123607.44963,2608725236.57,2616031503.75,2599224275.96,2600317521.09,2615267462.64,4.0,50745783096500.0,0.25,0.124996331281,0.25,0.00781227070507,5.88667788813e-14,52
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2605092431.56,5923794.08481,2605450701.78,2610398269.76,2599070052.91,2599351347.97,2610331936.84,4.0,35091336359200.0,0.25,0.250002130224,0.125,0.0078125665695,5.88667788813e-14,41
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2596865263.91,8015282.84815,2598225986.84,2604571536.09,2586437545.86,2587720831.49,2604104684.22,4.0,64244759135900.0,0.25,0.249997869776,0.25,0.015624866861,5.88667788813e-14,57
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2533511577.5,13610795.7395,2530425817.96,2552136419.75,2521058254.31,2521838161.84,2549505056.5,4.0,185253760663000.0,0.25,0.249997869776,0.25,0.015624866861,5.88667788813e-14,84
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2524295096.42,8038061.28591,2524549400.67,2532955059.3,2515126525.06,2515915658.2,2532318508.71,4.0,64610429236100.0,0.25,0.250002130224,0.25,0.015625133139,5.88667788813e-14,68
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2502949767.29,5315816.99239,2504645356.81,2506896915.36,2495611440.2,2496638019.8,2506887689.47,4.0,28257910296600.0,0.25,0.250002603607,0.25,0.0156251627254,5.88667788813e-14,62
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2498580431.2,4462600.53375,2498254935.35,2503653693.02,2494158161.09,2494372454.61,2503244101.99,4.0,19914803523800.0,0.25,0.125001065112,0.125,0.00390628328475,5.88667788813e-14,46
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2455835862.31,5975786.38932,2456679885.32,2461523880.24,2448459798.35,2449231144.49,2461258947.91,4.0,35710022970800.0,0.25,0.249997869776,0.125,0.0078124334305,5.88667788813e-14,56
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2426561512.41,12726492.2859,2421094351.27,2445511825.46,2418545521.65,2418752254.99,2442024795.43,4.0,161963605903000.0,0.25,0.250002603607,0.25,0.0156251627254,5.88667788813e-14,89
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2420885910.06,7537083.49634,2418360447.46,2431920926.11,2414901819.2,2415389501.97,2429917965.78,4.0,56807627630800.0,0.25,0.125001065112,0.25,0.0078125665695,5.88667788813e-14,73
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2412855197.0,7727896.47577,2411373849.05,2423523075.67,2405150014.23,2405949471.86,2421834809.27,4.0,59720383940200.0,0.25,0.124996331281,0.25,0.00781227070507,5.88667788813e-14,78
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2409550971.49,9353178.12352,2410496334.08,2417881238.3,2399329979.51,2400016773.15,2417761662.2,4.0,87481941010300.0,0.25,0.124996331281,0.125,0.00390613535253,5.88667788813e-14,51
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2404208509.41,2303916.48115,2403603631.16,2407298402.57,2402328372.75,2402365592.29,2406898256.08,4.0,5308031152130.0,0.25,0.250002130224,0.25,0.015625133139,5.88667788813e-14,67
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2402964758.0,13618801.5672,2407438621.8,2413529644.22,2383452144.18,2386530225.31,2413135881.37,4.0,185471756126000.0,0.25,0.249997869776,0.25,0.015624866861,5.88667788813e-14,83
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2359024364.66,10670448.2285,2357044686.49,2373471029.83,2348537055.85,2349401760.48,2371418518.3,4.0,113858465396000.0,0.125,0.249997869776,0.125,0.00390621671525,5.88667788813e-14,110
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2349646539.07,5130742.61956,2349541044.47,2355619948.5,2343884118.82,2344396172.63,2355044597.93,4.0,26324519828200.0,0.25,0.250002603607,0.125,0.00781258136272,5.88667788813e-14,61
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2321088216.61,6060387.57047,2320690997.6,2328734125.75,2314236745.51,2314980716.27,2327751823.58,4.0,36728297504300.0,0.25,0.250002130224,0.25,0.015625133139,5.88667788813e-14,94
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2305378522.1,9311246.16731,2301241018.23,2319270482.31,2299761569.63,2299861472.95,2316688076.68,4.0,86699305188200.0,0.25,0.250002603607,0.25,0.0156251627254,5.88667788813e-14,88
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2300222508.51,8191056.90105,2301802830.73,2308397212.62,2288887159.97,2290720075.19,2307512490.73,4.0,67093413156300.0,0.25,0.125001065112,0.25,0.0078125665695,5.88667788813e-14,72
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2255991930.37,12119331.5748,2252512473.95,2273123976.23,2245818797.36,2246355414.95,2270499684.79,4.0,146878197820000.0,0.125,0.250002603607,0.125,0.00390629068136,5.88667788813e-14,115
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2252176628.33,14187111.2918,2257745178.28,2261842053.52,2231374103.24,2234910308.75,2261646977.99,4.0,201274126806000.0,0.125,0.124996331281,0.25,0.00390613535253,5.88667788813e-14,104
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2239634268.17,3292489.26024,2239892393.85,2243363401.93,2235388883.04,2235992592.29,2242914568.09,4.0,10840485528800.0,0.25,0.250002130224,0.125,0.0078125665695,5.88667788813e-14,66
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2232629914.46,16696362.818,2231485520.36,2249386813.91,2218161803.23,2218194369.45,2248667611.22,4.0,278768531350000.0,0.25,0.249997869776,0.25,0.015624866861,5.88667788813e-14,82
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2223555482.62,9353488.33806,2224500057.24,2231545232.41,2213676583.6,2214243429.21,2231545131.57,4.0,87487744090200.0,0.25,0.124996331281,0.25,0.00781227070507,5.88667788813e-14,77
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2219386930.68,7152615.39232,2221642901.31,2225161385.87,2209100534.21,2210765904.15,2224849598.31,4.0,51159906950500.0,0.25,0.125001065112,0.25,0.0078125665695,5.88667788813e-14,99
