npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1300182389.09,13537596.1846,1300182389.09,1309754915.15,1290609863.03,1291567115.63,1308797662.55,2.0,183266510458000.0,0.124993135887,104,0.25,0.00390603549646,1.17734560967e-13,0.125
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1285815416.49,1627369.04535,1285815416.49,1286966140.17,1284664692.8,1284779765.17,1286851067.8,2.0,2648330009780.0,0.249994792742,109,0.25,0.00781233727318,1.17734560967e-13,0.125
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1250450347.73,2470705.41284,1250450347.73,1252197400.28,1248703295.18,1248878000.44,1252022695.03,2.0,6104385237060.0,0.250004260484,114,0.25,0.00781263314013,1.17734560967e-13,0.125
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1184962517.87,4920516.08781,1184962517.87,1188441848.16,1181483187.58,1181831120.61,1188093915.13,2.0,24211478570400.0,0.250005207258,119,0.25,0.00781266272682,1.17734560967e-13,0.125
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1112694243.46,2943739.49241,1112694243.46,1114775781.61,1110612705.3,1110820859.11,1114567627.8,2.0,8665602199170.0,0.125002603629,124,0.25,0.00390633136341,1.17734560967e-13,0.125
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1102376889.77,10456883.6075,1102376889.77,1109771023.08,1094982756.46,1095722169.79,1109031609.75,2.0,109346414781000.0,0.249994792742,108,0.25,0.00781233727318,1.17734560967e-13,0.125
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1098699654.42,10285248.3469,1098699654.42,1105972423.27,1091426885.57,1092154162.45,1105245146.39,2.0,105786333558000.0,0.124993135887,103,0.25,0.00390603549646,1.17734560967e-13,0.125
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1047775721.89,8098113.687,1047775721.89,1053501952.99,1042049490.78,1042622113.89,1052929329.88,2.0,65579445287500.0,0.250004260484,113,0.25,0.00781263314013,1.17734560967e-13,0.125
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1033110990.97,16355382.1317,1033110990.97,1044675992.58,1021545989.35,1022702489.51,1043519492.42,2.0,267498524675000.0,0.249994792742,83,0.25,0.0156246745464,1.17734560967e-13,0.25
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1027621196.17,455378.365671,1027621196.17,1027943197.3,1027299195.04,1027331395.15,1027910997.19,2.0,207369455921.0,0.124993135887,78,0.25,0.00781207099292,1.17734560967e-13,0.25
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,999095656.357,9752290.19115,999095656.357,1005991566.88,992199745.83,992889336.883,1005301975.83,2.0,95107163972400.0,0.250005207258,118,0.25,0.00781266272682,1.17734560967e-13,0.125
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,976894896.867,13530547.1376,976894896.867,986462438.501,967327355.233,968284109.396,985505684.338,2.0,183075705843000.0,0.250004260484,88,0.25,0.0156252662803,1.17734560967e-13,0.25
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,921435392.759,13655116.2802,921435392.759,931091018.079,911779767.44,912745329.971,930125455.547,2.0,186462200626000.0,0.250005207258,93,0.25,0.0156253254536,1.17734560967e-13,0.25
