npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2621431496.08,1132177.1485,2621749874.89,2622303767.47,2619922467.07,2620114097.39,2622303164.44,4.0,1281825095580.0,5.88667788813e-14,0.125,0.249997869776,6,0.125,0.00390621671525
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2520005432.67,1966888.40735,2519373448.01,2522764984.71,2518509849.95,2518535724.26,2522359919.59,4.0,3868650006960.0,5.88667788813e-14,0.125,0.250002603607,11,0.125,0.00390629068136
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2419803873.47,2249233.78116,2420055686.29,2421947029.75,2417157091.54,2417394821.48,2421860387.5,4.0,5059052602310.0,5.88667788813e-14,0.125,0.250002130224,16,0.125,0.00390628328475
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2417665647.82,4721157.0715,2417934998.44,2422883916.76,2411908677.64,2412545351.26,2422408853.51,4.0,22289324093800.0,5.88667788813e-14,0.25,0.249997869776,32,0.25,0.015624866861
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2318725652.14,4386022.93269,2320127543.84,2322248042.58,2312399478.31,2313435300.9,2322053355.02,4.0,19237197166100.0,5.88667788813e-14,0.125,0.124996331281,26,0.25,0.00390613535253
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2317135283.01,2320102.33642,2317966061.44,2318885460.7,2313723548.44,2314332845.46,2318774630.74,4.0,5382874851450.0,5.88667788813e-14,0.125,0.125001065112,21,0.125,0.00195314164237
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2314832782.46,5669800.82626,2314952645.22,2320766758.1,2308659081.31,2309093507.18,2320404249.88,4.0,32146641409400.0,5.88667788813e-14,0.25,0.250002603607,37,0.25,0.0156251627254
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2291714308.36,5915290.36071,2291702063.95,2297970835.66,2285482269.89,2285864213.61,2297581545.3,4.0,34990660051500.0,5.88667788813e-14,0.125,0.249997869776,31,0.25,0.0078124334305
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2221979118.43,4657056.72175,2222635228.06,2226681339.0,2215964678.61,2216707208.54,2226332474.84,4.0,21688177309600.0,5.88667788813e-14,0.25,0.249997869776,58,0.25,0.015624866861
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2211832703.15,5801622.71502,2211144605.08,2219559115.04,2205482487.41,2206323033.07,2218305710.55,4.0,33658826127500.0,5.88667788813e-14,0.25,0.250002130224,42,0.25,0.015625133139
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2190202691.92,4476030.22237,2188974535.96,2196630393.55,2186231302.21,2186640366.15,2195484436.03,4.0,20034846551600.0,5.88667788813e-14,0.125,0.250002603607,36,0.25,0.00781258136272
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2114881196.76,5151930.01231,2114482350.7,2120542117.85,2110017967.78,2110172227.66,2120148550.34,4.0,26542382851800.0,5.88667788813e-14,0.25,0.250002603607,63,0.25,0.0156251627254
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2113687734.09,6366691.53626,2113720470.71,2121433736.63,2105876258.32,2106971943.61,2120357693.31,4.0,40534761117900.0,5.88667788813e-14,0.25,0.124996331281,52,0.25,0.00781227070507
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2108090321.35,5817698.20595,2107565369.96,2115595808.2,2101634737.29,2102341271.0,2114574303.65,4.0,33845612415500.0,5.88667788813e-14,0.25,0.125001065112,47,0.25,0.0078125665695
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2083905330.51,2872098.5062,2084570945.78,2086621992.87,2079857437.62,2080531759.91,2086347039.74,4.0,8248949829340.0,5.88667788813e-14,0.125,0.250002130224,41,0.25,0.0078125665695
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2081328880.86,3107149.36533,2081857318.14,2084471689.85,2077129197.31,2077738350.18,2084179599.35,4.0,9654377178440.0,5.88667788813e-14,0.25,0.249997869776,57,0.25,0.015624866861
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2023643658.99,7448675.20995,2023263671.01,2032252039.03,2015795254.91,2016330153.47,2031489147.67,4.0,55482762383300.0,5.88667788813e-14,0.25,0.249997869776,84,0.25,0.015624866861
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2006149017.72,8472343.3205,2005081829.28,2016254539.57,1998177872.76,1998483201.15,2015308898.12,4.0,71780601340500.0,5.88667788813e-14,0.25,0.250002130224,68,0.25,0.015625133139
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1983630915.03,2930949.70774,1984314444.97,1986168526.12,1979726244.06,1980226194.41,1986078693.73,4.0,8590466189330.0,5.88667788813e-14,0.125,0.125001065112,46,0.25,0.00390628328475
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1977539004.94,7799015.79178,1976894145.94,1986685585.0,1969682142.87,1970125323.31,1985855489.17,4.0,60824647320500.0,5.88667788813e-14,0.25,0.250002603607,62,0.25,0.0156251627254
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1922344246.87,10044689.2782,1921607830.99,1932860837.09,1913300488.42,1913438139.06,1932281336.92,4.0,100895782695000.0,5.88667788813e-14,0.25,0.124996331281,78,0.25,0.00781227070507
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1920891244.19,10568774.4506,1918735674.07,1934680123.2,1911413505.41,1911793682.32,1933006604.22,4.0,111698993389000.0,5.88667788813e-14,0.125,0.249997869776,56,0.25,0.0078124334305
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1914210271.9,4395792.12071,1913542947.79,1919539409.79,1910215782.24,1910336531.85,1919018265.71,4.0,19322988368500.0,5.88667788813e-14,0.25,0.250002603607,89,0.25,0.0156251627254
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1906826536.45,6336400.56141,1903890809.79,1916314988.43,1903209537.77,1903278265.82,1914484824.39,4.0,40149972074600.0,5.88667788813e-14,0.25,0.125001065112,73,0.25,0.0078125665695
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1905547983.94,3251968.62204,1905716658.98,1908391599.52,1902367018.26,1902480268.49,1908379554.32,4.0,10575299918800.0,5.88667788813e-14,0.125,0.124996331281,51,0.25,0.00390613535253
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1873130289.81,5991611.36437,1873601944.06,1878769456.2,1866547814.91,1867004771.68,1878595491.99,4.0,35899406741700.0,5.88667788813e-14,0.25,0.249997869776,83,0.25,0.015624866861
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1872277987.22,4907057.31696,1873826487.17,1876312246.35,1865146728.2,1866389463.09,1875998611.44,4.0,24079211511900.0,5.88667788813e-14,0.25,0.250002130224,67,0.25,0.015625133139
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1848205039.13,9518569.86685,1844538571.31,1862162668.59,1841580345.31,1841759518.25,1859783614.97,4.0,90603172310100.0,5.88667788813e-14,0.125,0.249997869776,110,0.125,0.00390621671525
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1817657672.0,11223136.1446,1817837090.5,1828697850.09,1806258656.92,1806804886.33,1828259271.78,4.0,125958784921000.0,5.88667788813e-14,0.25,0.250002130224,94,0.25,0.015625133139
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1814481499.99,1605996.03184,1814682940.44,1815978401.37,1812581717.71,1812754336.92,1815926646.43,4.0,2579223254290.0,5.88667788813e-14,0.125,0.250002603607,61,0.25,0.00781258136272
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1772581109.74,6358708.4846,1774014134.26,1778656601.91,1763639568.51,1765134856.56,1778021128.58,4.0,40433173592100.0,5.88667788813e-14,0.25,0.250002603607,88,0.25,0.0156251627254
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1770421350.25,8512753.05949,1767496530.77,1782534559.26,1764157780.21,1764257085.44,1780680362.34,4.0,72466964651800.0,5.88667788813e-14,0.25,0.125001065112,72,0.25,0.0078125665695
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1746012002.47,9795483.42458,1750006119.4,1752577846.23,1731457924.83,1734133186.76,1752299054.47,4.0,95951495521300.0,5.88667788813e-14,0.25,0.124996331281,104,0.125,0.00390613535253
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1743047550.94,13137234.8024,1738826887.5,1762124015.11,1732412413.64,1733134697.61,1758869333.08,4.0,172586938253000.0,5.88667788813e-14,0.125,0.250002603607,115,0.125,0.00390629068136
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1716797634.91,6666038.65596,1719899389.97,1720573751.48,1706818008.23,1708731098.77,1720521713.98,4.0,44436071362700.0,5.88667788813e-14,0.25,0.124996331281,77,0.25,0.00781227070507
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1715459641.04,7679292.32195,1717604470.48,1722098122.5,1704531500.7,1706274550.38,1721641970.48,4.0,58971530566000.0,5.88667788813e-14,0.25,0.125001065112,99,0.25,0.0078125665695
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1714110782.68,4110291.99484,1713862709.32,1718776323.71,1709941388.37,1710171320.4,1718397547.66,4.0,16894500282800.0,5.88667788813e-14,0.125,0.250002130224,66,0.25,0.0078125665695
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1705910117.86,7363911.44845,1703890343.38,1716478748.38,1699381036.29,1700010266.93,1714637653.06,4.0,54227191820600.0,5.88667788813e-14,0.25,0.249997869776,82,0.25,0.015624866861
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1679245933.51,6278694.90278,1678469663.02,1687549379.02,1672495028.98,1673222218.68,1686356427.03,4.0,39422009682200.0,5.88667788813e-14,0.25,0.249997869776,109,0.125,0.0078124334305
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1671683761.86,4561869.23844,1671466557.74,1677231906.03,1666570025.93,1667057907.37,1676613702.11,4.0,20810650948600.0,5.88667788813e-14,0.25,0.250002130224,93,0.25,0.015625133139
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1634774976.87,5407307.40906,1633520281.96,1642401745.32,1629657598.26,1630188021.64,1641118504.99,4.0,29238973416000.0,5.88667788813e-14,0.125,0.250002130224,120,0.125,0.00390628328475
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1604580942.04,5089634.88611,1604172205.11,1611125374.35,1598853983.6,1599511349.73,1610222766.06,4.0,25904383273900.0,5.88667788813e-14,0.125,0.125001065112,71,0.25,0.00390628328475
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1599199617.81,10072009.1837,1600982468.63,1607896774.92,1586936759.04,1588143860.85,1607759383.61,4.0,101445368996000.0,5.88667788813e-14,0.25,0.250002603607,87,0.25,0.0156251627254
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1566744742.71,10706796.2267,1565101235.51,1581173286.95,1555603212.88,1556764077.22,1579026318.29,4.0,114635485440000.0,5.88667788813e-14,0.25,0.125001065112,98,0.25,0.0078125665695
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1562429816.7,14541329.7318,1560195966.93,1581046517.66,1548280815.28,1549133774.37,1578853248.71,4.0,211450270370000.0,5.88667788813e-14,0.25,0.250002603607,114,0.125,0.00781258136272
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1529247692.82,16260419.2924,1526718998.29,1550889348.87,1512663425.83,1514126448.46,1547909109.52,4.0,264401235565000.0,5.88667788813e-14,0.125,0.125001065112,125,0.125,0.00195314164237
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1524804086.85,6351807.27686,1524426342.51,1532551087.4,1517812575.0,1518439462.82,1531697552.97,4.0,40345455682400.0,5.88667788813e-14,0.25,0.124996331281,103,0.125,0.00390613535253
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1509569496.15,8488918.30477,1509406887.06,1518636037.84,1500828172.61,1501310558.69,1518056086.31,4.0,72061733985000.0,5.88667788813e-14,0.125,0.124996331281,76,0.25,0.00390613535253
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1505658192.96,5562063.81273,1505277727.76,1512698751.89,1499378564.44,1500064527.69,1511784509.52,4.0,30936553856900.0,5.88667788813e-14,0.125,0.249997869776,81,0.25,0.0078124334305
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1487373814.16,12319044.7328,1485188496.68,1504009505.13,1475108758.15,1476163925.81,1501643146.98,4.0,151758863128000.0,5.88667788813e-14,0.25,0.250002130224,92,0.25,0.015625133139
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1479864649.53,13454046.9747,1479864445.02,1494631321.48,1465098386.6,1466216462.9,1493513122.48,4.0,181011379997000.0,5.88667788813e-14,0.25,0.249997869776,108,0.125,0.0078124334305
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1457348362.79,9332845.53923,1456253388.84,1467780278.64,1449106394.83,1449217078.63,1467012610.48,4.0,87102005859100.0,5.88667788813e-14,0.25,0.250002130224,119,0.125,0.0078125665695
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1408773822.96,6886663.48772,1405808745.33,1419042760.92,1404435040.25,1404572446.72,1417126307.88,4.0,47426133993000.0,5.88667788813e-14,0.125,0.250002603607,86,0.25,0.00781258136272
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1392300156.89,6853507.31187,1393987360.44,1398567081.88,1382658824.8,1384174738.43,1398063490.38,4.0,46970562473800.0,5.88667788813e-14,0.25,0.125001065112,97,0.25,0.0078125665695
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1364089744.22,8188236.22118,1366239460.01,1371338824.46,1352541232.38,1354336553.44,1370833332.88,4.0,67047212413800.0,5.88667788813e-14,0.25,0.250002603607,113,0.125,0.00781258136272
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1358298289.35,13726075.0536,1355397133.83,1377263329.78,1345135559.97,1346257863.51,1374400332.92,4.0,188405136376000.0,5.88667788813e-14,0.25,0.125001065112,124,0.125,0.00390628328475
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1321231784.27,12763469.1687,1319819860.34,1335747157.22,1309540259.19,1309839172.76,1334601089.29,4.0,162906145220000.0,5.88667788813e-14,0.25,0.124996331281,102,0.125,0.00390613535253
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1304399617.91,10656027.6711,1303645671.76,1315661449.79,1294645678.34,1294845715.71,1315009044.73,4.0,113550925728000.0,5.88667788813e-14,0.125,0.250002130224,91,0.25,0.0078125665695
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1280969249.48,9793215.06563,1279323342.34,1293677635.02,1271552678.21,1272117076.35,1292125692.6,4.0,95907061321600.0,5.88667788813e-14,0.25,0.249997869776,107,0.125,0.0078124334305
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1274553288.83,12671991.7601,1279725344.54,1283003966.41,1255758499.84,1259152846.94,1282712852.73,4.0,160579375169000.0,5.88667788813e-14,0.25,0.250002130224,118,0.125,0.0078125665695
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1192970221.8,13119715.6982,1189523053.82,1211567171.14,1181267608.44,1182173594.81,1208592883.97,4.0,172126940002000.0,5.88667788813e-14,0.125,0.125001065112,96,0.25,0.00390628328475
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1165673132.34,6007469.39925,1167014771.61,1171033430.74,1157629555.4,1158681784.91,1170786184.79,4.0,36089688582900.0,5.88667788813e-14,0.25,0.250002603607,112,0.125,0.00781258136272
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1162862521.65,3967746.9963,1161423015.78,1168713653.97,1159890401.08,1160107111.91,1167633239.61,4.0,15743016226600.0,5.88667788813e-14,0.25,0.125001065112,123,0.125,0.00390628328475
