npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,66015.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2894842824.51,3703952.89471,2894842824.51,2897461914.72,2892223734.3,2892485643.32,2897200005.7,2.0,13719267046200.0,0.000685831805822,0.0555555555556,111,0.111104752543,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2876102297.29,841026.067439,2876102297.29,2876696992.53,2875507602.06,2875567071.58,2876637523.01,2.0,707324846112.0,0.000342889928369,0.0555555555556,101,0.0555481683958,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2866660476.98,3050877.55641,2866660476.98,2868817773.19,2864503180.77,2864718910.39,2868602043.57,2.0,9307853864200.0,0.000685883754906,0.0555555555556,121,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,198045.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2841190583.0,1933806.52812,2841190583.0,2842557990.71,2839823175.29,2839959916.07,2842421249.94,2.0,3739607688200.0,0.000685878559998,0.0555555555556,131,0.11111232672,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2810991630.04,6170100.58447,2810991630.04,2815354550.0,2806628710.08,2807065002.07,2814918258.01,2.0,38070141222500.0,0.000685878559998,0.0555555555556,141,0.11111232672,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330074.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2787841203.66,223903.679783,2787841203.66,2787999527.47,2787682879.85,2787698712.24,2787983695.09,2.0,50132857820.3,0.000685883754906,0.0555555555556,151,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2755024526.35,639909.750635,2755024526.35,2755477010.87,2754572041.82,2754617290.27,2755431762.42,2.0,409484488958.0,0.000685883754906,0.0555555555556,161,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,66015.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2750349113.31,4588401.07376,2750349113.31,2753593602.82,2747104623.8,2747429072.75,2753269153.87,2.0,21053424413700.0,0.00137166361164,0.111111111111,212,0.111104752543,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2739597508.46,1708596.99923,2739597508.46,2740805668.99,2738389347.94,2738510163.99,2740684852.93,2.0,2919303705780.0,0.000685779856739,0.111111111111,202,0.0555481683958,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,462104.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2726110009.56,3240653.47613,2726110009.56,2728401497.61,2723818521.51,2724047670.31,2728172348.8,2.0,10501834952400.0,0.000685883754906,0.0555555555556,171,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2720268652.45,2490105.12736,2720268652.45,2722029422.68,2718507882.23,2718683959.26,2721853345.65,2.0,6200623545280.0,0.00137176750981,0.111111111111,222,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2695147262.23,3783053.23832,2695147262.23,2697822284.83,2692472239.63,2692739741.89,2697554782.57,2.0,14311491804000.0,0.000685883754906,0.0555555555556,181,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,198045.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2690937749.11,1642708.78114,2690937749.11,2692099319.63,2689776178.59,2689892335.64,2691983162.58,2.0,2698492139620.0,0.00137175712,0.111111111111,232,0.11111232672,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,66015.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2683891996.85,332724.487146,2683891996.85,2684127268.59,2683656725.11,2683680252.28,2684103741.42,2.0,110705584347.0,0.000685831805822,0.0555555555556,211,0.111104752543,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,594134.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2667634045.78,1704309.03371,2667634045.78,2668839174.25,2666428917.3,2666549430.15,2668718661.4,2.0,2904669282370.0,0.000342941877453,0.0555555555556,191,0.0555565841474,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2667613380.64,5207839.35004,2667613380.64,2671295879.16,2663930882.12,2664299131.97,2670927629.3,2.0,27121590695800.0,0.00137175712,0.111111111111,242,0.11111232672,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2654802325.42,8910514.52007,2654802325.42,2661103010.66,2648501640.18,2649131708.7,2660472942.14,2.0,79397269012500.0,0.000685883754906,0.0555555555556,221,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330074.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2637284621.32,5375296.5872,2637284621.32,2641085529.98,2633483712.65,2633863803.52,2640705439.12,2.0,28893813400300.0,0.00137176750981,0.111111111111,252,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2636143683.91,4657517.30992,2636143683.91,2639437045.99,2632850321.84,2633179658.05,2639107709.78,2.0,21692467492200.0,0.000342889928369,0.0555555555556,201,0.0555481683958,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,198045.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2628023702.05,2662088.26582,2628023702.05,2629906082.71,2626141321.38,2626329559.45,2629717844.65,2.0,7086713935030.0,0.000685878559998,0.0555555555556,231,0.11111232672,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2615056461.92,1425781.23116,2615056461.92,2616064641.5,2614048282.34,2614149100.3,2615963823.54,2.0,2032852119120.0,0.00137176750981,0.111111111111,262,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,66015.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2606562434.73,10471040.2097,2606562434.73,2613966578.27,2599158291.2,2599898705.55,2613226163.92,2.0,109642683073000.0,0.00137166361164,0.111111111111,313,0.111104752543,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2601556199.39,3700019.2543,2601556199.39,2604172508.09,2598939890.68,2599201521.55,2603910877.22,2.0,13690142482200.0,0.000685878559998,0.0555555555556,241,0.11111232672,8.268855378149999e-14,0.111111111111
1193.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2601363083.36,3768581.32697,2601363083.36,2604027872.77,2598698293.94,2598964772.89,2603761393.83,2.0,14202205218000.0,0.000685779856739,0.111111111111,303,0.0555481683958,8.268855378149999e-14,0.111111111111
1193.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2583100825.53,4261375.49451,2583100825.53,2586114073.03,2580087578.02,2580388902.77,2585812748.28,2.0,18159321105200.0,0.00137176750981,0.111111111111,323,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,462104.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2579923160.6,3567408.28086,2579923160.6,2582445699.18,2577400622.01,2577652875.87,2582193445.32,2.0,12726401842400.0,0.00137176750981,0.111111111111,272,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330074.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2569576687.86,9747117.898,2569576687.86,2576468941.02,2562684434.7,2563373660.02,2575779715.71,2.0,95006307317600.0,0.000685883754906,0.0555555555556,251,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2551617755.62,8268388.80297,2551617755.62,2557464389.41,2545771121.83,2546355785.21,2556879726.03,2.0,68366253397000.0,0.00137176750981,0.111111111111,282,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,66015.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2548252195.83,2670638.22572,2548252195.83,2550140622.23,2546363769.43,2546552612.07,2549951779.59,2.0,7132308532690.0,0.00137166361164,0.111111111111,312,0.111104752543,8.268855378149999e-14,0.111111111111
1193.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,198045.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2547542555.77,4908884.83883,2547542555.77,2551013661.52,2544071450.01,2544418560.58,2550666550.95,2.0,24097150360900.0,0.00137175712,0.111111111111,333,0.11111232672,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2535181482.62,1690321.56206,2535181482.62,2536376720.46,2533986244.78,2534105768.56,2536257196.67,2.0,2857186983170.0,0.000685883754906,0.0555555555556,261,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,594134.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2528153715.37,3743704.6806,2528153715.37,2530800914.33,2525506516.4,2525771236.3,2530536194.44,2.0,14015324735600.0,0.000685883754906,0.111111111111,292,0.0555565841474,8.268855378149999e-14,0.111111111111
1193.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2520319917.5,9859232.62808,2520319917.5,2527291447.75,2513348387.25,2514045540.28,2526594294.72,2.0,97204468014500.0,0.00137175712,0.111111111111,343,0.11111232672,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,462104.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2509355761.72,1125899.05089,2509355761.72,2510151892.57,2508559630.87,2508639243.95,2510072279.49,2.0,1267648672800.0,0.000685883754906,0.0555555555556,271,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2507970287.22,1796461.35703,2507970287.22,2509240577.23,2506699997.22,2506827026.22,2509113548.23,2.0,3227273407320.0,0.00137176750981,0.111111111111,322,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330074.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2492884026.65,1504410.91421,2492884026.65,2493947805.81,2491820247.49,2491926625.4,2493841427.89,2.0,2263252198800.0,0.00137176750981,0.111111111111,353,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2488805368.55,5902036.10948,2488805368.55,2492978738.31,2484631998.8,2485049335.77,2492561401.33,2.0,34834030237600.0,0.000685779856739,0.111111111111,302,0.0555481683958,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2488017676.88,1495879.19075,2488017676.88,2489075423.2,2486959930.56,2487065705.19,2488969648.56,2.0,2237654553320.0,0.000685883754906,0.0555555555556,281,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,198045.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2487510001.53,37881.3740059,2487510001.53,2487536787.7,2487483215.35,2487485893.97,2487534109.09,2.0,1434998496.58,0.00137175712,0.111111111111,332,0.11111232672,8.268855378149999e-14,0.111111111111
1193.0,-685.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,66015.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2467927783.26,1117250.88324,2467927783.26,2468717798.93,2467137767.58,2467216769.15,2468638797.37,2.0,1248249536110.0,0.00137166361164,0.111111111111,414,0.111104752543,8.268855378149999e-14,0.111111111111
1193.0,-785.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2465111584.89,1735212.99613,2465111584.89,2466338565.77,2463884604.01,2464007302.1,2466215867.68,2.0,3010964141930.0,0.00137176750981,0.111111111111,363,0.111113168295,8.268855378149999e-14,0.111111111111
1193.0,-985.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,66015.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2461238308.43,7449530.47035,2461238308.43,2466505921.94,2455970694.92,2456497456.27,2465979160.59,2.0,55495504228600.0,0.000685831805822,0.0555555555556,311,0.111104752543,8.268855378149999e-14,0.111111111111
1193.0,-885.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2456540294.66,1482395.83135,2456540294.66,2457588506.8,2455492082.51,2455596903.73,2457483685.59,2.0,2197497400800.0,0.00137175712,0.111111111111,342,0.11111232672,8.268855378149999e-14,0.111111111111
