npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2431039529.48,1120811.61103,2431039529.48,2431832062.97,2430246995.99,2430326249.34,2431752809.62,2.0,1256218667410.0,0.25,0.00781233727318,1.17734560967e-13,31,0.249994792742,0.125
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2413583163.87,9363538.56135,2413583163.87,2420204185.48,2406962142.26,2407624244.42,2419542083.32,2.0,87675854389900.0,0.25,0.00390603549646,1.17734560967e-13,26,0.124993135887,0.125
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2375869258.41,2262828.81636,2375869258.41,2377469320.01,2374269196.81,2374429202.97,2377309313.85,2.0,5120394252150.0,0.25,0.00781263314013,1.17734560967e-13,36,0.250004260484,0.125
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2323212935.49,1962306.49655,2323212935.49,2324600495.72,2321825375.26,2321964131.28,2324461739.7,2.0,3850646786390.0,0.25,0.00781266272682,1.17734560967e-13,41,0.250005207258,0.125
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2261832294.86,6236437.40587,2261832294.86,2266242122.04,2257422467.68,2257863450.4,2265801139.33,2.0,38893151517300.0,0.25,0.00390633136341,1.17734560967e-13,46,0.125002603629,0.125
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2207059434.2,423648.670253,2207059434.2,2207358999.05,2206759869.35,2206789825.84,2207329042.56,2.0,179478195807.0,0.25,0.0156246745464,1.17734560967e-13,57,0.249994792742,0.25
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2183554566.93,5841811.85839,2183554566.93,2187685351.71,2179423782.16,2179836860.63,2187272273.24,2.0,34126765788800.0,0.25,0.00781207099292,1.17734560967e-13,52,0.124993135887,0.25
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2144092064.78,6185826.9609,2144092064.78,2148466104.97,2139718024.59,2140155428.61,2148028700.95,2.0,38264455190200.0,0.25,0.0156252662803,1.17734560967e-13,62,0.250004260484,0.25
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2081023224.22,669497.086628,2081023224.22,2081496630.15,2080549818.29,2080597158.88,2081449289.55,2.0,448226349004.0,0.25,0.0156253254536,1.17734560967e-13,67,0.250005207258,0.25
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2043613454.28,5229170.90729,2043613454.28,2047311036.49,2039915872.07,2040285630.3,2046941278.27,2.0,27344228377700.0,0.25,0.00781233727318,1.17734560967e-13,56,0.249994792742,0.125
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2034464291.9,3380320.21083,2034464291.9,2036854539.25,2032074044.56,2032313069.29,2036615514.51,2.0,11426564727700.0,0.25,0.00781266272682,1.17734560967e-13,72,0.125002603629,0.25
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1991241263.07,5430865.03256,1991241263.07,1995081464.56,1987401061.58,1987785081.73,1994697444.41,2.0,29494295001900.0,0.25,0.00781263314013,1.17734560967e-13,61,0.250004260484,0.125
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1983106263.08,11251450.5855,1983106263.08,1991062240.09,1975150286.07,1975945883.77,1990266642.39,2.0,126595140278000.0,0.25,0.00390603549646,1.17734560967e-13,51,0.124993135887,0.125
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1973455835.71,2175642.78626,1973455835.71,1974994247.47,1971917423.94,1972071265.11,1974840406.3,2.0,4733421533410.0,0.25,0.0156246745464,1.17734560967e-13,83,0.249994792742,0.25
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1948854797.5,2809585.39658,1948854797.5,1950841474.39,1946868120.61,1947066788.3,1950642806.7,2.0,7893770100670.0,0.25,0.00781207099292,1.17734560967e-13,78,0.124993135887,0.25
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1925472797.44,1317604.79566,1925472797.44,1926404484.73,1924541110.16,1924634278.88,1926311316.0,2.0,1736082397540.0,0.25,0.00781266272682,1.17734560967e-13,66,0.250005207258,0.125
