npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight
1193.0,-1178.0,-29603.14,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,100000.0,ref,braidwood,illinois,covid,3742441983.52,226844.663838,3742484674.91,3742663620.34,3742134963.9,3742178329.47,3742645869.61,4.0,51458501511.8,7,0.244938821026,0.475023751188,0.31563421828899996,3.76215239928e-13,0.036724596048800004
1193.0,-1178.0,-29603.14,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,200000.0,ref,braidwood,illinois,covid,3742436851.46,450500.748617,3742320942.79,3743073231.73,3742032288.5,3742063339.76,3742972635.27,4.0,202950924504.0,10,0.244938821026,0.250012500625,0.31563421828899996,3.76215239928e-13,0.0193287347625
1193.0,-1178.0,-29603.14,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,braidwood,illinois,covid,3742127843.19,757.161887903,3742128034.77,3742128510.93,3742126792.28,3742126945.76,3742128472.4,4.0,573294.124493,1,0.244938821026,0.0249762488124,0.31563421828899996,3.76215239928e-13,0.00193094060277
1193.0,-1178.0,-29603.14,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10000.0,ref,braidwood,illinois,covid,3742119415.82,19034.885681599997,3742121706.96,3742139670.03,3742094579.33,3742097903.01,3742137721.04,4.0,362326872.91,4,0.244938821026,0.249987499375,0.31563421828899996,3.76215239928e-13,0.019326801889
1193.0,-1178.0,-20000.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,100000.0,ref,braidwood,illinois,covid,2810651316.77,6397493.59839,2809313736.5,2818567860.48,2805409933.58,2805423713.06,2817751532.84,4.0,40927924341400.0,19,0.5,0.475023751188,0.31563421828899996,3.76215239928e-13,0.07496687518739999
1193.0,-1178.0,-20000.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,200000.0,ref,braidwood,illinois,covid,2806947428.77,6092799.3806,2808685698.04,2811917924.27,2798500394.74,2799705337.35,2811755943.22,4.0,37122204292300.0,22,0.5,0.250012500625,0.31563421828899996,3.76215239928e-13,0.039456250098599994
1193.0,-1178.0,-20000.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10000.0,ref,braidwood,illinois,covid,2737044990.76,2018637.6967,2737408768.24,2738957795.71,2734404630.84,2734732943.81,2738847749.23,4.0,4074898150540.0,16,0.5,0.249987499375,0.31563421828899996,3.76215239928e-13,0.03945230447359999
1193.0,-1178.0,-20000.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,braidwood,illinois,covid,2692795683.42,2847669.23182,2693078879.84,2695487754.66,2689537219.32,2689802193.6,2695392698.24,4.0,8109220053870.0,13,0.5,0.0249762488124,0.31563421828899996,3.76215239928e-13,0.00394167938485
1193.0,-500.0,-10000.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,100000.0,ref,braidwood,illinois,covid,2343046889.58,10809827.9625,2341047357.32,2356595369.42,2333497474.27,2333756548.03,2355136576.3,4.0,116852380578000.0,33,0.255061178974,0.475023751188,0.18436578171100002,3.76215239928e-13,0.022337779870700004
1193.0,-500.0,-10000.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,200000.0,ref,braidwood,illinois,covid,2339985348.45,7114032.074019999,2340184138.98,2348082569.52,2331490546.32,2332397401.34,2347294988.81,4.0,50609452350100.0,36,0.255061178974,0.250012500625,0.18436578171100002,3.76215239928e-13,0.011756726247700001
