npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1392833467.74,4281419.72924,1392833467.74,1395860888.66,1389806046.82,1390108788.91,1395558146.57,2.0,18330554898000.0,0.25,0.125210084034,0.00391254412062,0.124991342377,26,2.78193391732e-13
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1392438946.51,6841511.90982,1392438946.51,1397276625.97,1387601267.04,1388085034.99,1396792858.03,2.0,46806285212200.0,0.25,0.125210084034,0.00782543667679,0.249993815983,31,2.78193391732e-13
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1339764758.37,8020118.49454,1339764758.37,1345435838.54,1334093678.2,1334660786.22,1344868730.53,2.0,64322300666500.0,0.25,0.125210084034,0.00782582382741,0.250006184017,36,2.78193391732e-13
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1339115742.67,13082457.2898,1339115742.67,1348366436.93,1329865048.4,1330790117.83,1347441367.51,2.0,171150688739000.0,0.25,0.249579831933,0.00779882955587,0.124991342377,53,2.78193391732e-13
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1307075160.1,2659875.40847,1307075160.1,1308955976.04,1305194344.16,1305382425.76,1308767894.44,2.0,7074937188600.0,0.25,0.249579831933,0.0155983536443,0.249993815983,58,2.78193391732e-13
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1289463505.72,6018713.4157,1289463505.72,1293719378.79,1285207632.65,1285633219.96,1293293791.49,2.0,36224911180300.0,0.25,0.125210084034,0.00782582382741,0.250006184017,41,2.78193391732e-13
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1248069866.93,3360150.14316,1248069866.93,1250445851.88,1245693881.98,1245931480.47,1250208253.39,2.0,11290608984600.0,0.25,0.249579831933,0.0155991253473,0.250006184017,63,2.78193391732e-13
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1226777287.35,14080448.9884,1226777287.35,1236733668.31,1216820906.38,1217816544.48,1235738030.21,2.0,198259043716000.0,0.25,0.125210084034,0.00391289255617,0.125002473607,46,2.78193391732e-13
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1193397329.79,24924.0168584,1193397329.79,1193414953.73,1193379705.85,1193381468.24,1193413191.34,2.0,621206616.356,0.25,0.249579831933,0.0155983536443,0.249993815983,57,2.78193391732e-13
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1190172626.75,1313579.8066,1190172626.75,1191101467.93,1189243785.56,1189336669.68,1191008583.82,2.0,1725491908290.0,0.25,0.249579831933,0.0155991253473,0.250006184017,68,2.78193391732e-13
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1171540110.57,23102202.6925,1171540110.57,1187875834.76,1155204386.39,1156837958.81,1186242262.34,2.0,533711769246000.0,0.25,0.249579831933,0.00779882955587,0.124991342377,52,2.78193391732e-13
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1134467080.33,3616998.53372,1134467080.33,1137024684.52,1131909476.14,1132165236.56,1136768924.1,2.0,13082678392900.0,0.25,0.249579831933,0.00779952408848,0.125002473607,73,2.78193391732e-13
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1126039907.76,14319954.7262,1126039907.76,1136165644.86,1115914170.67,1116926744.38,1135153071.15,2.0,205061103359000.0,0.25,0.249579831933,0.0155991253473,0.250006184017,62,2.78193391732e-13
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1077686717.76,10872258.219,1077686717.76,1085374565.27,1069998870.24,1070767654.99,1084605780.52,2.0,118205998781000.0,0.25,0.249579831933,0.0155991253473,0.250006184017,67,2.78193391732e-13
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1031035289.91,2668679.99376,1031035289.91,1032922331.63,1029148248.18,1029336952.36,1032733627.45,2.0,7121852909070.0,0.25,0.125210084034,0.00782543667679,0.249993815983,56,2.78193391732e-13
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1012962113.04,15156757.0236,1012962113.04,1023679558.72,1002244667.37,1003316411.94,1022607814.15,2.0,229727283472000.0,0.25,0.249579831933,0.00779952408848,0.125002473607,72,2.78193391732e-13
