npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1145512109.02,10533008.1948,1145512109.02,1152960070.54,1138064147.5,1138808943.65,1152215274.39,2.0,110944261632000.0,2.78193391732e-13,0.00779882955587,53,0.249579831933,0.124991342377,0.25
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1133727323.72,12119223.6279,1133727323.72,1142296908.93,1125157738.51,1126014697.03,1141439950.41,2.0,146875581342000.0,2.78193391732e-13,0.00782543667679,31,0.125210084034,0.249993815983,0.25
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1121605297.93,811672.337577,1121605297.93,1122179236.94,1121031358.92,1121088752.82,1122121843.04,2.0,658811983588.0,2.78193391732e-13,0.00391254412062,26,0.125210084034,0.124991342377,0.25
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1105304851.34,1901467.43944,1105304851.34,1106649391.86,1103960310.82,1104094764.87,1106514937.8,2.0,3615578423240.0,2.78193391732e-13,0.0155983536443,58,0.249579831933,0.249993815983,0.25
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1094138339.79,9654135.83599,1094138339.79,1100964844.71,1087311834.88,1087994485.37,1100282194.22,2.0,93202338739700.0,2.78193391732e-13,0.00782582382741,36,0.125210084034,0.250006184017,0.25
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1049763740.93,9033918.59833,1049763740.93,1056151686.03,1043375795.83,1044014590.34,1055512891.52,2.0,81611685241300.0,2.78193391732e-13,0.00782582382741,41,0.125210084034,0.250006184017,0.25
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1043497574.73,3932364.10695,1043497574.73,1046278176.05,1040716973.4,1040995033.53,1046000115.92,2.0,15463487469600.0,2.78193391732e-13,0.0155991253473,63,0.249579831933,0.250006184017,0.25
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1011944104.02,965433.428132,1011944104.02,1012626768.54,1011261439.49,1011329705.94,1012558502.09,2.0,932061704154.0,2.78193391732e-13,0.00391289255617,46,0.125210084034,0.125002473607,0.25
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,999250447.317,13506186.3854,999250447.317,1008800763.3,989700131.336,990655162.934,1007845731.7,2.0,182417070678000.0,2.78193391732e-13,0.0155991253473,68,0.249579831933,0.250006184017,0.25
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,992804582.051,6708698.2404,992804582.051,997548348.069,988060816.032,988535192.634,997073971.468,2.0,45006632080700.0,2.78193391732e-13,0.0155983536443,57,0.249579831933,0.249993815983,0.25
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,980530490.02,8579099.62837,980530490.02,986596829.543,974464150.496,975070784.448,985990195.591,2.0,73600950433500.0,2.78193391732e-13,0.00779882955587,52,0.249579831933,0.124991342377,0.25
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,964169537.932,15394046.6313,964169537.932,975054772.695,953284303.169,954372826.645,973966249.218,2.0,236976671687000.0,2.78193391732e-13,0.00779952408848,73,0.249579831933,0.125002473607,0.25
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,957972378.837,6676566.88762,957972378.837,962693424.558,953251333.115,953723437.688,962221319.986,2.0,44576545404800.0,2.78193391732e-13,0.0155991253473,62,0.249579831933,0.250006184017,0.25
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,904641813.725,19532512.7374,904641813.725,918453385.935,890830241.514,892211398.735,917072228.714,2.0,381519053837000.0,2.78193391732e-13,0.0155991253473,67,0.249579831933,0.250006184017,0.25
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,882316869.046,8107734.00136,882316869.046,888049902.739,876583835.354,877157138.723,887476599.369,2.0,65735350636800.0,2.78193391732e-13,0.00782543667679,56,0.125210084034,0.249993815983,0.25
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,861198475.874,12173338.5605,861198475.874,869806326.12,852590625.628,853451410.653,868945541.095,2.0,148190171708000.0,2.78193391732e-13,0.00779952408848,72,0.249579831933,0.125002473607,0.25
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,860462686.091,24065475.1274,860462686.091,877479546.746,843445825.436,845147511.502,875777860.681,2.0,579147093107000.0,2.78193391732e-13,0.0155983536443,83,0.249579831933,0.249993815983,0.25
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,856791163.681,1758949.54901,856791163.681,858034928.835,855547398.527,855671775.043,857910552.319,2.0,3093903515950.0,2.78193391732e-13,0.00779882955587,78,0.249579831933,0.124991342377,0.25
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,830002060.656,18088642.9541,830002060.656,842792662.752,817211458.561,818490518.771,841513602.542,2.0,327199003919000.0,2.78193391732e-13,0.00391254412062,51,0.125210084034,0.124991342377,0.25
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,825901695.564,6509501.74038,825901695.564,830504608.387,821298782.741,821759074.023,830044317.104,2.0,42373612908000.0,2.78193391732e-13,0.00782582382741,61,0.125210084034,0.250006184017,0.25
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,815165172.47,20785018.4972,815165172.47,829862399.996,800467944.943,801937667.696,828392677.244,2.0,432016993930000.0,2.78193391732e-13,0.0155991253473,88,0.249579831933,0.250006184017,0.25
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,790850714.304,21319891.1802,790850714.304,805926153.932,775775274.677,777282818.639,804418609.969,2.0,454537759935000.0,2.78193391732e-13,0.00782582382741,66,0.125210084034,0.250006184017,0.25
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,778412127.406,7187053.48111,778412127.406,783494141.659,773330113.153,773838314.578,782985940.234,2.0,51653737740300.0,2.78193391732e-13,0.0155991253473,93,0.249579831933,0.250006184017,0.25
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,753744017.387,3367135.66756,753744017.387,756124941.85,751363092.923,751601185.369,755886849.404,2.0,11337602603800.0,2.78193391732e-13,0.00391289255617,71,0.125210084034,0.125002473607,0.25
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,740177892.498,14724486.8011,740177892.498,750589676.965,729766108.032,730807286.478,749548498.518,2.0,216810511556000.0,2.78193391732e-13,0.00782543667679,109,0.250420168067,0.249993815983,0.125
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,739316188.75,3716048.29267,739316188.75,741943831.696,736688545.803,736951310.097,741681067.402,2.0,13809014913400.0,2.78193391732e-13,0.00779952408848,98,0.249579831933,0.125002473607,0.25
