npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,prefix
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1492000623.22,3286441.2467,1492000623.22,1494324488.11,1489676758.33,1489909144.82,1494092101.62,2.0,10800696068000.0,0.00391254412062,2.78193391732e-13,0.125210084034,0.124991342377,0.25,26
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1489314721.7,5560975.28269,1489314721.7,1493246925.03,1485382518.37,1485775738.7,1492853704.7,2.0,30924446094700.0,0.00782543667679,2.78193391732e-13,0.125210084034,0.249993815983,0.25,31
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1447806461.5,5827389.80164,1447806461.5,1451927048.35,1443685874.66,1444097933.34,1451514989.67,2.0,33958471900300.0,0.00782582382741,2.78193391732e-13,0.125210084034,0.250006184017,0.25,36
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1401928986.25,2931159.6753,1401928986.25,1404001629.13,1399856343.37,1400063607.66,1403794364.85,2.0,8591697042080.0,0.00782582382741,2.78193391732e-13,0.125210084034,0.250006184017,0.25,41
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1363310968.86,4161183.03277,1363310968.86,1366253369.6,1360368568.11,1360662808.19,1365959129.52,2.0,17315444232200.0,0.00391289255617,2.78193391732e-13,0.125210084034,0.125002473607,0.25,46
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1346110407.52,16127676.9041,1346110407.52,1357514397.22,1334706417.81,1335846816.78,1356373998.25,2.0,260101962322000.0,0.00779882955587,2.78193391732e-13,0.249579831933,0.124991342377,0.25,53
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1315796343.56,1437844.15125,1315796343.56,1316813052.91,1314779634.21,1314881305.14,1316711381.97,2.0,2067395803290.0,0.0155983536443,2.78193391732e-13,0.249579831933,0.249993815983,0.25,58
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1262335529.5,12694280.2673,1262335529.5,1271311741.16,1253359317.84,1254256939.01,1270414119.99,2.0,161144751504000.0,0.0155991253473,2.78193391732e-13,0.249579831933,0.250006184017,0.25,63
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1220335235.23,4223491.76612,1220335235.23,1223321694.9,1217348775.56,1217647421.53,1223023048.93,2.0,17837882698500.0,0.0155991253473,2.78193391732e-13,0.249579831933,0.250006184017,0.25,68
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1199499215.25,1345145.13818,1199499215.25,1200450376.5,1198548054.0,1198643170.13,1200355260.38,2.0,1809415442770.0,0.0155983536443,2.78193391732e-13,0.249579831933,0.249993815983,0.25,57
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1194773442.3,4765078.41832,1194773442.3,1198142861.56,1191404023.04,1191740964.96,1197805919.64,2.0,22705972332800.0,0.00779882955587,2.78193391732e-13,0.249579831933,0.124991342377,0.25,52
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1184026074.88,1822216.58642,1184026074.88,1185314576.58,1182737573.17,1182866423.34,1185185726.41,2.0,3320473287830.0,0.00779952408848,2.78193391732e-13,0.249579831933,0.125002473607,0.25,73
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1154919194.09,9223965.6639,1154919194.09,1161441522.76,1148396865.42,1149049098.29,1160789289.89,2.0,85081542568800.0,0.0155991253473,2.78193391732e-13,0.249579831933,0.250006184017,0.25,62
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1102737678.24,3764428.66094,1102737678.24,1105399531.28,1100075825.21,1100342010.51,1105133345.97,2.0,14170923143300.0,0.0155991253473,2.78193391732e-13,0.249579831933,0.250006184017,0.25,67
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1074749384.57,5192532.16487,1074749384.57,1078421059.28,1071077709.86,1071444877.34,1078053891.8,2.0,26962390283200.0,0.00782543667679,2.78193391732e-13,0.125210084034,0.249993815983,0.25,56
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1063894330.04,15889305.52,1063894330.04,1075129765.72,1052658894.35,1053782437.92,1074006222.15,2.0,252470029909000.0,0.00779952408848,2.78193391732e-13,0.249579831933,0.125002473607,0.25,72
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1047186822.19,974487.203862,1047186822.19,1047875888.7,1046497755.68,1046566662.33,1047806982.04,2.0,949625310490.0,0.00391254412062,2.78193391732e-13,0.125210084034,0.124991342377,0.25,51
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1034950381.67,5785288.07337,1034950381.67,1039041198.1,1030859565.24,1031268646.88,1038632116.45,2.0,33469558091900.0,0.00782582382741,2.78193391732e-13,0.125210084034,0.250006184017,0.25,61
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,985257020.334,10285452.3297,985257020.334,992529933.424,977984107.244,978711398.553,991802642.115,2.0,105790529626000.0,0.00782582382741,2.78193391732e-13,0.125210084034,0.250006184017,0.25,66
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,935176740.639,17981183.4802,935176740.639,947891357.412,922462123.867,923733585.544,946619895.735,2.0,323322959350000.0,0.00391289255617,2.78193391732e-13,0.125210084034,0.125002473607,0.25,71
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,924512220.034,3967140.55062,924512220.034,927317412.019,921707028.049,921987547.247,927036892.821,2.0,15738204148400.0,0.00779882955587,2.78193391732e-13,0.249579831933,0.124991342377,0.25,78
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,912382484.632,12167850.4186,912382484.632,920986454.175,903778515.088,904638912.043,920126057.221,2.0,148056583810000.0,0.0155983536443,2.78193391732e-13,0.249579831933,0.249993815983,0.25,83
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,842512312.56,9261593.46042,842512312.56,849061248.101,835963377.02,836618270.574,848406354.547,2.0,85777113426100.0,0.0155991253473,2.78193391732e-13,0.249579831933,0.250006184017,0.25,88
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,833763373.022,484201.312649,833763373.022,834105755.053,833420990.99,833455229.193,834071516.85,2.0,234450911171.0,0.0155991253473,2.78193391732e-13,0.249579831933,0.250006184017,0.25,93
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,769086630.472,12544424.2828,769086630.472,777956877.948,760216382.995,761103407.743,777069853.201,2.0,157362580588000.0,0.00779952408848,2.78193391732e-13,0.249579831933,0.125002473607,0.25,98
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,757516140.534,20237333.5942,757516140.534,771826096.351,743206184.716,744637180.298,770395100.769,2.0,409549671001000.0,0.0155983536443,2.78193391732e-13,0.249579831933,0.249993815983,0.25,82
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,757498119.345,14698348.8394,757498119.345,767891421.482,747104817.209,748144147.422,766852091.268,2.0,216041458603000.0,0.00779882955587,2.78193391732e-13,0.249579831933,0.124991342377,0.25,77
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,739311649.325,4420394.73263,739311649.325,742437340.416,736185958.234,736498527.343,742124771.307,2.0,19539889592300.0,0.0155991253473,2.78193391732e-13,0.249579831933,0.250006184017,0.25,87
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,679560025.021,15391271.5486,679560025.021,690443297.504,668676752.538,669765079.786,689354970.256,2.0,236891239882000.0,0.0155991253473,2.78193391732e-13,0.249579831933,0.250006184017,0.25,92
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,645393736.614,7764798.89462,645393736.614,650884278.567,639903194.661,640452248.857,650335224.372,2.0,60292101873800.0,0.00391254412062,2.78193391732e-13,0.250420168067,0.124991342377,0.125,104
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,638133088.375,9672431.3046,638133088.375,644972530.141,631293646.609,631977590.786,644288585.965,2.0,93555927342100.0,0.00779952408848,2.78193391732e-13,0.249579831933,0.125002473607,0.25,97
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,622747666.283,4781562.12413,622747666.283,626128741.286,619366591.28,619704698.781,625790633.785,2.0,22863336346900.0,0.00782543667679,2.78193391732e-13,0.125210084034,0.249993815983,0.25,81
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,606153454.069,11635192.9468,606153454.069,614380777.902,597926130.236,598748862.619,613558045.519,2.0,135377714908000.0,0.00391254412062,2.78193391732e-13,0.125210084034,0.124991342377,0.25,76
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,593957223.013,4547553.22928,593957223.013,597172828.739,590741617.287,591063177.86,596851268.167,2.0,20680240373100.0,0.00782582382741,2.78193391732e-13,0.250420168067,0.250006184017,0.125,114
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,593770178.73,6424076.37582,593770178.73,598312686.699,589227670.762,589681921.559,597858435.902,2.0,41268757282400.0,0.00782543667679,2.78193391732e-13,0.250420168067,0.249993815983,0.125,109
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,582571075.279,16154327.6119,582571075.279,593993909.878,571148240.679,572290524.139,592851626.418,2.0,260962300593000.0,0.00782582382741,2.78193391732e-13,0.125210084034,0.250006184017,0.25,86
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,531612548.945,12117971.1212,531612548.945,540181248.499,523043849.391,523900719.346,539324378.544,2.0,146845224095000.0,0.00782582382741,2.78193391732e-13,0.125210084034,0.250006184017,0.25,91
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,511865217.927,6174794.90609,511865217.927,516231457.278,507498978.577,507935602.512,515794833.343,2.0,38128092132300.0,0.00782582382741,2.78193391732e-13,0.250420168067,0.250006184017,0.125,119
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,501338268.391,4395491.79234,501338268.391,504446350.444,498230186.338,498540994.544,504135542.239,2.0,19320348096500.0,0.00391289255617,2.78193391732e-13,0.250420168067,0.125002473607,0.125,124
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,485101673.536,608918.30349,485101673.536,485532243.797,484671103.274,484714160.3,485489186.771,2.0,370781500325.0,0.00779917682217,2.78193391732e-13,0.249579831933,0.249993815983,0.125,108
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,480480529.61,3130769.49007,480480529.61,482694317.947,478266741.273,478488120.107,482472939.113,2.0,9801717599960.0,0.00389941477793,2.78193391732e-13,0.249579831933,0.124991342377,0.125,103
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,479942432.591,5949075.25987,479942432.591,484149064.049,475735801.133,476156464.279,483728400.904,2.0,35391496447600.0,0.00391289255617,2.78193391732e-13,0.125210084034,0.125002473607,0.25,96
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,414217858.206,18985753.9123,414217858.206,427642813.543,400792902.868,402135398.402,426300318.009,2.0,360458851619000.0,0.00779956267363,2.78193391732e-13,0.249579831933,0.250006184017,0.125,113
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,397106371.798,1534906.99536,397106371.798,398191714.943,396021028.653,396129562.967,398083180.628,2.0,2355939484400.0,0.00779956267363,2.78193391732e-13,0.249579831933,0.250006184017,0.125,118
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,338606883.456,27551876.938,338606883.456,358089002.473,319124764.439,321072976.34,356140790.571,2.0,759105922807000.0,0.00389976204424,2.78193391732e-13,0.249579831933,0.125002473607,0.125,123
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,329233130.048,11447837.9746,329233130.048,337327973.91,321138286.186,321947770.573,336518489.524,2.0,131052994292000.0,0.00389941477793,2.78193391732e-13,0.249579831933,0.124991342377,0.125,102
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,320420209.132,1920655.80976,320420209.132,321778317.88,319062100.385,319197911.259,321642507.005,2.0,3688918739580.0,0.00779917682217,2.78193391732e-13,0.249579831933,0.249993815983,0.125,107
