npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity
769.0,-754.0,-18951.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,8422.0,ref,cooper,nebraska,covid,1802025513.93,75924.3404615,1802037818.03,1802098825.73,1801927593.93,1801939351.29,1802094450.83,4.0,5764505474.51,0.000341242298742,1.17308946207e-12,11,0.111060534093,0.0555555555556,0.0553064275037
769.0,-754.0,-18951.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,1801659642.7,100533.323587,1801668605.3,1801749520.6,1801551839.59,1801558506.3,1801748231.45,4.0,10106949151.4,0.00034144499687,1.17308946207e-12,21,0.111126504117,0.0555555555556,0.0553064275037
769.0,-754.0,-18951.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,25267.0,ref,cooper,nebraska,covid,1801240741.77,97185.03143360002,1801268298.69,1801325639.84,1801100729.87,1801125627.8,1801317276.06,4.0,9444930334.76,0.00034144499687,1.17308946207e-12,31,0.111126504117,0.0555555555556,0.0553064275037
769.0,-754.0,-18951.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,1800920661.37,163336.263714,1800975655.84,1801048225.52,1800683108.29,1800723190.74,1801041139.75,4.0,26678735044.1,0.00034144499687,1.17308946207e-12,41,0.111126504117,0.0555555555556,0.0553064275037
769.0,-754.0,-18951.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,42112.0,ref,cooper,nebraska,covid,1800302775.85,618494.4393430001,1800581082.29,1800669125.2,1799379813.63,1799551370.09,1800664552.6,4.0,382535371498.0,0.00034144499687,1.17308946207e-12,51,0.111126504117,0.0555555555556,0.0553064275037
769.0,-754.0,-18951.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1800292087.26,240622.295148,1800244085.63,1800624650.46,1800055527.31,1800078475.96,1800572900.82,4.0,57899088922.5,0.00034144499687,1.17308946207e-12,61,0.111126504117,0.0555555555556,0.0553064275037
769.0,-754.0,-18951.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,58957.0,ref,cooper,nebraska,covid,1799710438.11,173886.342791,1799724075.01,1799902479.17,1799491123.27,1799518301.68,1799883482.9,4.0,30236460209.4,0.00034144499687,1.17308946207e-12,71,0.111126504117,0.0555555555556,0.0553064275037
769.0,-754.0,-18951.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1799331165.02,160071.672089,1799397064.13,1799436138.01,1799094393.83,1799136270.95,1799433800.35,4.0,25622940205.3,0.00034144499687,1.17308946207e-12,81,0.111126504117,0.0555555555556,0.0553064275037
769.0,-754.0,-18951.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,75802.0,ref,cooper,nebraska,covid,1798654716.04,1008131.57486,1798871287.17,1799509152.33,1797367137.48,1797512874.42,1799493358.07,4.0,1016329272220.0,0.000170712363529,1.17308946207e-12,91,0.0555599535571,0.0555555555556,0.0553064275037
769.0,-680.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,cooper,nebraska,covid,1689839821.51,927331.5882059999,1689764130.79,1691022528.57,1688808495.88,1688917317.5,1690868292.52,4.0,859943874485.0,0.0006866470309369999,1.17308946207e-12,102,0.0554939835339,0.111111111111,0.111360239163
