npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,prefix
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,412497772.136,3161096.51595,412497772.136,414733004.918,410262539.353,410486062.631,414509481.64,2.0,9992531183170.0,0.249993815983,2.78193391732e-13,0.250420168067,0.00782543667679,0.125,109
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,408083266.867,1820997.57018,408083266.867,409370906.598,406795627.137,406924391.11,409242142.625,2.0,3316032150590.0,0.124991342377,2.78193391732e-13,0.250420168067,0.00391254412062,0.125,104
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,370932439.475,3708121.04153,370932439.475,373554477.009,368310401.941,368572605.695,373292273.256,2.0,13750161658600.0,0.250006184017,2.78193391732e-13,0.250420168067,0.00782582382741,0.125,114
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,312166537.696,8860877.1798,312166537.696,318432124.037,305900951.355,306527509.989,317805565.403,2.0,78515144395500.0,0.250006184017,2.78193391732e-13,0.250420168067,0.00782582382741,0.125,119
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,265297911.841,47662085.5767,265297911.841,299000095.757,231595727.924,234965946.315,295629877.366,2.0,2271674401520000.0,0.125002473607,2.78193391732e-13,0.250420168067,0.00391289255617,0.125,124
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,256865850.188,1804952.04649,256865850.188,258142144.02,255589556.357,255717185.74,258014514.637,2.0,3257851890140.0,0.249993815983,2.78193391732e-13,0.249579831933,0.0155983536443,0.25,83
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,256180452.975,10325291.8032,256180452.975,263481536.827,248879369.124,249609477.509,262751428.442,2.0,106611650820000.0,0.124991342377,2.78193391732e-13,0.249579831933,0.00389941477793,0.125,103
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,242038226.919,3774845.76024,242038226.919,244707445.954,239369007.884,239635929.787,244440524.05,2.0,14249460513600.0,0.124991342377,2.78193391732e-13,0.249579831933,0.00779882955587,0.25,78
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,241591037.41,23076552.171,241591037.41,257908623.937,225273450.884,226905209.537,256276865.284,2.0,532527260099000.0,0.249993815983,2.78193391732e-13,0.249579831933,0.00779917682217,0.125,108
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,230102862.737,5900.33568813,230102862.737,230107034.904,230098690.57,230099107.786,230106617.688,2.0,34813961.2326,0.250006184017,2.78193391732e-13,0.249579831933,0.00779956267363,0.125,113
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,217577003.008,15747537.3245,217577003.008,228712193.438,206441812.579,207555331.622,227598674.395,2.0,247984931787000.0,0.124991342377,2.78193391732e-13,0.249579831933,0.00779882955587,0.25,53
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,191848896.772,31327997.1843,191848896.772,214001136.022,169696657.522,171911881.447,211785912.097,2.0,981443407577000.0,0.250006184017,2.78193391732e-13,0.249579831933,0.0155991253473,0.25,88
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,180097485.737,1398300.24861,180097485.737,181086233.325,179108738.149,179207612.908,180987358.567,2.0,1955243585260.0,0.249993815983,2.78193391732e-13,0.249579831933,0.0155983536443,0.25,58
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,171132351.572,6113151.35158,171132351.572,175455002.347,166809700.797,167241965.875,175022737.27,2.0,37370619447300.0,0.250006184017,2.78193391732e-13,0.249579831933,0.00779956267363,0.125,118
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,159868841.033,15410638.9624,159868841.033,170765808.345,148971873.72,150061570.451,169676111.614,2.0,237487793231000.0,0.250006184017,2.78193391732e-13,0.249579831933,0.0155991253473,0.25,93
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,132481212.639,812855.481732,132481212.639,133055988.262,131906437.015,131963914.578,132998510.7,2.0,660734034182.0,0.249993815983,2.78193391732e-13,0.249579831933,0.0155983536443,0.25,82
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,128614293.463,25110362.2178,128614293.463,146370000.865,110858586.061,112634156.801,144594430.125,2.0,630530290708000.0,0.250006184017,2.78193391732e-13,0.249579831933,0.0155991253473,0.25,63
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,125080639.366,12286619.55,125080639.366,133768591.367,116392687.364,117261482.564,132899796.167,2.0,150961019966000.0,0.249993815983,2.78193391732e-13,0.249579831933,0.00779917682217,0.125,107
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,121905220.872,40702656.1136,121905220.872,150686345.023,93124096.7221,96002209.1371,147808232.608,2.0,1656706214700000.0,0.125002473607,2.78193391732e-13,0.249579831933,0.00389976204424,0.125,123
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,104932910.51,18000595.3685,104932910.51,117661253.56,92204567.4594,93477401.7644,116388419.255,2.0,324021433620000.0,0.125002473607,2.78193391732e-13,0.249579831933,0.00779952408848,0.25,98
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,92454395.1596,4118913.57171,92454395.1596,95366906.8773,89541883.4419,89833134.6137,95075655.7055,2.0,16965449011200.0,0.124991342377,2.78193391732e-13,0.249579831933,0.00779882955587,0.25,77
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,84887371.6252,7884098.14402,84887371.6252,90462270.8864,79312472.364,79869962.2901,89904780.9603,2.0,62159003544500.0,0.250006184017,2.78193391732e-13,0.249579831933,0.0155991253473,0.25,68
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,80878627.8879,174354.737444,80878627.8879,81001915.305,80755340.4707,80767669.2124,80989586.5633,2.0,30399574469.2,0.124991342377,2.78193391732e-13,0.249579831933,0.00389941477793,0.125,102
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,79456120.0568,21254456.3451,79456120.0568,94485290.2689,64426949.8447,65929866.8659,92982373.2477,2.0,451751914528000.0,0.249993815983,2.78193391732e-13,0.249579831933,0.0155983536443,0.25,57
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,73933093.1996,1278181.4422,73933093.1996,74836903.965,73029282.4343,73119663.5108,74746522.8885,2.0,1633747799190.0,0.124991342377,2.78193391732e-13,0.249579831933,0.00779882955587,0.25,52
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,73360184.6684,26946411.8289,73360184.6684,92414175.2013,54306194.1355,56211593.1888,90508776.148,2.0,726109110454000.0,0.250006184017,2.78193391732e-13,0.249579831933,0.00779956267363,0.125,112
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,72255472.7618,14535408.1373,72255472.7618,82533558.423,61977387.1005,63005195.6667,81505749.8569,2.0,211278089719000.0,0.250006184017,2.78193391732e-13,0.249579831933,0.0155991253473,0.25,87
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,53826907.0019,2748859.71711,53826907.0019,55770644.3484,51883169.6554,52077543.39,55576270.6137,2.0,7556229744360.0,0.250006184017,2.78193391732e-13,0.249579831933,0.00779956267363,0.125,117
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,37374404.6947,3793428.02511,37374404.6947,40056763.3752,34692046.0142,34960281.8823,39788527.5072,2.0,14390096181700.0,0.250006184017,2.78193391732e-13,0.249579831933,0.0155991253473,0.25,62
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,34765757.3754,5127013.05057,34765757.3754,38391103.0706,31140411.6801,31502946.2496,38028568.5011,2.0,26286262820700.0,0.125002473607,2.78193391732e-13,0.249579831933,0.00779952408848,0.25,73
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,14774406.4429,33251569.7451,14774406.4429,38286816.8947,-8738004.00895,-6386762.96376,35935575.8495,2.0,1105666890510000.0,0.250006184017,2.78193391732e-13,0.249579831933,0.0155991253473,0.25,92
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,2324998.83686,4066634.79267,2324998.83686,5200543.87537,-550546.20164,-262991.69779,4912989.37152,2.0,16537518536900.0,0.250006184017,2.78193391732e-13,0.249579831933,0.0155991253473,0.25,67
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-16214437.0086,9961120.66483,-16214437.0086,-9170861.03825,-23258012.9789,-22553655.3819,-9875218.63528,2.0,99223924899300.0,0.125002473607,2.78193391732e-13,0.249579831933,0.00389976204424,0.125,122
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-25451482.9862,2766634.42216,-25451482.9862,-23495177.0252,-27407788.9472,-27212158.3511,-23690807.6213,2.0,7654266025880.0,0.249993815983,2.78193391732e-13,0.125210084034,0.00782543667679,0.25,56
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-41594671.2139,25575062.497,-41594671.2139,-23510371.093,-59678971.3348,-57870541.3227,-25318801.1051,2.0,654083821724000.0,0.125002473607,2.78193391732e-13,0.249579831933,0.00779952408848,0.25,97
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-42823935.9431,23906768.9527,-42823935.9431,-25919297.5004,-59728574.3857,-58038110.5415,-27609761.3446,2.0,571533601756000.0,0.249993815983,2.78193391732e-13,0.125210084034,0.00782543667679,0.25,81
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-43736524.7826,11787593.9239,-43736524.7826,-35401437.1851,-52071612.3801,-51238103.6204,-36234945.9449,2.0,138947370515000.0,0.249993815983,2.78193391732e-13,0.125210084034,0.0039127183384,0.125,106
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-49905577.2203,1260904.37692,-49905577.2203,-49013983.185,-50797171.2557,-50708011.8521,-49103142.5885,2.0,1589879847730.0,0.125002473607,2.78193391732e-13,0.249579831933,0.00779952408848,0.25,72
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-66072145.0147,16711434.8893,-66072145.0147,-54255376.0811,-77888913.9483,-76707237.0549,-55437052.9745,2.0,279272056059000.0,0.250006184017,2.78193391732e-13,0.125210084034,0.00782582382741,0.25,86
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-67389143.9482,16200570.3686,-67389143.9482,-55933610.7815,-78844677.1149,-77699123.7982,-57079164.0982,2.0,262458480267000.0,0.124991342377,2.78193391732e-13,0.125210084034,0.00195627206031,0.125,101
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-72281911.6114,6110300.63656,-72281911.6114,-67961276.5962,-76602546.6266,-76170483.125,-68393340.0977,2.0,37335773869100.0,0.249993815983,2.78193391732e-13,0.125210084034,0.00782543667679,0.25,31
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-84386534.9415,7169030.12761,-84386534.9415,-79317265.1237,-89455804.7593,-88948877.7775,-79824192.1055,2.0,51394992970600.0,0.250006184017,2.78193391732e-13,0.125210084034,0.00782582382741,0.25,61
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-84637081.3888,27112656.2361,-84637081.3888,-65465538.3083,-103808624.469,-101891470.161,-67382692.6164,2.0,735096128175000.0,0.250006184017,2.78193391732e-13,0.125210084034,0.0039129119137,0.125,111
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-87577078.3331,35485711.5155,-87577078.3331,-62484891.0853,-112669265.581,-110160046.856,-64994109.8101,2.0,1259235721760000.0,0.124991342377,2.78193391732e-13,0.125210084034,0.00391254412062,0.25,76
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-88559475.6237,2422653.50024,-88559475.6237,-86846400.9052,-90272550.3422,-90101242.8703,-87017708.377,2.0,5869249982220.0,0.124991342377,2.78193391732e-13,0.125210084034,0.00391254412062,0.25,26
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-92855190.5281,14700934.7872,-92855190.5281,-82460059.8502,-103250321.206,-102210808.138,-83499572.918,2.0,216117483618000.0,0.124991342377,2.78193391732e-13,0.125210084034,0.00391254412062,0.25,51
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-105604922.072,10067557.9859,-105604922.072,-98486083.55,-112723760.594,-112011876.742,-99197967.4022,2.0,101355723800000.0,0.250006184017,2.78193391732e-13,0.125210084034,0.00782582382741,0.25,91
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-113871667.838,3391405.60763,-113871667.838,-111473581.935,-116269753.741,-116029945.151,-111713390.526,2.0,11501631995500.0,0.250006184017,2.78193391732e-13,0.125210084034,0.00782582382741,0.25,36
