npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1352297439.21,506362.857197,1352415967.49,1352759182.51,1351598639.34,1351700135.96,1352728802.86,4.0,256403343149.0,3.9741070500699994e-14,6,0.125,0.125210084034,0.249999116588,0.00391280129954
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1301332097.85,1407757.24797,1301567974.34,1302759782.71,1299432660.0,1299706978.08,1302626990.52,4.0,1981780469210.0,3.9741070500699994e-14,26,0.25,0.125210084034,0.124998763223,0.00391277641181
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1272270141.82,5386553.2386,1273743326.02,1276832871.79,1264761043.45,1265859655.69,1276618170.07,4.0,29014955792300.0,3.9741070500699994e-14,53,0.25,0.249579831933,0.124998763223,0.00779929257924
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1171441428.5,3758889.07173,1171887895.27,1175554811.66,1166435111.81,1167244849.04,1175012954.5,4.0,14129247053600.0,3.9741070500699994e-14,32,0.25,0.249579831933,0.249999116588,0.0155986843753
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1119028441.97,12697328.4803,1119079912.73,1131553375.4,1106400567.03,1106930465.0,1131054359.89,4.0,161222150538000.0,3.9741070500699994e-14,52,0.25,0.249579831933,0.124998763223,0.00779929257924
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1078415190.82,2155873.8692,1077712374.56,1081513517.41,1076722496.73,1076796684.17,1081017640.22,4.0,4647792139910.0,3.9741070500699994e-14,31,0.25,0.125210084034,0.249999116588,0.00782560259907
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1070431120.52,393898.594229,1070507334.44,1070824867.97,1069884945.24,1069975916.09,1070779625.47,4.0,155156102535.0,3.9741070500699994e-14,11,0.125,0.125210084034,0.250000883412,0.00391282895256
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,994238948.247,4466112.80451,994694655.261,998727016.015,988839466.452,989380228.156,998459678.519,4.0,19946163582600.0,3.9741070500699994e-14,58,0.25,0.249579831933,0.249999116588,0.0155986843753
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,976622761.167,1752914.6239,977005907.667,978097753.56,974381475.774,974635811.478,978073305.756,4.0,3072709678690.0,3.9741070500699994e-14,51,0.25,0.125210084034,0.124998763223,0.00391277641181
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,942879492.291,7031535.49031,943312769.45,951035927.485,933856502.778,935264209.108,949888187.45,4.0,49442491351400.0,3.9741070500699994e-14,78,0.25,0.249579831933,0.124998763223,0.00779929257924
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,894569259.674,4608286.55178,895528313.664,899055073.969,888165337.398,889178752.54,898617091.221,4.0,21236304943300.0,3.9741070500699994e-14,57,0.25,0.249579831933,0.249999116588,0.0155986843753
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,891726556.932,2649270.55607,892585691.867,893812262.401,887922581.594,888529625.608,893720699.348,4.0,7018634479230.0,3.9741070500699994e-14,37,0.25,0.249579831933,0.250000883412,0.0155987946163
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,817476690.294,21692533.2408,824617908.485,834063067.018,786607877.189,791350598.561,833605076.561,4.0,470565998401000.0,3.9741070500699994e-14,84,0.25,0.250420168067,0.249999116588,0.0156512051981
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,789444061.708,16915159.8041,795624054.985,802045208.087,764482928.776,769114951.945,801121180.884,4.0,286122631198000.0,3.9741070500699994e-14,77,0.25,0.249579831933,0.124998763223,0.00779929257924
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,787387340.643,855022.454334,787301488.833,788290050.826,786656334.077,786656523.546,788238350.271,4.0,731063397416.0,3.9741070500699994e-14,16,0.125,0.125210084034,0.250000883412,0.00391282895256
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,783910812.211,13237420.001,783848910.591,796602244.593,771343183.067,771694262.709,796214023.98,4.0,175229288283000.0,3.9741070500699994e-14,36,0.25,0.125210084034,0.250000883412,0.00782565790513
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,770477696.462,10672230.2795,768253638.95,784400087.613,761003420.336,761354563.495,782714509.946,4.0,113896499140000.0,3.9741070500699994e-14,104,0.125,0.250420168067,0.124998763223,0.00391277641181
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,767506719.79,18933822.2005,773227143.834,783254101.543,740318489.948,744747858.011,782256987.906,4.0,358489623120000.0,3.9741070500699994e-14,56,0.25,0.125210084034,0.249999116588,0.00782560259907
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,719644956.453,8782917.4851,721721184.294,727548141.776,707589315.449,709298322.258,727084871.672,4.0,77139639550100.0,3.9741070500699994e-14,83,0.25,0.249579831933,0.249999116588,0.0155986843753
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,714562235.316,4649630.21385,713683985.931,720821827.917,710059141.485,710394638.493,719959381.277,4.0,21619061125500.0,3.9741070500699994e-14,63,0.25,0.249579831933,0.250000883412,0.0155987946163
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,643638757.509,15361727.5856,639481850.193,664421247.268,631170082.382,631433183.016,661664002.244,4.0,235982674414000.0,3.9741070500699994e-14,110,0.125,0.125210084034,0.249999116588,0.00391280129954
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,637961761.954,9308247.65924,637216923.208,649708336.576,627704864.826,628712278.038,648254020.116,4.0,86643474485700.0,3.9741070500699994e-14,76,0.25,0.125210084034,0.124998763223,0.00391277641181
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,635084735.523,7722418.0333,635980083.194,641752189.415,626626586.287,627199115.29,641716869.015,4.0,59635740281000.0,3.9741070500699994e-14,103,0.125,0.249579831933,0.124998763223,0.00389964628962
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,599374777.2,8147215.65103,599956132.249,607397056.179,590189788.124,590906734.118,607028923.214,4.0,66377122864400.0,3.9741070500699994e-14,42,0.25,0.249579831933,0.250000883412,0.0155987946163
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,595954867.508,18464270.3711,598588920.275,614406204.066,572235425.416,575097218.361,613124842.781,4.0,340929280336000.0,3.9741070500699994e-14,62,0.25,0.249579831933,0.250000883412,0.0155987946163
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,578252074.572,14191258.0087,580916561.878,590239387.417,560935787.116,562649430.252,590124436.664,4.0,201391803870000.0,3.9741070500699994e-14,82,0.25,0.249579831933,0.249999116588,0.0155986843753
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,543333146.336,12686814.1991,547872174.637,552811255.63,524776980.439,527950895.073,552360757.977,4.0,160955254522000.0,3.9741070500699994e-14,89,0.25,0.250420168067,0.250000883412,0.0156513158103
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,510162850.087,27437762.2241,511311282.079,542333987.493,475694848.695,480429587.878,538288307.505,4.0,752830795864000.0,3.9741070500699994e-14,109,0.125,0.250420168067,0.249999116588,0.00782560259907
