npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
769,-680,-17083,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1819594437,3395327.256,1821097713,1821631815,1814550504,1815459647,1821624639,4,1.15E+13,102,0.111360239,0.111111111,0.055554107,2.79E-14,0.000687391
769,-754,-18951,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1800439037,47941.23312,1800421371,1800507912,1800405495,1800405749,1800497058,4,2298361833,11,0.055306428,0.055555556,0.111109942,2.79E-14,0.000341394
769,-754,-17083,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1741152193,330911.9588,1741100274,1741553335,1740854888,1740862879,1741514192,4,1.09503E+11,101,0.055306428,0.111111111,0.055554107,2.79E-14,0.000341389
769,-680,-17083,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1675374213,1145089.532,1675076778,1676963588,1674379708,1674432134,1676732701,4,1.31E+12,112,0.111360239,0.111111111,0.111109942,2.79E-14,0.001374803
769,-754,-18951,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1658364433,676472.9509,1658483076,1658941617,1657549961,1657627341,1658935423,4,4.57616E+11,21,0.055306428,0.055555556,0.111111512,2.79E-14,0.000341399
769,-754,-17083,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1636572797,2398501.773,1635596948,1640137818,1634959474,1635033440,1639478343,4,5.75E+12,111,0.055306428,0.111111111,0.111109942,2.79E-14,0.000682788
769,-680,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1620759832,2728404.59,1620042400,1624439255,1618515273,1618569190,1623954879,4,7.44E+12,202,0.111360239,0.111111111,0.055554107,2.79E-14,0.000687391
769,-605,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1561844491,3070909.735,1562943252,1564123393,1557368066,1558119151,1564031564,4,9.43E+12,213,0.111360239,0.111111111,0.111109942,2.79E-14,0.001374803
769,-754,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1546120620,2473540.458,1545604114,1549559342,1543714910,1543949755,1549014594,4,6.12E+12,201,0.055306428,0.111111111,0.055554107,2.79E-14,0.000341389
769,-680,-17083,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1538555187,1064535.035,1538745473,1539552344,1537177456,1537342718,1539501255,4,1.13E+12,122,0.111360239,0.111111111,0.111111512,2.79E-14,0.001374823
769,-754,-18951,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1061230,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1517233952,389336.8293,1517045859,1517817689,1517026401,1517027954,1517703280,4,1.51583E+11,31,0.055306428,0.055555556,0.111111355,2.79E-14,0.000341398
769,-680,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1511498594,5499064.634,1509300335,1519526950,1507866756,1507885938,1518188813,4,3.02E+13,212,0.111360239,0.111111111,0.111109942,2.79E-14,0.001374803
769,-605,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1503255253,3909921.884,1502435491,1508555844,1499594187,1499836097,1507822077,4,1.53E+13,303,0.111360239,0.111111111,0.055554107,2.79E-14,0.000687391
769,-754,-17083,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1491419507,4691193.336,1491765910,1496797425,1485348783,1486303002,1496051048,4,2.20E+13,121,0.055306428,0.111111111,0.111111512,2.79E-14,0.000682798
769,-754,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1470479162,1150728.928,1470293391,1472047725,1469282140,1469423084,1471795318,4,1.32E+12,211,0.055306428,0.111111111,0.111109942,2.79E-14,0.000682788
769,-457,-11479,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1454450143,4203705.191,1454036938,1459905306,1449821389,1450324348,1459154424,4,1.77E+13,405,0.111360239,0.111111111,0.055554107,2.79E-14,0.000687391
769,-531,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1432473912,3411900.617,1433695944,1435030609,1427473149,1428340148,1434896829,4,1.16E+13,314,0.110612855,0.111111111,0.111109942,2.79E-14,0.001365576
769,-680,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1425080526,9876462.069,1429217481,1431351946,1410535195,1413046922,1431322393,4,9.75E+13,302,0.111360239,0.111111111,0.055554107,2.79E-14,0.000687391
769,-605,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1415522066,7025099.849,1415928116,1421621257,1408610774,1408868106,1421607555,4,4.94E+13,223,0.111360239,0.111111111,0.111111512,2.79E-14,0.001374823
769,-680,-17083,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1061230,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1397300953,2014871.53,1397655573,1399331982,1394560682,1394967459,1399137978,4,4.06E+12,132,0.111360239,0.111111111,0.111111355,2.79E-14,0.001374821
769,-605,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1396435763,1553842.841,1396255235,1398445225,1394787358,1394938562,1398185704,4,2.41E+12,313,0.111360239,0.111111111,0.111109942,2.79E-14,0.001374803
769,-531,-11479,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1379417167,11822139.74,1380764901,1389544547,1366594321,1367426655,1389520853,4,1.40E+14,404,0.110612855,0.111111111,0.055554107,2.79E-14,0.000682778
769,-754,-18951,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1414973,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1375708645,1620337.338,1376155997,1377136526,1373386059,1373779560,1377011436,4,2.63E+12,41,0.055306428,0.055555556,0.111111355,2.79E-14,0.000341398
769,-680,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1374126945,1800433.955,1373982726,1376422590,1372119739,1372333441,1376122356,4,3.24E+12,222,0.111360239,0.111111111,0.111111512,2.79E-14,0.001374823
