npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1378781567.23,1767507.15028,1378781567.23,1380031383.53,1377531750.94,1377656732.57,1379906401.9,2.0,3124081526300.0,0.125210084034,31,0.249993815983,0.00782543667679,2.78193391732e-13,0.25
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1357380907.88,7235797.88331,1357380907.88,1362497389.63,1352264426.13,1352776074.31,1361985741.46,2.0,52356771008100.0,0.125210084034,26,0.124991342377,0.00391254412062,2.78193391732e-13,0.25
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1336123945.15,2317110.55232,1336123945.15,1337762389.73,1334485500.57,1334649345.02,1337598545.28,2.0,5369001311680.0,0.125210084034,36,0.250006184017,0.00782582382741,2.78193391732e-13,0.25
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1308342752.95,13843633.7417,1308342752.95,1318131680.24,1298553825.65,1299532718.38,1317152787.51,2.0,191646195175000.0,0.249579831933,53,0.124991342377,0.00779882955587,2.78193391732e-13,0.25
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1293877479.78,1501063.57287,1293877479.78,1294938892.01,1292816067.55,1292922208.78,1294832750.79,2.0,2253191849810.0,0.125210084034,41,0.250006184017,0.00782582382741,2.78193391732e-13,0.25
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1267612760.63,10586007.2568,1267612760.63,1275098198.14,1260127323.11,1260875866.86,1274349654.39,2.0,112063549641000.0,0.249579831933,58,0.249993815983,0.0155983536443,2.78193391732e-13,0.25
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1249039711.48,984890.625827,1249039711.48,1249736134.32,1248343288.64,1248412930.93,1249666492.04,2.0,970009544842.0,0.125210084034,46,0.125002473607,0.00391289255617,2.78193391732e-13,0.25
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1226135559.47,14964901.4015,1226135559.47,1236717342.73,1215553776.21,1216611954.54,1235659164.4,2.0,223948273958000.0,0.249579831933,63,0.250006184017,0.0155991253473,2.78193391732e-13,0.25
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1194630254.77,401388.205279,1194630254.77,1194914079.09,1194346430.45,1194374812.88,1194885696.66,2.0,161112491337.0,0.249579831933,68,0.250006184017,0.0155991253473,2.78193391732e-13,0.25
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1163924937.79,343370.598074,1163924937.79,1164167737.47,1163682138.11,1163706418.08,1164143457.5,2.0,117903367621.0,0.249579831933,52,0.124991342377,0.00779882955587,2.78193391732e-13,0.25
