npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight
769.0,-754.0,-18951.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,2173190198.44,51787.373447699996,2173202639.08,2173238176.46,2173117339.13,2173128944.06,2173234035.91,4.0,2681932048.61,0.125,1.66935855854e-12,0.125210084034,0.249962891495,6,0.00391223433117
769.0,-754.0,-18951.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,2172159740.05,162619.027895,2172140476.23,2172357962.61,2172000045.11,2172008650.75,2172337798.68,4.0,26444948233.4,0.125,1.66935855854e-12,0.125210084034,0.250037108505,11,0.00391339592093
769.0,-754.0,-18951.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,2170745412.07,636006.680945,2170849507.08,2171395382.45,2169887251.66,2170012339.31,2171332751.81,4.0,404504498206.0,0.125,1.66935855854e-12,0.125210084034,0.250037108505,16,0.00391339592093
769.0,-754.0,-18951.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,2170229126.37,539333.6912649999,2170301733.4,2170803912.55,2169509126.13,2169615776.16,2170740826.74,4.0,290880830533.0,0.125,1.66935855854e-12,0.125210084034,0.125018554253,21,0.0019566979604700003
769.0,-605.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,1885708611.92,4108249.82691,1885713722.84,1890516883.67,1880890118.32,1881393824.8,1890016243.74,4.0,16877716640300.0,0.25,1.66935855854e-12,0.249579831933,0.249962891495,32,0.015596424112200002
769.0,-605.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1882110297.98,7840483.497110001,1885479502.18,1886967983.91,1870514203.64,1872556360.86,1886947349.22,4.0,61473181468500.0,0.25,1.66935855854e-12,0.249579831933,0.125018554253,47,0.00780052743971
769.0,-605.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,1879901315.96,8778490.01283,1881304737.31,1887807533.32,1869188255.91,1870255964.04,1887581878.0,4.0,77061886905400.0,0.25,1.66935855854e-12,0.249579831933,0.250037108505,37,0.015601054879399999
769.0,-605.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1878497575.06,9062216.67225,1878525378.71,1886367862.28,1870571680.52,1870595078.85,1886361146.15,4.0,82123771014800.0,0.25,1.66935855854e-12,0.249579831933,0.250037108505,42,0.015601054879399999
769.0,-754.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1790010658.97,5622332.27552,1791001431.77,1795337595.97,1782702176.38,1783594031.74,1795040204.29,4.0,31610620216300.0,0.25,1.66935855854e-12,0.125210084034,0.250037108505,41,0.00782679184187
769.0,-754.0,-15215.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1788932125.08,3378498.11446,1788380613.28,1793513988.66,1785453285.11,1785814541.95,1792821824.74,4.0,11414249509400.0,0.25,1.66935855854e-12,0.125210084034,0.125018554253,46,0.00391339592093
