npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,88367.0,ref,davis_besse,ohio,covid,2517416850.37,80256.781059,2517430306.09,2517499801.56,2517306987.73,2517325139.5,2517489723.22,4.0,6441150905.95,7.14381720314e-13,0.0555586993673,0.055415617128499996,91,0.0555555555556,0.00017104553401600003
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,78549.0,ref,davis_besse,ohio,covid,2516913595.44,203267.84817,2516851387.08,2517204381.53,2516747226.08,2516756160.18,2517158122.42,4.0,41317818099.6,7.14381720314e-13,0.11112305759600001,0.055415617128499996,81,0.0555555555556,0.00034210848966000003
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,68730.0,ref,davis_besse,ohio,covid,2516741870.2,214010.62303599998,2516831143.18,2516882152.18,2516423042.27,2516483038.67,2516875719.57,4.0,45800546772.1,7.14381720314e-13,0.111128716457,0.055415617128499996,71,0.0555555555556,0.000342125911287
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,58911.0,ref,davis_besse,ohio,covid,2516394008.97,132111.271347,2516415158.59,2516530023.85,2516215694.86,2516241987.05,2516516421.43,4.0,17453388017.0,7.14381720314e-13,0.11112305759600001,0.055415617128499996,61,0.0555555555556,0.00034210848966000003
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,49093.0,ref,davis_besse,ohio,covid,2515969463.11,163767.33499,2515911952.78,2516210243.27,2515843703.61,2515853162.96,2516166277.73,4.0,26819740009.7,7.14381720314e-13,0.11112305759600001,0.055415617128499996,51,0.0555555555556,0.00034210848966000003
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39274.0,ref,davis_besse,ohio,covid,2515714593.8,123033.27856500002,2515710865.05,2515844176.82,2515592468.27,2515597823.34,2515836584.5,4.0,15137187634.3,7.14381720314e-13,0.11112305759600001,0.055415617128499996,41,0.0555555555556,0.00034210848966000003
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,29456.0,ref,davis_besse,ohio,covid,2515302852.11,81758.8860357,2515320663.87,2515379379.05,2515190701.64,2515206867.24,2515373900.5,4.0,6684515445.81,7.14381720314e-13,0.11112305759600001,0.055415617128499996,31,0.0555555555556,0.00034210848966000003
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,19637.0,ref,davis_besse,ohio,covid,2514936523.7,38063.8941645,2514932277.79,2514986216.28,2514895322.91,2514899594.82,2514979396.83,4.0,1448860038.97,7.14381720314e-13,0.11112305759600001,0.055415617128499996,21,0.0555555555556,0.00034210848966000003
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,9819.0,ref,davis_besse,ohio,covid,2514625539.4,7687.73764486,2514627880.38,2514632012.32,2514614384.52,2514616396.6,2514631404.83,4.0,59101310.0962,7.14381720314e-13,0.111066468984,0.055415617128499996,11,0.0555555555556,0.00034193427339
894.0,-791.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,88367.0,ref,davis_besse,ohio,covid,2408183912.68,621614.5913109999,2407893959.12,2409114506.51,2407833225.99,2407837496.35,2408936264.01,4.0,386404700131.0,7.14381720314e-13,0.0555586993673,0.11083123425699999,192,0.111111111111,0.0006841821360659999
894.0,-791.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,58911.0,ref,davis_besse,ohio,covid,2407610161.17,586992.7778970001,2407719684.64,2408202516.08,2406798759.32,2406934689.79,2408132299.7,4.0,344560521303.0,7.14381720314e-13,0.11112305759600001,0.11083123425699999,162,0.111111111111,0.0013684339586400001
894.0,-791.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,68730.0,ref,davis_besse,ohio,covid,2407529284.24,279764.354323,2407453263.95,2407928428.44,2407282180.62,2407302161.09,2407862835.8,4.0,78268093949.7,7.14381720314e-13,0.111128716457,0.11083123425699999,172,0.111111111111,0.0013685036451500001
894.0,-791.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,78549.0,ref,davis_besse,ohio,covid,2407242113.01,961846.285846,2407164349.36,2408385826.78,2406253926.56,2406317100.51,2408275994.64,4.0,925148277596.0,7.14381720314e-13,0.11112305759600001,0.11083123425699999,182,0.111111111111,0.0013684339586400001
894.0,-791.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,49093.0,ref,davis_besse,ohio,covid,2406986891.86,450267.98062399996,2407140623.67,2407311297.64,2406355022.44,2406447660.22,2407310898.95,4.0,202741254375.0,7.14381720314e-13,0.11112305759600001,0.11083123425699999,152,0.111111111111,0.0013684339586400001
894.0,-791.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39274.0,ref,davis_besse,ohio,covid,2406787333.81,703055.72907,2406889276.47,2407523260.55,2405847521.76,2405983315.98,2407448631.92,4.0,494287358178.0,7.14381720314e-13,0.11112305759600001,0.11083123425699999,142,0.111111111111,0.0013684339586400001
894.0,-791.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,29456.0,ref,davis_besse,ohio,covid,2406280169.85,836823.9630239999,2406340070.91,2407003813.95,2405436723.64,2405473945.13,2407002533.09,4.0,700274345091.0,7.14381720314e-13,0.11112305759600001,0.11083123425699999,132,0.111111111111,0.0013684339586400001
894.0,-791.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,19637.0,ref,davis_besse,ohio,covid,2405978990.79,834087.006695,2405935865.61,2406869367.01,2405174864.91,2405203897.74,2406814459.07,4.0,695701134738.0,7.14381720314e-13,0.11112305759600001,0.11083123425699999,122,0.111111111111,0.0013684339586400001
894.0,-791.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,9819.0,ref,davis_besse,ohio,covid,2405665923.23,571557.982446,2405586590.24,2406403697.93,2405086814.49,2405130357.79,2406312554.84,4.0,326678527297.0,7.14381720314e-13,0.111066468984,0.11083123425699999,112,0.111111111111,0.00136773709356
894.0,-791.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,2404941231.76,521368.20670299995,2404963510.42,2405456709.81,2404381196.38,2404417112.46,2405434160.93,4.0,271824806960.0,7.14381720314e-13,0.055507769616400006,0.11083123425699999,102,0.111111111111,0.000683554957493
