npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability
894.0,-879.0,-22092.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2105930362.51,115719.454693,2105914427.75,2106070137.03,2105822457.51,2105826483.02,2106056550.66,4.0,13390992194.4,6,0.249997082454,0.125,0.124645892351,0.00389513867846,8.47275451554e-14
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2023608411.05,703547.804647,2023642698.93,2024382255.36,2022765991.01,2022853243.3,2024315575.79,4.0,494979513424.0,27,0.124996154144,0.25,0.25,0.007812259634,8.47275451554e-14
894.0,-879.0,-22092.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2011186683.24,179347.969161,2011168972.5,2011422317.74,2010986470.2,2011012132.44,2011386029.06,4.0,32165694042.2,11,0.250002387083,0.125,0.124645892351,0.00389522132849,8.47275451554e-14
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1928223278.25,2197866.35125,1927151462.69,1931518649.36,1927071538.26,1927073865.87,1930873232.41,4.0,4830616497960.0,32,0.249997082454,0.25,0.25,0.0156248176534,8.47275451554e-14
894.0,-879.0,-22092.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1916499486.01,324638.970788,1916531268.79,1916859012.3,1916076394.18,1916136488.48,1916817987.67,4.0,105390461354.0,16,0.250002917546,0.125,0.124645892351,0.00389522959349,8.47275451554e-14
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1833149482.07,804681.887224,1833109393.9,1834129906.31,1832249234.16,1832334829.73,1834020257.85,4.0,647512939627.0,37,0.250002387083,0.25,0.25,0.0156251491927,8.47275451554e-14
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1826989715.35,1116306.12469,1827156465.74,1827936057.17,1825709872.74,1825813155.82,1827932824.33,4.0,1246139364020.0,26,0.124996154144,0.25,0.124645892351,0.00389506429344,8.47275451554e-14
894.0,-879.0,-22092.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1821886206.3,483093.752208,1821884289.1,1822479783.57,1821296463.42,1821384546.33,1822390550.34,4.0,233379573423.0,21,0.125001458773,0.125,0.124645892351,0.00194761479675,8.47275451554e-14
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1811490799.26,1278729.93222,1811272273.52,1813229766.18,1810188883.83,1810319404.28,1812968130.28,4.0,1635150239560.0,31,0.249997082454,0.25,0.124645892351,0.00779027735693,8.47275451554e-14
894.0,-526.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1755561392.24,2699385.66754,1755399128.24,1759009399.7,1752437912.78,1752839337.16,1758510616.92,4.0,7286682982130.0,58,0.249997082454,0.25,0.25,0.0156248176534,8.47275451554e-14
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1738296954.8,1241543.79895,1738566632.29,1739498402.25,1736556152.36,1736850245.37,1739366115.74,4.0,1541431004700.0,42,0.250002917546,0.25,0.25,0.0156251823466,8.47275451554e-14
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1715809661.12,1783513.22363,1715432407.36,1718121212.47,1714252617.31,1714300095.65,1717847381.86,4.0,3180919418870.0,36,0.250002387083,0.25,0.124645892351,0.00779044265698,8.47275451554e-14
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1688707053.16,5673346.1959,1688298277.38,1694664803.67,1683566854.22,1683655289.32,1694331103.1,4.0,32186857058500.0,79,0.124996154144,0.25,0.25,0.007812259634,8.47275451554e-14
894.0,-526.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1662349118.66,2343195.56085,1662209088.56,1665284194.58,1659694102.94,1659978356.81,1664915922.65,4.0,5490565436390.0,63,0.250002387083,0.25,0.25,0.0156251491927,8.47275451554e-14
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1651876502.46,2045468.33747,1652762927.37,1653144194.05,1648835961.04,1649387000.92,1653125009.12,4.0,4183940719600.0,52,0.124996154144,0.25,0.25,0.007812259634,8.47275451554e-14
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1643792521.48,1670088.07888,1643116638.41,1646275832.69,1642660976.42,1642720632.22,1645810647.04,4.0,2789194191220.0,47,0.125001458773,0.25,0.25,0.00781259117331,8.47275451554e-14
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1634550412.64,2632953.71474,1634499882.85,1637824837.3,1631377047.56,1631844280.14,1637327286.85,4.0,6932445263950.0,57,0.249997082454,0.25,0.25,0.0156248176534,8.47275451554e-14
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1619771411.02,2151368.78304,1619489260.04,1622273418.87,1617833705.13,1617877707.83,1622060125.58,4.0,4628387640640.0,41,0.250002917546,0.25,0.124645892351,0.00779045918698,8.47275451554e-14
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1592438551.69,5377640.03251,1594210975.88,1596532498.28,1584799756.73,1585965822.33,1596429887.18,4.0,28919012319300.0,84,0.249997082454,0.25,0.25,0.0156248176534,8.47275451554e-14
894.0,-526.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1565327968.14,3716283.70992,1566338077.58,1568586605.07,1560049112.35,1560891464.76,1568350318.32,4.0,13810764612700.0,68,0.250002917546,0.25,0.25,0.0156251823466,8.47275451554e-14
