npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix
894.0,-173.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,815831739.932,7237750.50924,818399188.124,821103360.024,805425223.455,807073464.207,820995588.187,4.0,52385032434000.0,0.249997082454,0.00391727014823,0.125354107649,0.125,8.47275451554e-14,110
894.0,-173.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,716086814.581,8304710.97445,714918337.993,727205344.73,707305237.607,708250588.446,725558907.938,4.0,68968224369200.0,0.250002387083,0.00391735326786,0.125354107649,0.125,8.47275451554e-14,115
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,714487751.135,5170912.52337,715395230.171,719276701.629,707883842.566,708642785.741,719062245.877,4.0,26738336324400.0,0.124996154144,0.003906129817,0.25,0.125,8.47275451554e-14,104
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,667691752.685,3989629.10714,668445361.027,671405327.333,662470961.356,663116835.363,671211618.33,4.0,15917140412500.0,0.249997082454,0.00781240882669,0.25,0.125,8.47275451554e-14,109
894.0,-173.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,622575011.173,7949408.47415,624231800.754,629851791.262,611984651.921,613359610.49,629470906.442,4.0,63193095088800.0,0.250002917546,0.00391736157982,0.125354107649,0.125,8.47275451554e-14,120
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,564564176.689,1693466.68039,564959094.554,566156882.067,562181635.582,562568564.391,566006903.978,4.0,2867829397610.0,0.250002387083,0.00781257459634,0.25,0.125,8.47275451554e-14,114
894.0,-173.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,531757364.426,7488959.65105,532159959.799,538665456.929,524044081.177,524435012.631,538516082.698,4.0,56084516655000.0,0.125001458773,0.00195868078991,0.125354107649,0.125,8.47275451554e-14,125
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,521818397.414,1217593.74376,521212110.794,523644763.015,521204605.054,521204757.215,523280838.882,4.0,1482534524840.0,0.124996154144,0.003906129817,0.25,0.125,8.47275451554e-14,103
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,489324207.515,4251121.06071,490303775.334,493314618.67,483374660.721,484309215.776,492967804.306,4.0,18072030272800.0,0.249997082454,0.00781240882669,0.25,0.125,8.47275451554e-14,108
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,473205972.793,9140867.42651,473359476.959,484245579.822,461859357.433,463581689.154,482615350.601,4.0,83555457309000.0,0.250002917546,0.00781259117331,0.25,0.125,8.47275451554e-14,119
