npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,prefix
894.0,-173.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1145705857.84,9769308.03809,1146519511.07,1156791675.59,1132992733.63,1134948634.44,1155323966.73,4.0,95439379543100.0,0.249997082454,0.125354107649,0.00391727014823,0.125,8.47275451554e-14,110
894.0,-173.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1127844330.65,7574715.92263,1128957459.07,1135790832.05,1117671572.4,1119180164.08,1134950117.43,4.0,57376321308500.0,0.250002387083,0.125354107649,0.00391735326786,0.125,8.47275451554e-14,115
894.0,-173.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1094849224.89,5881211.59256,1095372635.75,1100372399.62,1088279228.43,1088766687.85,1100198986.72,4.0,34588649796400.0,0.250002917546,0.125354107649,0.0039173615798200005,0.125,8.47275451554e-14,120
894.0,-173.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1064108506.75,4511655.23053,1062645284.0,1070424808.97,1060718650.04,1060761255.47,1069504269.89,4.0,20355032919200.0,0.125001458773,0.125354107649,0.0019586807899100002,0.125,8.47275451554e-14,125
894.0,-350.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,971017171.268,4867841.07752,972103106.1589999,975686573.503,964175899.248,965327811.597,975186222.09,4.0,23695876756000.0,0.249997082454,0.25,0.007812408826689999,0.125,8.47275451554e-14,109
894.0,-350.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,942621432.788,3770432.2220300003,942404716.337,946430189.782,939246108.6939999,939287037.384,946259231.223,4.0,14216159141000.0,0.250002387083,0.25,0.00781257459634,0.125,8.47275451554e-14,114
894.0,-350.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,941186908.987,2763430.3484400003,939915374.366,945324650.505,939592236.709,939629012.77,944524953.6719999,4.0,7636547290660.0,0.124996154144,0.25,0.003906129817,0.125,8.47275451554e-14,104
894.0,-350.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,908275117.396,7851764.96832,907785631.8039999,916175198.4369999,901354007.5389999,901405360.761,915830153.86,4.0,61650213117700.0,0.250002917546,0.25,0.00781259117331,0.125,8.47275451554e-14,119
894.0,-350.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,858539163.272,10739841.0671,858616865.8160001,871614564.295,845308357.163,847303374.607,869666168.376,4.0,115344186147000.0,0.125001458773,0.25,0.00390629558665,0.125,8.47275451554e-14,124
894.0,-350.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,844903809.494,5256902.8372,842495765.603,852744931.012,841878775.758,841884265.0439999,851294615.392,4.0,27635027439800.0,0.250002387083,0.25,0.015625149192700003,0.25,8.47275451554e-14,89
