npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,2014760203.73,2058199.14441,2014463912.42,2017113324.33,2012999665.75,2013009938.44,2016925276.86,4.0,4236183718040.0,11,0.125,0.250002387083,0.12464589235099999,8.47275451554e-14,0.00389522132849
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,2014444202.65,1261950.6753200002,2014731193.02,2015648472.49,2012665952.06,2012973642.09,2015512976.69,4.0,1592519506940.0,16,0.125,0.250002917546,0.12464589235099999,8.47275451554e-14,0.0038952295934899994
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,2013837142.64,3034041.24932,2014222738.57,2016647254.96,2010255838.46,2010578459.69,2016555991.28,4.0,9205406302590.0,21,0.125,0.125001458773,0.12464589235099999,8.47275451554e-14,0.00194761479675
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,2010521708.24,762135.477649,2010690532.27,2011212355.23,2009493413.17,2009631742.72,2011175320.1,4.0,580850486291.0,6,0.125,0.249997082454,0.12464589235099999,8.47275451554e-14,0.0038951386784600002
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1886749576.85,2437289.29263,1886786652.27,1889194239.63,1884230763.25,1884365454.24,1889081793.88,4.0,5940379095980.0,37,0.25,0.250002387083,0.25,8.47275451554e-14,0.015625149192700003
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1884488341.52,2350828.50495,1883937859.16,1887753923.93,1882323723.85,1882482090.66,1887265267.7,4.0,5526394659710.0,42,0.25,0.250002917546,0.25,8.47275451554e-14,0.0156251823466
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1883939896.45,1679378.50912,1884021239.94,1885909836.33,1881807269.6,1882124767.06,1885641144.96,4.0,2820312176910.0,32,0.25,0.249997082454,0.25,8.47275451554e-14,0.0156248176534
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1875503739.62,2035121.51228,1875595150.85,1877532187.68,1873292469.1,1873442176.6,1877437326.91,4.0,4141719569760.0,27,0.25,0.124996154144,0.25,8.47275451554e-14,0.007812259634
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1875055752.1,2822790.9813900003,1876049538.69,1877219915.75,1870904015.28,1871665950.47,1877054252.51,4.0,7968148924620.0,47,0.25,0.125001458773,0.25,8.47275451554e-14,0.00781259117331
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1768250051.26,1177401.39438,1768734580.46,1769013836.79,1766517207.35,1766815745.04,1769006016.62,4.0,1386274043490.0,31,0.25,0.249997082454,0.12464589235099999,8.47275451554e-14,0.00779027735693
894.0,-526.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1764718081.99,4460929.94434,1766456079.03,1767823585.14,1758136584.75,1759295884.1,1767707084.01,4.0,19899895968300.0,58,0.25,0.249997082454,0.25,8.47275451554e-14,0.0156248176534
894.0,-526.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1761210884.25,2743898.0592900002,1760431303.14,1765033577.07,1758947353.65,1759034327.28,1764478854.77,4.0,7528976559760.0,63,0.25,0.250002387083,0.25,8.47275451554e-14,0.015625149192700003
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1759980305.13,1025196.8766,1760229819.81,1760933991.75,1758527589.17,1758773048.27,1760838241.45,4.0,1051028635790.0,36,0.25,0.250002387083,0.12464589235099999,8.47275451554e-14,0.00779044265698
894.0,-526.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1757403222.9,2206086.16523,1757250457.97,1759710890.4,1755401085.28,1755436161.32,1759584155.4,4.0,4866816168410.0,68,0.25,0.250002917546,0.25,8.47275451554e-14,0.0156251823466
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1751449327.23,2499641.86636,1751308863.85,1754549685.8,1748629895.42,1748918307.08,1754176996.11,4.0,6248209460080.0,41,0.25,0.250002917546,0.12464589235099999,8.47275451554e-14,0.007790459186979999
894.0,-526.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1747252427.06,139437.323742,1747227391.49,1747441014.78,1747113910.49,1747125820.99,1747414082.94,4.0,19442767252.3,73,0.25,0.125001458773,0.25,8.47275451554e-14,0.00781259117331
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1729908846.43,2505038.1444099997,1730726778.59,1731901555.19,1726280273.34,1726884482.47,1731788105.36,4.0,6275216104960.0,46,0.25,0.125001458773,0.12464589235099999,8.47275451554e-14,0.0038952295934899994
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1691106270.17,1593506.61744,1690638737.34,1693328410.08,1689819195.92,1689860922.52,1693006163.79,4.0,2539263339810.0,26,0.25,0.124996154144,0.12464589235099999,8.47275451554e-14,0.00389506429344
894.0,-350.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1648063776.5,3597957.5353900003,1647832189.82,1652646232.56,1643944493.79,1644435106.77,1652016667.58,4.0,12945298426500.0,84,0.25,0.249997082454,0.25,8.47275451554e-14,0.0156248176534
894.0,-350.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1644192626.36,4086200.55848,1643447354.78,1649760273.88,1640115522.02,1640491659.86,1648936973.09,4.0,16697035004200.0,89,0.25,0.250002387083,0.25,8.47275451554e-14,0.015625149192700003
894.0,-350.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1641952667.31,2796789.68247,1642816365.55,1644288975.41,1637888962.72,1638623192.05,1644072965.03,4.0,7822032527960.0,79,0.25,0.124996154144,0.25,8.47275451554e-14,0.007812259634
894.0,-703.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1634147865.15,2043736.36574,1634885324.53,1635673778.0,1631147033.54,1631672682.01,1635590605.16,4.0,4176858332640.0,57,0.25,0.249997082454,0.25,8.47275451554e-14,0.0156248176534
894.0,-350.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1627956451.13,3206142.12049,1628619096.58,1630857295.63,1623730315.74,1624260032.39,1630725166.25,4.0,10279347296800.0,94,0.25,0.250002917546,0.25,8.47275451554e-14,0.0156251823466
894.0,-703.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1625514143.36,2393151.00957,1626223350.35,1627508066.9,1622101805.86,1622640964.06,1627394432.88,4.0,5727171754630.0,62,0.25,0.250002387083,0.25,8.47275451554e-14,0.015625149192700003
894.0,-350.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1608859979.21,6022083.75074,1608850224.11,1615967268.29,1601772200.31,1602533040.37,1615200575.17,4.0,36265492701000.0,99,0.25,0.125001458773,0.25,8.47275451554e-14,0.00781259117331
894.0,-703.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1607648421.09,6486880.95915,1607405722.52,1615562280.96,1600219958.37,1600992068.82,1614644551.36,4.0,42079624578200.0,67,0.25,0.250002917546,0.25,8.47275451554e-14,0.0156251823466
894.0,-703.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1583830671.39,1996546.5531400002,1584658934.63,1585147186.23,1580857630.08,1581415111.79,1585086662.47,4.0,3986198138860.0,72,0.25,0.125001458773,0.25,8.47275451554e-14,0.00781259117331
894.0,-703.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1570731073.19,1954495.41977,1570084028.8,1573546322.67,1569209912.49,1569275366.19,1573092642.33,4.0,3820052345920.0,52,0.25,0.124996154144,0.25,8.47275451554e-14,0.007812259634
894.0,-173.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1549056705.45,5357014.72767,1549937653.39,1554492962.52,1541858552.51,1542881441.9,1553998641.9,4.0,28697606792500.0,110,0.125,0.249997082454,0.125354107649,8.47275451554e-14,0.00391727014823
