npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity
894.0,-791.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2257837401.7,540175.340208,2257837401.7,2258219363.35,2257455440.06,2257493636.22,2258181167.18,2.0,291789398169.0,0.000684035030532,102,0.0555467537293,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-791.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,58911.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2232049761.93,344691.524642,2232049761.93,2232293495.64,2231806028.21,2231830401.58,2232269122.27,2.0,118812247160.0,0.00136819780737,112,0.11110388104,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-791.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2204915029.2,50616.9259986,2204915029.2,2204950820.77,2204879237.63,2204882816.79,2204947241.61,2.0,2562073197.55,0.00136831394038,122,0.111113311568,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-879.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,58911.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2186280174.57,1106636.53006,2186280174.57,2187062684.77,2185497664.38,2185575915.4,2186984433.75,2.0,1224644409670.0,0.000684098903686,111,0.11110388104,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-791.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,176734.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2178865174.67,464286.649268,2178865174.67,2179193474.91,2178536874.43,2178569704.45,2179160644.88,2.0,215562092688.0,0.00136831394038,132,0.111113311568,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-879.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2165223097.83,287631.044719,2165223097.83,2165426483.69,2165019711.96,2165040050.55,2165406145.1,2.0,82731617885.9,0.000342017515266,101,0.0555467537293,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2159845799.49,1034656.86154,2159845799.49,2160577412.37,2159114186.6,2159187347.89,2160504251.08,2.0,1070514821130.0,0.000687921593205,203,0.0555467537293,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-879.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2159234324.27,61169.0713581,2159234324.27,2159277577.34,2159191071.21,2159195396.52,2159273252.03,2.0,3741655290.82,0.00068415697019,121,0.111113311568,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-791.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2151302650.51,14490.5347097,2151302650.51,2151312896.86,2151292404.15,2151293428.79,2151311872.23,2.0,209975596.172,0.00136831394038,142,0.111113311568,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,58911.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2134829488.61,999403.542216,2134829488.61,2135536173.63,2134122803.59,2134193472.09,2135465505.13,2.0,998807440193.0,0.00137597165855,213,0.11110388104,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-879.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,176734.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2133468809.09,467182.955165,2133468809.09,2133799157.33,2133138460.86,2133171495.68,2133766122.51,2.0,218259913596.0,0.00068415697019,131,0.111113311568,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-791.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,294557.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2125194686.62,276611.230199,2125194686.62,2125390280.3,2124999092.95,2125018652.32,2125370720.93,2.0,76513772672.3,0.00136831394038,152,0.111113311568,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2107155979.86,3336233.21814,2107155979.86,2109515052.99,2104796906.72,2105032814.04,2109279145.68,2.0,11130452085800.0,0.0013760884514,223,0.111113311568,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-879.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2105001991.71,962961.2812,2105001991.71,2105682908.16,2104321075.25,2104389166.9,2105614816.51,2.0,927294429090.0,0.00068415697019,141,0.111113311568,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-791.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2097691214.32,211500.148249,2097691214.32,2097840767.51,2097541661.13,2097556616.45,2097825812.19,2.0,44732312709.2,0.00136831394038,162,0.111113311568,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-791.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,58911.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2088096091.96,764324.902,2088096091.96,2088636551.28,2087555632.64,2087609678.57,2088582505.35,2.0,584192555817.0,0.00136819780737,212,0.11110388104,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-879.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,294557.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2081204472.68,133458.972588,2081204472.68,2081298842.43,2081110102.94,2081119539.91,2081289405.45,2.0,17811297364.2,0.00068415697019,151,0.111113311568,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,176734.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2079438643.69,661964.111962,2079438643.69,2079906723.01,2078970564.38,2079017372.31,2079859915.08,2.0,438196485526.0,0.0013760884514,233,0.111113311568,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-791.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,412380.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2071613185.2,256792.261484,2071613185.2,2071794764.74,2071431605.65,2071449763.6,2071776606.79,2.0,65942265558.2,0.00136830232708,172,0.111112368515,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-791.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2066733215.23,1362254.68747,2066733215.23,2067696474.76,2065769955.7,2065866281.66,2067600148.81,2.0,1855737833530.0,0.000684035030532,202,0.0555467537293,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-791.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2059652236.17,2333734.78708,2059652236.17,2061302435.86,2058002036.48,2058167056.45,2061137415.89,2.0,5446318056420.0,0.00136831394038,222,0.111113311568,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2054822439.32,3844819.44735,2054822439.32,2057541137.23,2052103741.42,2052375611.21,2057269267.44,2.0,14782636582700.0,0.0013760884514,243,0.111113311568,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-879.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2053237408.73,44036.9671383,2053237408.73,2053268547.56,2053206269.89,2053209383.77,2053265433.68,2.0,1939254474.74,0.00068415697019,161,0.111113311568,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-791.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2045156588.81,1502370.87154,2045156588.81,2046218925.44,2044094252.18,2044200485.84,2046112691.78,2.0,2257118235670.0,0.00136831394038,182,0.111113311568,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-791.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,176734.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2033468748.77,1928365.75691,2033468748.77,2034832309.27,2032105188.27,2032241544.32,2034695953.22,2.0,3718594492430.0,0.00136831394038,232,0.111113311568,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,58911.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2032669592.59,78541.38549,2032669592.59,2032725129.74,2032614055.45,2032619609.16,2032719576.02,2.0,6168749234.68,0.000684098903686,211,0.11110388104,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,294557.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2026179527.16,2552126.19709,2026179527.16,2027984152.9,2024374901.42,2024555363.99,2027803690.32,2.0,6513348125880.0,0.0013760884514,253,0.111113311568,1.19052167158e-13,0.111111111111,0.111460957179
894.0,-879.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,412380.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2025469561.15,219149.020472,2025469561.15,2025624522.91,2025314599.39,2025330095.57,2025609026.73,2.0,48026293173.8,0.00068415116354,171,0.111112368515,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-791.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,530203.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2019059887.09,155043.565162,2019059887.09,2019169519.45,2018950254.73,2018961217.97,2019158556.21,2.0,24038507098.3,0.00068416277684,192,0.0555571273102,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-791.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2007016407.67,1067915.07486,2007016407.67,2007771537.66,2006261277.67,2006336790.67,2007696024.66,2.0,1140442607110.0,0.00136831394038,242,0.111113311568,1.19052167158e-13,0.111111111111,0.110831234257
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2004633432.73,1679023.06643,2004633432.73,2005820681.33,2003446184.13,2003564908.99,2005701956.47,2.0,2819118457590.0,0.00068415697019,221,0.111113311568,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-879.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2000869407.92,161715.132926,2000869407.92,2000983757.79,2000755058.05,2000766493.04,2000972322.8,2.0,26151784217.4,0.00068415697019,181,0.111113311568,1.19052167158e-13,0.111111111111,0.0554156171285
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1999437142.45,2171362.27254,1999437142.45,2000972527.44,1997901757.47,1998055295.97,2000818988.94,2.0,4714814118610.0,0.0013760884514,263,0.111113311568,1.19052167158e-13,0.111111111111,0.111460957179
