npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1906988680.46,200178.172223,1906988680.46,1907130227.8,1906847133.11,1906861287.85,1907116073.06,2.0,40071300634.5,1.69457067906e-13,0.00781201926239,0.25,27,0.124992308198,0.25
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1852614786.49,2246318.72022,1852614786.49,1854203173.69,1851026399.29,1851185238.01,1854044334.97,2.0,5045947792810.0,1.69457067906e-13,0.0156247016111,0.25,32,0.249995225778,0.25
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1799878698.32,1046573.04051,1799878698.32,1800618737.22,1799138659.43,1799212663.32,1800544733.33,2.0,1095315129120.0,1.69457067906e-13,0.0156253646975,0.25,37,0.25000583516,0.25
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1748911774.19,1116116.55122,1748911774.19,1749700987.77,1748122560.61,1748201481.96,1749622066.41,2.0,1245716155910.0,1.69457067906e-13,0.00779021950017,0.124645892351,31,0.249995225778,0.25
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1745692274.85,2432255.90809,1745692274.85,1747412139.5,1743972410.2,1744144396.67,1747240153.03,2.0,5915868802450.0,1.69457067906e-13,0.0156252983889,0.25,42,0.250004774222,0.25
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1720264759.51,182784.666896,1720264759.51,1720394007.79,1720135511.23,1720148436.06,1720381082.96,2.0,33410234452.3,1.69457067906e-13,0.00389494444811,0.124645892351,26,0.124992308198,0.25
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1694036957.46,1118181.62644,1694036957.46,1694827631.27,1693246283.65,1693325351.03,1694748563.89,2.0,1250330149710.0,1.69457067906e-13,0.00779055010413,0.124645892351,36,0.25000583516,0.25
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1691333686.68,2269994.45685,1691333686.68,1692938815.15,1689728558.21,1689889071.05,1692778302.31,2.0,5152874834120.0,1.69457067906e-13,0.00781261604011,0.25,47,0.125001856642,0.25
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1656513140.62,2129313.90421,1656513140.62,1658018792.92,1655007488.32,1655158053.55,1657868227.69,2.0,4533977702660.0,1.69457067906e-13,0.00781201926239,0.25,79,0.124992308198,0.25
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1641521017.9,5049224.32915,1641521017.9,1645091358.67,1637950677.14,1638307711.22,1644734324.59,2.0,25494666326100.0,1.69457067906e-13,0.00779051704374,0.124645892351,41,0.250004774222,0.25
