npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,2690933748.92,818273.4760220001,2690784102.67,2691993857.37,2690172932.98,2690210394.73,2691866607.87,4.0,669571481561.0,8.47275451554e-14,0.12464589235099999,0.0038952295934899994,0.125,0.250002917546,16
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,2689588667.5,1395178.69373,2689772942.52,2690926462.01,2687882322.94,2688056182.38,2690863167.59,4.0,1946523587430.0,8.47275451554e-14,0.12464589235099999,0.00389522132849,0.125,0.250002387083,11
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,2687724264.58,1765255.3527400002,2688072194.35,2689479556.76,2685273112.86,2685679115.81,2689282311.67,4.0,3116126460390.0,8.47275451554e-14,0.12464589235099999,0.00194761479675,0.125,0.125001458773,21
894.0,-879.0,-22092.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,2686102765.45,348213.48802600004,2686139010.89,2686485054.76,2685647985.24,2685712057.69,2686442729.58,4.0,121252633243.0,8.47275451554e-14,0.12464589235099999,0.0038951386784600002,0.125,0.249997082454,6
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,2427987716.43,2463785.23763,2427890109.86,2430928680.87,2425241965.14,2425489065.51,2430623016.56,4.0,6070237697160.0,8.47275451554e-14,0.25,0.015625149192700003,0.25,0.250002387083,37
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,2424987992.52,1562160.82779,2425595803.15,2426056377.46,2422703986.3,2423087554.63,2426037495.52,4.0,2440346451880.0,8.47275451554e-14,0.25,0.0156248176534,0.25,0.249997082454,32
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,2424268831.51,1795951.9382900002,2424462748.15,2426209630.64,2421940199.11,2422250509.5,2426015670.23,4.0,3225443364670.0,8.47275451554e-14,0.25,0.0156251823466,0.25,0.250002917546,42
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,2419957924.89,892672.552151,2419894729.55,2420881574.09,2419160666.37,2419170496.81,2420833826.45,4.0,796864285363.0,8.47275451554e-14,0.25,0.00781259117331,0.25,0.125001458773,47
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,2414959660.33,992322.446913,2415002182.7,2416049038.86,2413785237.09,2413902011.18,2415957778.18,4.0,984703838647.0,8.47275451554e-14,0.25,0.007812259634,0.25,0.124996154144,27
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,2308114298.79,2791221.69331,2308614774.17,2310950400.27,2304277246.54,2304893447.04,2310634485.0,4.0,7790918541210.0,8.47275451554e-14,0.12464589235099999,0.00779027735693,0.25,0.249997082454,31
