npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1060557413.58,33439.7234517,1060557413.58,1060581059.04,1060533768.13,1060536132.67,1060578694.49,2.0,1118215104.52,0.249990803752,0.125333333333,0.25,1.0406674226900002e-12,31,0.00783304518423
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1047595066.21,346219.352896,1047595066.21,1047839880.26,1047350252.15,1047374733.56,1047815398.85,2.0,119867840320.0,0.124986205628,0.125333333333,0.25,1.0406674226900002e-12,26,0.00391623444301
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1039088284.97,351277.298588,1039088284.97,1039336675.53,1038839894.41,1038864733.46,1039311836.47,2.0,123395740503.0,0.250009196248,0.125333333333,0.25,1.0406674226900002e-12,36,0.00783362148244
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1015134291.19,24983.5152664,1015134291.19,1015151957.2,1015116625.17,1015118391.77,1015150190.6,2.0,624176035.068,0.250009196248,0.125333333333,0.25,1.0406674226900002e-12,41,0.00783362148244
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,993538483.976,525117.928267,993538483.976,993909798.424,993167169.528,993204300.973,993872666.979,2.0,275748838587.0,0.125004598124,0.125333333333,0.25,1.0406674226900002e-12,46,0.00391681074122
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,964320411.68,359106.406795,964320411.68,964574338.256,964066485.105,964091877.763,964548945.598,2.0,128957411401.0,0.124986205628,0.249333333333,0.25,1.0406674226900002e-12,53,0.00779080681749
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,943205213.759,799181.357759,943205213.759,943770320.316,942640107.201,942696617.857,943713809.66,2.0,638690842590.0,0.249990803752,0.249333333333,0.25,1.0406674226900002e-12,58,0.0155827601005
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,921794189.671,168310.24889,921794189.671,921913202.989,921675176.352,921687077.684,921901301.657,2.0,28328339881.3,0.250009196248,0.249333333333,0.25,1.0406674226900002e-12,63,0.0155839065661
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,898545108.444,803297.998141,898545108.444,899113125.906,897977090.982,898033892.728,899056324.159,2.0,645287673818.0,0.250009196248,0.249333333333,0.25,1.0406674226900002e-12,68,0.0155839065661
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,890246856.351,483619.673298,890246856.351,890588827.102,889904885.601,889939082.676,890554630.027,2.0,233887988401.0,0.249990803752,0.249333333333,0.25,1.0406674226900002e-12,57,0.0155827601005
