npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,1045329788.08,28827.072743099998,1045339275.74,1045352218.12,1045288382.74,1045294980.38,1045351313.06,4.0,831000122.9339999,6,0.124973477615,1.04066742269e-12,0.249990803752,0.125333333333,0.00391569158796
522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,1019091833.65,119053.75362799999,1019085609.01,1019241282.94,1018954833.63,1018970567.57,1019221814.21,4.0,14173796252.9,11,0.124973477615,1.04066742269e-12,0.250009196248,0.125333333333,0.0039159796759200005
522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,992380262.298,177723.115462,992366319.402,992604268.526,992184141.864,992203442.658,992576601.994,4.0,31585505769.5,16,0.124973477615,1.04066742269e-12,0.250009196248,0.125333333333,0.0039159796759200005
522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,965656871.048,210022.740668,965669505.66,965898602.7160001,965389870.157,965426744.5580001,965869309.0810001,4.0,44109551597.6,21,0.124973477615,1.04066742269e-12,0.125004598124,0.125333333333,0.0019579898379600003
522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,832681076.043,159699.689446,832702008.1810001,832847286.641,832473001.171,832500069.457,832832777.637,4.0,25503990809.0,32,0.25,1.04066742269e-12,0.249990803752,0.24933333333299998,0.0155827601005
522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,806353912.911,131494.284202,806404087.136,806448295.004,806159182.37,806195593.383,806441988.526,4.0,17290746777.9,37,0.25,1.04066742269e-12,0.250009196248,0.24933333333299998,0.0155839065661
522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,779638050.25,162224.786431,779619335.945,779852769.6689999,779460759.4410001,779481712.2789999,779820588.248,4.0,26316881332.7,42,0.25,1.04066742269e-12,0.250009196248,0.24933333333299998,0.0155839065661
522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,752605996.959,86493.759639,752634387.102,752674798.859,752480414.773,752501592.838,752670654.879,4.0,7481170456.48,47,0.25,1.04066742269e-12,0.125004598124,0.24933333333299998,0.007791953283060001
522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,747405754.041,105354.922824,747384150.76,747545741.006,747308973.637,747314063.02,747527689.655,4.0,11099659763.3,26,0.25,1.04066742269e-12,0.12498620562799999,0.125333333333,0.00391623444301
522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,735847923.516,473300.8915479999,735929808.11,736270714.295,735261363.548,735322539.992,736258668.608,4.0,224013733940.0,31,0.25,1.04066742269e-12,0.249990803752,0.125333333333,0.00783304518423
522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,708664851.163,269148.591412,708624778.589,709021212.5389999,708388634.9360001,708413022.337,708972781.594,4.0,72440964259.1,36,0.25,1.04066742269e-12,0.250009196248,0.125333333333,0.00783362148244
522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,680939804.646,324262.843453,680982759.0619999,681240973.758,680552726.7,680588926.264,681230546.844,4.0,105146391644.0,41,0.25,1.04066742269e-12,0.250009196248,0.125333333333,0.00783362148244
522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,653104510.7540001,162535.691797,653086169.475,653317635.644,652928068.4219999,652947008.685,653287690.614,4.0,26417851108.0,46,0.25,1.04066742269e-12,0.125004598124,0.125333333333,0.00391681074122
522.0,-320.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,648661864.643,247774.688133,648574194.79,649026477.285,648472591.707,648487176.109,648959290.971,4.0,61392296079.3,53,0.25,1.04066742269e-12,0.12498620562799999,0.24933333333299998,0.00779080681749
522.0,-320.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,622529223.918,157218.26948599998,622530329.6290001,622695416.699,622360819.714,622371948.796,622684951.043,4.0,24717584260.3,58,0.25,1.04066742269e-12,0.249990803752,0.24933333333299998,0.0155827601005
522.0,-320.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,596059336.566,113957.072597,596029259.196,596217383.006,595961444.8659999,595966221.304,596194560.146,4.0,12986214395.0,63,0.25,1.04066742269e-12,0.250009196248,0.24933333333299998,0.0155839065661
522.0,-320.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,568943599.569,206895.106098,568890142.8840001,569238112.331,568756000.179,568773177.9480001,569188860.551,4.0,42805584927.1,68,0.25,1.04066742269e-12,0.250009196248,0.24933333333299998,0.0155839065661
522.0,-320.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,541915831.076,115174.689973,541911652.988,542025989.952,541814028.377,541814736.614,542022774.862,4.0,13265209210.4,73,0.25,1.04066742269e-12,0.125004598124,0.24933333333299998,0.007791953283060001
522.0,-413.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,536885354.387,155024.565876,536864745.997,537074746.537,536737179.018,536744025.453,537055535.0680001,4.0,24032616025.1,52,0.25,1.04066742269e-12,0.12498620562799999,0.24933333333299998,0.00779080681749
522.0,-413.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,524545747.866,276087.715642,524572630.433,524839606.34900004,524198124.247,524239287.825,524814572.312,4.0,76224426728.3,57,0.25,1.04066742269e-12,0.249990803752,0.24933333333299998,0.0155827601005
522.0,-413.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,496773655.83699995,221251.620104,496771004.145,497032330.621,496520284.436,496544588.371,497006435.671,4.0,48952279398.8,62,0.25,1.04066742269e-12,0.250009196248,0.24933333333299998,0.0155839065661
522.0,-413.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,469096691.456,583780.614613,469086939.01,469821285.26199996,468391602.54300004,468495398.35800004,469711637.97900003,4.0,340799805997.0,67,0.25,1.04066742269e-12,0.250009196248,0.24933333333299998,0.0155839065661
522.0,-226.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,444456993.829,392428.28209,444492796.82,444899138.69699997,443943242.98,444025460.16800004,444838403.30300003,4.0,153999956584.0,79,0.25,1.04066742269e-12,0.12498620562799999,0.250666666667,0.00783246888603
522.0,-413.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,440649357.185,461799.95228900004,440610405.04800004,441192786.138,440183832.504,440210361.191,441142886.17,4.0,213259195934.0,72,0.25,1.04066742269e-12,0.125004598124,0.24933333333299998,0.007791953283060001
522.0,-507.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,425264113.732,134693.35751099998,425303316.53,425375948.34800005,425073873.519,425102824.881,425370518.665,4.0,18142300557.6,51,0.25,1.04066742269e-12,0.12498620562799999,0.125333333333,0.00391623444301
522.0,-507.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,422428206.568,532932.879467,422429882.806,423074344.172,421778716.487,421864431.075,422989635.32699996,4.0,284017454017.0,56,0.25,1.04066742269e-12,0.249990803752,0.125333333333,0.00783304518423
522.0,-226.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,418166689.845,340378.15144499997,418150483.58699995,418528476.78400004,417837315.424,417849487.21,418506581.24300003,4.0,115857285981.0,84,0.25,1.04066742269e-12,0.249990803752,0.250666666667,0.015666090368500002
522.0,-507.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,394152688.34099996,236707.95893000002,394146385.03800005,394432390.21099997,393885593.075,393910308.943,394403892.362,4.0,56030657820.9,61,0.25,1.04066742269e-12,0.250009196248,0.125333333333,0.00783362148244
522.0,-226.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,391409749.58,353771.543611,391477524.97800004,391749949.933,390933998.433,390999027.254,391725586.35,4.0,125154305069.0,89,0.25,1.04066742269e-12,0.250009196248,0.250666666667,0.015667242964899998
522.0,-507.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,365878196.505,173260.23443900002,365912463.47300005,366041242.766,365646616.308,365677310.61,366031108.645,4.0,30019108837.8,66,0.25,1.04066742269e-12,0.250009196248,0.125333333333,0.00783362148244
522.0,-226.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,364310380.6,392699.752915,364313097.13,364784078.52699995,363831249.61300004,363893651.601,364723306.45699996,4.0,154213095939.0,94,0.25,1.04066742269e-12,0.250009196248,0.250666666667,0.015667242964899998
522.0,-507.0,-8030.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,336916704.552,695232.197974,336761588.943,337891180.575,336252459.746,336317655.867,337732915.089,4.0,483347809100.0,71,0.25,1.04066742269e-12,0.125004598124,0.125333333333,0.00391681074122
522.0,-226.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,336397684.11,84509.5580062,336387903.579,336491236.065,336323693.217,336324445.798,336484615.165,4.0,7141865394.41,99,0.25,1.04066742269e-12,0.125004598124,0.250666666667,0.00783362148244
522.0,-320.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,329714455.057,484998.00436499994,329733956.923,330274007.641,329115898.739,329189182.673,330212424.827,4.0,235223064238.0,78,0.25,1.04066742269e-12,0.12498620562799999,0.24933333333299998,0.00779080681749
522.0,-320.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,316012062.001,451208.323887,315995129.825,316469939.476,315588048.879,315599276.408,316448552.642,4.0,203588951545.0,83,0.25,1.04066742269e-12,0.249990803752,0.24933333333299998,0.0155827601005
522.0,-320.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,288196149.66400003,287223.966274,288155153.103,288582480.543,287891811.905,287926272.589,288523421.924,4.0,82497606802.4,88,0.25,1.04066742269e-12,0.250009196248,0.24933333333299998,0.0155839065661
522.0,-320.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,259440248.107,256298.281608,259478284.278,259698570.975,259105852.89900002,259148460.598,259678784.978,4.0,65688809155.2,93,0.25,1.04066742269e-12,0.250009196248,0.24933333333299998,0.0155839065661
