cfYears,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,ft_ftCAPEX_CashFlow,ft_ftCAPEX_depreciation,ft_ftCAPEX_depreciation_tax_credit,ft_ftFOM_CashFlow,ft_ftVOM_CashFlow,ft_co2_shipping_CashFlow,ft_h2_ptc_CashFlow,ft_elec_consumption_ftELEC_CAP_MARKET_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-354788741.694,0.0,0.0,0.0,0.0,0.0,-177156918.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16991000.0,0.0,0.0,0.0,0.0
1,0.0,-12371425.7845,17360967.9827,-15372240.0,-10017428.5784,-14162259.15,0.0,-6177432.96974,8668864.67828,-21732221.0,-5444268.9882,-55596377.1497,334886040.0,-416208.405,48992.6174173,22648755.9904,31250803.2347,21919437.477,0.0,-592473.409669,831424.936387,0.0,0.0
2,0.0,-23004217.0586,32282089.6135,-15372240.0,-10017428.5784,-14162259.15,0.0,-11486712.3141,16119439.116,-21732221.0,-5444268.9882,-55596377.1497,334886040.0,-416208.405,65516.0298095,22648755.9904,31250803.2347,21919437.477,0.0,-1101682.79347,1546004.48144,0.0,0.0
3,0.0,-20262081.9659,28434019.0372,-15372240.0,-10017428.5784,-14162259.15,0.0,-10117480.0183,14197979.2566,-21732221.0,-5444268.9882,-55596377.1497,334886040.0,-416208.405,40984.6938126,21327578.5576,33451564.0259,20886584.4022,0.0,-970360.651915,1361718.5685,0.0,0.0
4,0.0,-17858409.6105,25060917.2194,-15372240.0,-10017428.5784,-14162259.15,0.0,-8917252.56549,12513685.8904,-21732221.0,-5444268.9882,-55596377.1497,334886040.0,-416208.405,38417.0704281,18119004.7923,30150422.8391,19394685.5163,0.0,-855247.650316,1200179.1332,0.0,0.0
5,0.0,-15729662.0175,22073620.569,-15372240.0,-10017428.5784,-14162259.15,0.0,-7854303.4928,11022036.897,-21732221.0,-5444268.9882,-55596377.1497,334886040.0,-416208.405,44268.9708554,17741525.5258,33891716.1841,20083254.2329,0.0,-753300.925117,1057116.08913,0.0,0.0
6,0.0,-13839114.5706,19420592.9983,-15372240.0,-10017428.5784,-14162259.15,0.0,-6910295.07108,9697298.7245,-21732221.0,-5444268.9882,-55596377.1497,334886040.0,-416208.405,51438.7844459,17552785.8926,34111792.2632,19624208.4218,0.0,-662761.717146,930061.348787,0.0,0.0
7,0.0,-12826447.0132,17999504.6494,-15372240.0,-10017428.5784,-14162259.15,0.0,-6404639.04842,8987705.65312,-21732221.0,-5444268.9882,-55596377.1497,334886040.0,-416208.405,51747.4005668,17741525.5258,34551944.4214,19279924.0636,0.0,-614264.590697,862004.758205,0.0,0.0
8,0.0,-12552796.0591,17615487.0321,-15372240.0,-10017428.5784,-14162259.15,0.0,-6267996.71992,8795953.859,-21732221.0,-5444268.9882,-55596377.1497,334886040.0,-416208.405,36143.5792646,17930265.1591,35432248.7379,18935639.7053,0.0,-601159.317574,843613.973581,0.0,0.0
9,0.0,-12305805.4263,17268882.1587,-15372240.0,-10017428.5784,-14162259.15,0.0,-6144666.70892,8622883.39731,-21732221.0,-5444268.9882,-55596377.1497,334886040.0,-416208.405,70763.9339804,18307744.4256,36312553.0544,19165162.6108,0.0,-589330.819799,827014.90289,0.0,0.0
