npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,prefix
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,905363679.459,22205.1368739,905363679.459,905379380.862,905347978.056,905349548.197,905377810.722,2.0,493068103.588,0.25,0.00391623444301,0.124986205628,0.125333333333,1.0406674226900002e-12,26
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,901123156.113,73219.1975523,901123156.113,901174929.904,901071382.322,901076559.701,901169752.525,2.0,5361050890.21,0.25,0.00783304518423,0.249990803752,0.125333333333,1.0406674226900002e-12,31
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,871961120.008,74439.9128338,871961120.008,872013756.975,871908483.041,871913746.738,872008493.278,2.0,5541300622.7,0.25,0.00783362148244,0.250009196248,0.125333333333,1.0406674226900002e-12,36
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,842725567.521,243530.954352,842725567.521,842897769.91,842553365.132,842570585.371,842880549.671,2.0,59307325727.6,0.25,0.00783362148244,0.250009196248,0.125333333333,1.0406674226900002e-12,41
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,822900186.203,399671.616155,822900186.203,823182796.713,822617575.693,822645836.744,823154535.662,2.0,159737400760.0,0.25,0.00779080681749,0.124986205628,0.249333333333,1.0406674226900002e-12,53
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,813411663.314,371914.506298,813411663.314,813674646.583,813148680.044,813174978.371,813648348.256,2.0,138320399995.0,0.25,0.00391681074122,0.125004598124,0.125333333333,1.0406674226900002e-12,46
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,793350376.238,53107.613313,793350376.238,793387928.992,793312823.485,793316578.76,793384173.716,2.0,2820418591.8,0.25,0.0155827601005,0.249990803752,0.249333333333,1.0406674226900002e-12,58
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,764232256.614,211530.118443,764232256.614,764381830.995,764082682.233,764097639.671,764366873.557,2.0,44744991008.5,0.25,0.0155839065661,0.250009196248,0.249333333333,1.0406674226900002e-12,63
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,734192606.05,942157.791745,734192606.05,734858812.213,733526399.886,733593020.503,734792191.597,2.0,887661304545.0,0.25,0.0155839065661,0.250009196248,0.249333333333,1.0406674226900002e-12,68
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,723797905.887,394681.427,723797905.887,724076987.8,723518823.973,723546732.165,724049079.609,2.0,155773428819.0,0.25,0.00779080681749,0.124986205628,0.249333333333,1.0406674226900002e-12,52
