npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1160363481.06,15169.6728143,1160365843.78,1160379302.62,1160342934.04,1160346096.16,1160377558.14,4.0,230118973.293,6,0.249990803752,1.0406674226900002e-12,0.125333333333,0.124973477615,0.00391569158796
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1133789437.51,26339.2325083,1133794551.62,1133812353.05,1133756293.76,1133759897.04,1133811818.24,4.0,693755169.124,11,0.250009196248,1.0406674226900002e-12,0.125333333333,0.124973477615,0.00391597967592
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1107189150.11,76946.0821935,1107197930.91,1107270076.87,1107090661.74,1107102842.33,1107263164.77,4.0,5920699564.93,16,0.250009196248,1.0406674226900002e-12,0.125333333333,0.124973477615,0.00391597967592
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1080583888.11,75416.6224345,1080563713.37,1080691704.84,1080516420.87,1080522610.47,1080673410.39,4.0,5687666939.43,21,0.125004598124,1.0406674226900002e-12,0.125333333333,0.124973477615,0.00195798983796
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1040145073.38,376886.920537,1040209497.72,1040494945.08,1039666353.02,1039720524.95,1040479427.74,4.0,142043750872.0,32,0.249990803752,1.0406674226900002e-12,0.249333333333,0.25,0.0155827601005
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1013824205.75,513358.460449,1013804385.14,1014464907.46,1013223145.29,1013296080.22,1014380080.16,4.0,263536908915.0,37,0.250009196248,1.0406674226900002e-12,0.249333333333,0.25,0.0155839065661
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,987392211.284,190188.372252,987432680.383,987557157.251,987146327.118,987175219.594,987552546.235,4.0,36171616939.8,42,0.250009196248,1.0406674226900002e-12,0.249333333333,0.25,0.0155839065661
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,985000705.109,932732.286743,985232066.653,985795673.021,983743014.111,983909337.305,985768166.753,4.0,869989518733.0,31,0.249990803752,1.0406674226900002e-12,0.125333333333,0.25,0.00783304518423
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,968017055.518,242443.62856,968060721.069,968263821.231,967682958.703,967739298.216,968233681.048,4.0,58778913029.5,26,0.124986205628,1.0406674226900002e-12,0.125333333333,0.25,0.00391623444301
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,960564392.157,219951.749118,960638298.986,960735043.568,960245927.088,960298357.361,960726957.392,4.0,48378771940.2,47,0.125004598124,1.0406674226900002e-12,0.249333333333,0.25,0.00779195328306
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,957301437.709,516354.705336,957113134.187,958056734.513,956922747.949,956938284.833,957928215.516,4.0,266622181723.0,36,0.250009196248,1.0406674226900002e-12,0.125333333333,0.25,0.00783362148244
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,948923504.463,423490.801387,948957601.008,949292419.817,948486396.019,948508639.784,949290633.979,4.0,179344458859.0,53,0.124986205628,1.0406674226900002e-12,0.249333333333,0.25,0.00779080681749
