npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-htse_capacity
522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,1279637649.74,56415.3058895,1279631591.8,1279700178.62,1279587236.72,1279588057.96,1279695722.62,4.0,3182686738.6,0.249990803752,0.124973477615,1.04066742269e-12,6,0.00391569158796,0.125333333333
522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,1260397939.84,109295.579405,1260360265.87,1260557906.44,1260313321.18,1260318691.6,1260529931.64,4.0,11945523677.5,0.250009196248,0.124973477615,1.04066742269e-12,11,0.0039159796759200005,0.125333333333
522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,1240758737.79,161697.327014,1240747971.93,1240922415.98,1240616591.32,1240617560.39,1240914987.4,4.0,26146025563.5,0.250009196248,0.124973477615,1.04066742269e-12,16,0.0039159796759200005,0.125333333333
522.0,-507.0,-12743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,1220829523.96,117539.94197100001,1220845849.33,1220944798.52,1220681598.65,1220698197.77,1220937994.63,4.0,13815637958.6,0.125004598124,0.124973477615,1.04066742269e-12,21,0.0019579898379600003,0.125333333333
522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,1039445173.89,112208.92383800002,1039411782.15,1039605299.52,1039351831.75,1039357166.12,1039579930.1,4.0,12590842588.9,0.249990803752,0.25,1.04066742269e-12,32,0.0155827601005,0.24933333333299998
522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,1020030482.54,164691.26888299998,1019964968.85,1020270761.51,1019921230.94,1019921871.22,1020230813.01,4.0,27123214046.3,0.250009196248,0.25,1.04066742269e-12,37,0.0155839065661,0.24933333333299998
522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,1000083924.32,178402.76277200002,1000052747.84,1000326986.35,999903215.26,999921140.4289999,1000290355.29,4.0,31827545764.7,0.250009196248,0.25,1.04066742269e-12,42,0.0155839065661,0.24933333333299998
522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,979999989.243,148435.589855,980039778.8460001,980115649.222,979804750.0569999,979828661.0739999,980115611.967,4.0,22033124335.6,0.125004598124,0.25,1.04066742269e-12,47,0.007791953283060001,0.24933333333299998
522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,966504922.579,87871.56514339999,966502529.955,966599358.445,966415271.96,966420010.751,966593184.08,4.0,7721411960.74,0.12498620562799999,0.25,1.04066742269e-12,26,0.00391623444301,0.125333333333
522.0,-507.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,962143690.9460001,402478.866637,962222821.6889999,962523362.702,961605757.705,961677124.911,962499473.9419999,4.0,161989238090.0,0.249990803752,0.25,1.04066742269e-12,31,0.00783304518423,0.125333333333
