npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,833697437.829,301960.932822,833697437.829,833910956.452,833483919.206,833505271.068,833889604.59,2.0,91180404951.0,0.249990803752,1.0406674226900002e-12,31,0.00783304518423,0.25,0.125333333333
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,829152117.062,307579.596151,829152117.062,829369608.68,828934625.444,828956374.605,829347859.518,2.0,94605207968.3,0.124986205628,1.0406674226900002e-12,26,0.00391623444301,0.25,0.125333333333
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,803945568.728,114938.38907,803945568.728,804026842.443,803864295.014,803872422.386,804018715.071,2.0,13210833282.1,0.250009196248,1.0406674226900002e-12,36,0.00783362148244,0.25,0.125333333333
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,793955792.817,444156.204258,793955792.817,794269858.681,793641726.953,793673133.539,794238452.094,2.0,197274733781.0,0.124986205628,1.0406674226900002e-12,53,0.00779080681749,0.25,0.249333333333
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,774874410.763,100929.666685,774874410.763,774945778.814,774803042.711,774810179.516,774938642.009,2.0,10186797617.1,0.250009196248,1.0406674226900002e-12,41,0.00783362148244,0.25,0.125333333333
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,764149455.567,94662.0327654,764149455.567,764216391.732,764082519.402,764089213.018,764209698.116,2.0,8960900447.28,0.249990803752,1.0406674226900002e-12,58,0.0155827601005,0.25,0.249333333333
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,745178148.405,509674.482024,745178148.405,745538542.687,744817754.122,744853793.551,745502503.259,2.0,259768077627.0,0.125004598124,1.0406674226900002e-12,46,0.00391681074122,0.25,0.125333333333
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,734910463.585,13665.8571542,734910463.585,734920126.805,734900800.365,734901766.687,734919160.483,2.0,186755651.758,0.250009196248,1.0406674226900002e-12,63,0.0155839065661,0.25,0.249333333333
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,705077764.792,360071.882877,705077764.792,705332374.062,704823155.522,704848616.449,705306913.135,2.0,129651760838.0,0.250009196248,1.0406674226900002e-12,68,0.0155839065661,0.25,0.249333333333
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,692316932.635,1654278.07403,692316932.635,693486683.88,691147181.391,691264156.516,693369708.755,2.0,2736635946220.0,0.249990803752,1.0406674226900002e-12,57,0.0155827601005,0.25,0.249333333333
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,688972009.156,909849.649563,688972009.156,689615370.013,688328648.299,688392984.385,689551033.928,2.0,827826384810.0,0.124986205628,1.0406674226900002e-12,52,0.00779080681749,0.25,0.249333333333
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,676157061.126,362498.586445,676157061.126,676413386.335,675900735.918,675926368.438,676387753.814,2.0,131405225174.0,0.125004598124,1.0406674226900002e-12,73,0.00779195328306,0.25,0.249333333333
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,663060062.639,157135.239039,663060062.639,663171174.033,662948951.246,662960062.386,663160062.893,2.0,24691483348.0,0.250009196248,1.0406674226900002e-12,62,0.0155839065661,0.25,0.249333333333
