npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,774582000.538,70589.9990189,774582000.538,774631915.205,774532085.871,774537077.338,774626923.739,2.0,4982947961.49,0.249990803752,0.00783304518423,0.25,1.0406674226900002e-12,0.125333333333,31
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,769016682.868,399715.026819,769016682.868,769299324.074,768734041.662,768762305.783,769271059.954,2.0,159772102665.0,0.124986205628,0.00391623444301,0.25,1.0406674226900002e-12,0.125333333333,26
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,755666727.154,827630.67359,755666727.154,756251950.416,755081503.892,755140026.219,756193428.09,2.0,684972531867.0,0.124986205628,0.00779080681749,0.25,1.0406674226900002e-12,0.249333333333,53
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,743832307.446,157674.22094,743832307.446,743943799.957,743720814.935,743731964.186,743932650.706,2.0,24861159949.0,0.250009196248,0.00783362148244,0.25,1.0406674226900002e-12,0.125333333333,36
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,726239143.169,565443.443676,726239143.169,726638972.063,725839314.276,725879297.165,726598989.174,2.0,319726287996.0,0.249990803752,0.0155827601005,0.25,1.0406674226900002e-12,0.249333333333,58
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,714471871.991,592009.754841,714471871.991,714890486.103,714053257.879,714095119.29,714848624.692,2.0,350475549827.0,0.250009196248,0.00783362148244,0.25,1.0406674226900002e-12,0.125333333333,41
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,696509151.363,475099.52408,696509151.363,696845097.459,696173205.268,696206799.878,696811502.849,2.0,225719557781.0,0.250009196248,0.0155839065661,0.25,1.0406674226900002e-12,0.249333333333,63
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,686250419.715,645541.037515,686250419.715,686706886.16,685793953.27,685839599.914,686661239.516,2.0,416723231116.0,0.125004598124,0.00391681074122,0.25,1.0406674226900002e-12,0.125333333333,46
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,667675368.74,1361124.74819,667675368.74,668637829.279,666712908.2,666809154.254,668541583.225,2.0,1852660580140.0,0.250009196248,0.0155839065661,0.25,1.0406674226900002e-12,0.249333333333,68
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,660677442.568,655259.753089,660677442.568,661140781.183,660214103.953,660260437.815,661094447.322,2.0,429365344018.0,0.249990803752,0.0155827601005,0.25,1.0406674226900002e-12,0.249333333333,57
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,656934957.164,122586.207005,656934957.164,657021638.702,656848275.626,656856943.78,657012970.548,2.0,15027378147.8,0.124986205628,0.00779080681749,0.25,1.0406674226900002e-12,0.249333333333,52
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,650200649.219,134853.699016,650200649.219,650296005.184,650105293.254,650114828.851,650286469.588,2.0,18185520138.4,0.124986205628,0.00783246888603,0.25,1.0406674226900002e-12,0.250666666667,79
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,638562213.706,561818.267816,638562213.706,638959479.213,638164948.199,638204674.75,638919752.662,2.0,315639766052.0,0.125004598124,0.00779195328306,0.25,1.0406674226900002e-12,0.249333333333,73
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,630347428.202,679350.09935,630347428.202,630827801.264,629867055.14,629915092.446,630779763.958,2.0,461516557487.0,0.250009196248,0.0155839065661,0.25,1.0406674226900002e-12,0.249333333333,62
