npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity
522.0,-507.0,-11565.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33982.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1066344208.63,605047.983433,1066344208.63,1066772042.16,1065916375.09,1065959158.45,1066729258.8,2.0,366083062257.0,111,0.111098576997,0.00068728913595,0.111090154659,7.306929298600001e-13,0.0556872037915
522.0,-507.0,-11565.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1061862399.99,221270.11146,1061862399.99,1062018861.58,1061705938.39,1061721584.55,1062003215.42,2.0,48960462225.7,101,0.0555402966334,0.000343588941601,0.111090154659,7.306929298600001e-13,0.0556872037915
522.0,-507.0,-11565.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1051003840.29,820013.531428,1051003840.29,1051583677.42,1050424003.16,1050481986.87,1051525693.71,2.0,672422191725.0,121,0.111114925842,0.000687390274812,0.111090154659,7.306929298600001e-13,0.0556872037915
522.0,-507.0,-11565.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101947.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1036490454.43,123951.990017,1036490454.43,1036578101.72,1036402807.13,1036411571.86,1036569336.99,2.0,15364095829.2,131,0.111114925842,0.000687390274812,0.111090154659,7.306929298600001e-13,0.0556872037915
522.0,-507.0,-11565.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1021925139.6,186280.163557,1021925139.6,1022056859.57,1021793419.64,1021806591.63,1022043687.57,2.0,34700299334.9,141,0.111114925842,0.000687390274812,0.111090154659,7.306929298600001e-13,0.0556872037915
522.0,-507.0,-11565.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,169912.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1007014754.94,293067.14658,1007014754.94,1007221984.7,1006807525.17,1006828248.15,1007201261.73,2.0,85888352404.6,151,0.111114925842,0.000687390274812,0.111090154659,7.306929298600001e-13,0.0556872037915
522.0,-507.0,-11565.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,991983201.324,16679.0158704,991983201.324,991994995.169,991971407.478,991972586.863,991993815.784,2.0,278189570.407,161,0.111114925842,0.000687390274812,0.111090154659,7.306929298600001e-13,0.0556872037915
522.0,-460.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33982.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,989920233.748,297241.454461,989920233.748,990130415.196,989710052.3,989731070.444,990109397.051,2.0,88352482250.4,212,0.111098576997,0.0013751617092,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-460.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,986623431.625,304622.310192,986623431.625,986838832.126,986408031.124,986429571.174,986817292.076,2.0,92794751866.5,202,0.0555402966334,0.00068746955463,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-507.0,-11565.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,237877.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,976850586.22,173639.766316,976850586.22,976973368.076,976727804.364,976740082.549,976961089.891,2.0,30150768446.2,171,0.111114925842,0.000687390274812,0.111090154659,7.306929298600001e-13,0.0556872037915
522.0,-460.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,975435071.684,737854.409971,975435071.684,975956813.541,974913329.827,974965504.013,975904639.355,2.0,544429130313.0,222,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
