npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1000677957.38,13540.8375846,1000681263.05,1000690412.71,1000658890.71,1000661919.05,1000689367.78,4.0,183354282.492,1.0406674226900002e-12,6,0.249990803752,0.124973477615,0.00391569158796,0.125333333333
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,973524745.723,12763.9867923,973521089.426,973543151.937,973513652.103,973514724.753,973539885.509,4.0,162919358.834,1.0406674226900002e-12,11,0.250009196248,0.124973477615,0.00391597967592,0.125333333333
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,946368222.367,37630.7770881,946352460.544,946424261.945,946343706.437,946344685.977,946413825.311,4.0,1416075384.26,1.0406674226900002e-12,16,0.250009196248,0.124973477615,0.00391597967592,0.125333333333
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,919264811.268,27623.1934279,919259538.147,919300439.908,919239728.873,919240758.983,919296245.925,4.0,763040815.155,1.0406674226900002e-12,21,0.125004598124,0.124973477615,0.00195798983796,0.125333333333
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,878422485.193,306738.527276,878543235.572,878629535.951,877973933.678,878049246.671,878626673.185,4.0,94088524115.1,1.0406674226900002e-12,32,0.249990803752,0.25,0.0155827601005,0.249333333333
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,851261291.896,209959.838466,851280281.91,851493569.826,850991033.939,851027277.795,851468719.978,4.0,44083133768.7,1.0406674226900002e-12,37,0.250009196248,0.25,0.0155839065661,0.249333333333
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,823859186.334,596345.110832,823784299.032,824652954.782,823215192.491,823289500.186,824533714.705,4.0,355627491213.0,1.0406674226900002e-12,42,0.250009196248,0.25,0.0155839065661,0.249333333333
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,813958043.636,867984.901346,814056171.339,814889706.32,812830125.545,812980367.405,814798341.082,4.0,753397788965.0,1.0406674226900002e-12,31,0.249990803752,0.25,0.00783304518423,0.125333333333
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,806990047.615,284572.409081,807022837.529,807283624.612,806630890.79,806672707.952,807261481.398,4.0,80981456010.4,1.0406674226900002e-12,26,0.124986205628,0.25,0.00391623444301,0.125333333333
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,797176829.014,351175.750027,797220564.907,797546036.832,796720149.41,796779740.308,797512687.469,4.0,123324407407.0,1.0406674226900002e-12,47,0.125004598124,0.25,0.00779195328306,0.249333333333
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,787343754.741,512758.500748,787339512.688,787919637.894,786776355.695,786821837.211,787871611.146,4.0,262921280089.0,1.0406674226900002e-12,36,0.250009196248,0.25,0.00783362148244,0.125333333333
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,785874222.853,78681.4109239,785846283.682,785990007.658,785814316.389,785818684.665,785968875.879,4.0,6190764424.97,1.0406674226900002e-12,53,0.124986205628,0.25,0.00779080681749,0.249333333333
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,759447517.572,926508.482966,759087519.806,760820403.543,758794627.134,758831079.575,760567952.442,4.0,858417969007.0,1.0406674226900002e-12,41,0.250009196248,0.25,0.00783362148244,0.125333333333
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,758680070.553,481583.241008,758744909.973,759136170.315,758094291.951,758152741.352,759116624.566,4.0,231922418020.0,1.0406674226900002e-12,58,0.249990803752,0.25,0.0155827601005,0.249333333333
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,732932128.3,586308.215132,733220552.072,733234686.287,732052722.769,732227892.931,733232570.388,4.0,343757323131.0,1.0406674226900002e-12,46,0.125004598124,0.25,0.00391681074122,0.125333333333
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,731745858.317,1218450.72406,731964011.135,732954892.783,730100518.212,730333836.21,732852466.477,4.0,1484622166960.0,1.0406674226900002e-12,63,0.250009196248,0.25,0.0155839065661,0.249333333333
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,704424140.128,611078.25286,704337593.332,705208824.64,703812549.208,703855259.612,705114186.158,4.0,373416631119.0,1.0406674226900002e-12,68,0.250009196248,0.25,0.0155839065661,0.249333333333
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,693254738.18,319565.854804,693271662.024,693589899.719,692885728.953,692918230.975,693567552.004,4.0,102122335556.0,1.0406674226900002e-12,57,0.249990803752,0.25,0.0155827601005,0.249333333333
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,686708770.287,644881.869304,686737365.296,687464862.788,685895487.766,686009732.796,687367774.764,4.0,415872625357.0,1.0406674226900002e-12,52,0.124986205628,0.25,0.00779080681749,0.249333333333
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,676874551.744,539706.059611,676810776.164,677493563.182,676383091.468,676395173.981,677443215.321,4.0,291282630780.0,1.0406674226900002e-12,73,0.125004598124,0.25,0.00779195328306,0.249333333333
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,670359677.347,1001297.01606,670270817.451,671658350.643,669238723.843,669370081.727,671473676.821,4.0,1002595714370.0,1.0406674226900002e-12,79,0.124986205628,0.25,0.00783246888603,0.250666666667
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,664838949.189,686784.816435,665152381.357,665239472.155,663811561.888,664007279.195,665231814.148,4.0,471673384086.0,1.0406674226900002e-12,62,0.250009196248,0.25,0.0155839065661,0.249333333333
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,642386127.977,796669.13255,642109552.491,643535486.942,641789919.982,641808901.432,643350560.201,4.0,634681706757.0,1.0406674226900002e-12,84,0.249990803752,0.25,0.0156660903685,0.250666666667
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,636852342.201,821762.624866,636517297.655,638074888.669,636299884.824,636328330.745,637845416.021,4.0,675293811627.0,1.0406674226900002e-12,67,0.250009196248,0.25,0.0155839065661,0.249333333333
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,615882947.179,1134499.3745,616101358.007,616991444.261,614337628.443,614561234.287,616898884.913,4.0,1287088830750.0,1.0406674226900002e-12,89,0.250009196248,0.25,0.0156672429649,0.250666666667
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,614146402.107,799666.211528,613931965.695,615291668.189,613430008.848,613501088.336,615091926.854,4.0,639466049859.0,1.0406674226900002e-12,56,0.249990803752,0.25,0.00783304518423,0.125333333333
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,610024960.187,828881.005383,610423592.468,610469513.649,608783142.165,609022867.005,610468968.177,4.0,687043721084.0,1.0406674226900002e-12,72,0.125004598124,0.25,0.00779195328306,0.249333333333
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,588337765.92,484116.939353,588134920.733,589058805.235,588022416.977,588035222.253,588924292.848,4.0,234369210969.0,1.0406674226900002e-12,94,0.250009196248,0.25,0.0156672429649,0.250666666667
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,587956646.519,512951.758555,587757111.178,588716386.931,587595976.788,587614905.883,588577736.632,4.0,263119506604.0,1.0406674226900002e-12,51,0.124986205628,0.25,0.00391623444301,0.125333333333
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,586511133.69,1730660.52829,586967914.963,587988470.818,584120234.013,584460610.6,587922162.996,4.0,2995185864170.0,1.0406674226900002e-12,61,0.250009196248,0.25,0.00783362148244,0.125333333333
