npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1071845889.49,1659213.32085,1071845889.49,1073019130.48,1070672648.5,1070789972.6,1072901806.39,2.0,2752988844070.0,31,0.25,0.125333333333,0.249990803752,1.0406674226900002e-12,0.00783304518423
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1066396843.63,43966.2877191,1066396843.63,1066427932.49,1066365754.77,1066368863.66,1066424823.61,2.0,1933034455.8,26,0.25,0.125333333333,0.124986205628,1.0406674226900002e-12,0.00391623444301
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1042399899.96,67539.1933668,1042399899.96,1042447657.38,1042352142.54,1042356918.28,1042442881.64,2.0,4561542640.64,36,0.25,0.125333333333,0.250009196248,1.0406674226900002e-12,0.00783362148244
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1013067177.73,344428.176261,1013067177.73,1013310725.23,1012823630.23,1012847984.98,1013286370.48,2.0,118630768602.0,41,0.25,0.125333333333,0.250009196248,1.0406674226900002e-12,0.00783362148244
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,986566797.513,10948.7329851,986566797.513,986574539.436,986559055.59,986559829.782,986573765.244,2.0,119874753.98,53,0.25,0.249333333333,0.124986205628,1.0406674226900002e-12,0.00779080681749
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,983200861.091,528683.154056,983200861.091,983574696.534,982827025.648,982864409.192,983537312.99,2.0,279505877383.0,46,0.25,0.125333333333,0.125004598124,1.0406674226900002e-12,0.00391681074122
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,956592781.983,365277.973654,956592781.983,956851072.515,956334491.451,956360320.504,956825243.462,2.0,133427998037.0,58,0.25,0.249333333333,0.249990803752,1.0406674226900002e-12,0.0155827601005
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,926210959.014,42073.3112188,926210959.014,926240709.337,926181208.69,926184183.722,926237734.305,2.0,1770163516.91,63,0.25,0.249333333333,0.250009196248,1.0406674226900002e-12,0.0155839065661
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,897869070.11,524932.662687,897869070.11,898240253.555,897497886.664,897535005.009,898203135.211,2.0,275554300356.0,68,0.25,0.249333333333,0.250009196248,1.0406674226900002e-12,0.0155839065661
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,889842785.242,759604.678199,889842785.242,890379906.861,889305663.623,889359375.785,890326194.699,2.0,576999267142.0,57,0.25,0.249333333333,0.249990803752,1.0406674226900002e-12,0.0155827601005
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,887212207.554,121504.166695,887212207.554,887298123.974,887126291.134,887134882.776,887289532.332,2.0,14763262524.2,52,0.25,0.249333333333,0.124986205628,1.0406674226900002e-12,0.00779080681749
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,868439397.659,337271.519615,868439397.659,868677884.637,868200910.68,868224759.378,868654035.939,2.0,113752077943.0,73,0.25,0.249333333333,0.125004598124,1.0406674226900002e-12,0.00779195328306
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,861449131.547,568083.465715,861449131.547,861850827.218,861047435.876,861087605.443,861810657.651,2.0,322718824018.0,62,0.25,0.249333333333,0.250009196248,1.0406674226900002e-12,0.0155839065661
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,832542165.687,784546.77526,832542165.687,833096924.032,831987407.342,832042883.176,833041448.197,2.0,615513642571.0,67,0.25,0.249333333333,0.250009196248,1.0406674226900002e-12,0.0155839065661
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,811775382.819,1881946.83289,811775382.819,813106120.187,810444645.452,810577719.189,812973046.45,2.0,3541723881810.0,56,0.25,0.125333333333,0.249990803752,1.0406674226900002e-12,0.00783304518423
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,811164043.624,703358.514798,811164043.624,811661393.2,810666694.049,810716429.006,811611658.242,2.0,494713200339.0,79,0.25,0.250666666667,0.124986205628,1.0406674226900002e-12,0.00783246888603
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,802934132.964,50996.4146035,802934132.964,802970192.875,802898073.053,802901679.044,802966586.883,2.0,2600634302.42,72,0.25,0.249333333333,0.125004598124,1.0406674226900002e-12,0.00779195328306
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,788742451.509,460812.018391,788742451.509,789068294.812,788416608.206,788449192.536,789035710.482,2.0,212347716294.0,51,0.25,0.125333333333,0.124986205628,1.0406674226900002e-12,0.00391623444301
