npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2553416103.04,6786069.13158,2553416103.04,2558214578.54,2548617627.54,2549097475.09,2557734730.99,2.0,46050734258600.0,26,0.124999475902,0.125,0.25,0.00390623362193,8.40946932138e-15
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2474339272.41,35576187.9438,2474339272.41,2499495436.15,2449183108.67,2451698725.04,2496979819.78,2.0,1265665148610000.0,52,0.124999475902,0.25,0.25,0.00781246724386,8.40946932138e-15
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2367128488.6,10232599.6166,2367128488.6,2374364029.18,2359892948.02,2360616502.08,2373640475.12,2.0,104706094913000.0,6,0.249999695685,0.125,0.125,0.00390624524508,8.40946932138e-15
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2353404684.58,12260367.6361,2353404684.58,2362074073.68,2344735295.49,2345602234.4,2361207134.77,2.0,150316614573000.0,78,0.124999475902,0.25,0.25,0.00781246724386,8.40946932138e-15
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2321515284.4,44966006.7811,2321515284.4,2353311052.71,2289719516.08,2292899092.91,2350131475.88,2.0,2021941765840000.0,51,0.124999475902,0.125,0.25,0.00390623362193,8.40946932138e-15
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2261409585.21,93462139.4016,2261409585.21,2327497297.77,2195321872.66,2201930643.91,2320888526.51,2.0,8735171501520000.0,104,0.124999475902,0.25,0.125,0.00390623362193,8.40946932138e-15
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2253315040.24,19638803.3166,2253315040.24,2267201771.24,2239428309.24,2240816982.34,2265813098.14,2.0,385682595708000.0,32,0.249999695685,0.25,0.25,0.0156249809803,8.40946932138e-15
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2199564745.45,53187287.6586,2199564745.45,2237173837.23,2161955653.68,2165716562.85,2233412928.05,2.0,2828887568480000.0,31,0.249999695685,0.125,0.25,0.00781249049015,8.40946932138e-15
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2156787772.68,25313526.4313,2156787772.68,2174687138.88,2138888406.49,2140678343.11,2172897202.26,2.0,640774620386000.0,77,0.124999475902,0.25,0.25,0.00781246724386,8.40946932138e-15
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2152311967.4,66344567.3367,2152311967.4,2199224660.86,2105399273.94,2110090543.28,2194533391.51,2.0,4401601615100000.0,58,0.249999695685,0.25,0.25,0.0156249809803,8.40946932138e-15
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2110172447.43,12280484.5651,2110172447.43,2118856061.34,2101488833.52,2102357194.91,2117987699.95,2.0,150810301154000.0,84,0.249999695685,0.25,0.25,0.0156249809803,8.40946932138e-15
