npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2158972057.89,39828296.4606,2158972057.89,2187134916.4,2130809199.38,2133625485.23,2184318630.55,2.0,1586293198950000.0,8.40946932138e-15,0.00390623362193,0.125,0.25,0.124999475902,104
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2148567618.49,47018000.244,2148567618.49,2181814365.3,2115320871.68,2118645546.36,2178489690.62,2.0,2210692346950000.0,8.40946932138e-15,0.00390623362193,0.25,0.125,0.124999475902,26
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2131573773.51,14063877.5258,2131573773.51,2141518436.68,2121629110.34,2122623576.66,2140523970.36,2.0,197792651061000.0,8.40946932138e-15,0.00781246724386,0.25,0.25,0.124999475902,52
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2107878232.61,63227898.1643,2107878232.61,2152587108.16,2063169357.06,2067640244.62,2148116220.61,2.0,3997767106280000.0,8.40946932138e-15,0.00781246724386,0.25,0.25,0.124999475902,78
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1933611043.85,37705990.2597,1933611043.85,1960273205.26,1906948882.45,1909615098.59,1957606989.12,2.0,1421741701470000.0,8.40946932138e-15,0.00390623362193,0.25,0.125,0.124999475902,51
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1923532286.87,46158673.6341,1923532286.87,1956171398.01,1890893175.73,1894157086.84,1952907486.89,2.0,2130623151660000.0,8.40946932138e-15,0.00390623362193,0.125,0.25,0.124999475902,103
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1893625482.15,42354286.2475,1893625482.15,1923574485.16,1863676479.13,1866671379.43,1920579584.86,2.0,1793885563540000.0,8.40946932138e-15,0.00781246724386,0.25,0.25,0.124999475902,77
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1658047701.57,80931400.2408,1658047701.57,1715274843.5,1600820559.65,1606543273.85,1709552129.3,2.0,6549891544940000.0,8.40946932138e-15,0.00390623362193,0.25,0.125,0.124999475902,76
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1587328036.02,29761762.4025,1587328036.02,1608372780.03,1566283292.0,1568387766.4,1606268305.63,2.0,885762501303000.0,8.40946932138e-15,0.00390623362193,0.125,0.25,0.124999475902,102
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1509926312.4,19916558.285,1509926312.4,1524009445.83,1495843178.98,1497251492.33,1522601132.48,2.0,396669293919000.0,8.40946932138e-15,0.00390624524508,0.125,0.125,0.249999695685,6
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1441436658.44,42813322.8223,1441436658.44,1471710249.33,1411163067.55,1414190426.64,1468682890.25,2.0,1832980611090000.0,8.40946932138e-15,0.0156249809803,0.25,0.25,0.249999695685,32
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1434774331.76,40762134.726,1434774331.76,1463597513.64,1405951149.88,1408833468.07,1460715195.45,2.0,1661551627420000.0,8.40946932138e-15,0.00390624524508,0.125,0.125,0.249999695685,110
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1427093476.75,41586218.0567,1427093476.75,1456499373.54,1397687579.96,1400628169.64,1453558783.87,2.0,1729413532260000.0,8.40946932138e-15,0.0156249809803,0.25,0.25,0.249999695685,58
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1414564748.01,15544451.9979,1414564748.01,1425556335.42,1403573160.59,1404672319.33,1424457176.68,2.0,241629987916000.0,8.40946932138e-15,0.0156249809803,0.25,0.25,0.249999695685,84
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1409451435.56,62337408.5077,1409451435.56,1453530639.84,1365372231.28,1369780151.71,1449122719.41,2.0,3885952499460000.0,8.40946932138e-15,0.00195311681096,0.125,0.125,0.124999475902,101
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1395252778.31,12110302.5903,1395252778.31,1403816055.39,1386689501.23,1387545828.93,1402959727.69,2.0,146659428828000.0,8.40946932138e-15,0.00781249049015,0.25,0.125,0.249999695685,31
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1315026680.41,28075922.6006,1315026680.41,1334879355.67,1295174005.15,1297159272.67,1332894088.14,2.0,788257429878000.0,8.40946932138e-15,0.0156249809803,0.25,0.25,0.249999695685,83
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1308744198.15,5768237.89002,1308744198.15,1312822958.27,1304665438.02,1305073314.03,1312415082.26,2.0,33272568355900.0,8.40946932138e-15,0.0156249809803,0.25,0.25,0.249999695685,57
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1280844912.62,73211659.8161,1280844912.62,1332613373.73,1229076451.5,1234253297.61,1327436527.62,2.0,5359947133030000.0,8.40946932138e-15,0.00781249049015,0.125,0.25,0.249999695685,109
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1156126104.51,6312757.78262,1156126104.51,1160589898.34,1151662310.67,1152108690.06,1160143518.96,2.0,39850910822000.0,8.40946932138e-15,0.00781249049015,0.25,0.125,0.249999695685,56
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1085849642.86,27567101.0021,1085849642.86,1105342526.91,1066356758.8,1068306047.21,1103393238.51,2.0,759945057660000.0,8.40946932138e-15,0.0156249809803,0.25,0.25,0.249999695685,82
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1022181918.75,49918328.9068,1022181918.75,1057479507.62,986884329.87,990414088.758,1053949748.73,2.0,2491839560850000.0,8.40946932138e-15,0.00781249049015,0.125,0.25,0.249999695685,108
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,907497778.635,2582614.96226,907497778.635,909323963.188,905671594.082,905854212.537,909141344.733,2.0,6669900043300.0,8.40946932138e-15,0.00781249049015,0.25,0.125,0.249999695685,81
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,805486781.488,69985169.8556,805486781.488,854973769.675,755999793.3,760948492.119,850025070.857,2.0,4897923999720000.0,8.40946932138e-15,0.00781249049015,0.125,0.25,0.249999695685,107
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,578981558.014,22596796.8815,578981558.014,594959906.322,563003209.706,564601044.537,593362071.491,2.0,510615229302000.0,8.40946932138e-15,0.00390625581157,0.125,0.125,0.250000371941,11
