cfYears,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,ft_ftCAPEX_CashFlow,ft_ftCAPEX_depreciation,ft_ftCAPEX_depreciation_tax_credit,ft_ftFOM_CashFlow,ft_ftVOM_CashFlow,ft_co2_shipping_CashFlow,ft_h2_ptc_CashFlow,ft_elec_consumption_ftELEC_CAP_MARKET_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-648429404.037,0.0,0.0,0.0,0.0,0.0,-251073622.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0
1,0.0,-25066511.5086,31729761.4033,-29865200.0,-19405309.3713,-27514448.25,0.0,-9705821.18445,12285849.6006,-21732221.0,-6035605.53,-165455099.103,584546040.0,-416208.405,74889959.527,30314062.5543,66861394.4568,45525301.4355,0.0,-193.286357408,244.666275201,0.0,0.0
2,0.0,-46610268.0234,59000339.2701,-29865200.0,-19405334.7524,-27514448.25,0.0,-18047622.0889,22845091.2518,-21732221.0,-6035605.53,-165455099.103,584546040.0,-416208.405,85095099.4229,30314062.5543,66861394.4568,45525301.4355,0.0,-359.408963668,454.948055276,0.0,0.0
3,0.0,-41054258.3882,51967415.6812,-29865200.0,-19405346.4451,-27514448.25,0.0,-15896320.1018,20121924.1795,-21732221.0,-6035605.53,-165455099.103,584546040.0,-416208.405,99381429.0964,27757454.869,71545950.7563,43526629.6652,0.0,-316.566908692,400.717605939,0.0,0.0
4,0.0,-36184029.0542,45802568.4231,-29865200.0,-19405325.7496,-27514448.25,0.0,-14010554.1057,17734878.6149,-21732221.0,-6035605.53,-165455099.103,584546040.0,-416208.405,41623570.1196,21548550.4904,66009656.9478,40861733.9714,0.0,-279.01286423,353.180840797,0.0,0.0
5,0.0,-31870841.7976,40342837.7185,-29865200.0,-19405347.9003,-27514448.25,0.0,-12340476.3116,15620856.0906,-21732221.0,-6035605.53,-165455099.103,584546040.0,-416208.405,60157281.5648,20818091.1518,73249425.7743,42416256.4594,0.0,-245.754137607,311.081186844,0.0,0.0
6,0.0,-28040286.6005,35494033.6715,-29865200.0,-19405349.6987,-27514448.25,0.0,-10857274.9587,13743386.0237,-21732221.0,-6035605.53,-165455099.103,584546040.0,-416208.405,71060022.017,20452861.4824,74101163.2833,41972107.1771,0.0,-216.216957666,273.692351476,0.0,0.0
7,0.0,-25988458.1835,32896782.5107,-29865200.0,-19405380.4102,-27514448.25,0.0,-10062801.4354,12737723.3359,-21732221.0,-6035605.53,-165455099.103,584546040.0,-416208.405,69551366.2835,20818091.1518,75378769.5469,41305883.2537,0.0,-200.395432577,253.665104527,0.0,0.0
8,0.0,-25433997.0478,32194932.9719,-29865200.0,-19405333.9105,-27514448.25,0.0,-9848112.58111,12465965.2925,-21732221.0,-6035605.53,-165455099.103,584546040.0,-416208.405,100534682.89,21183320.8211,77082244.5649,41083808.6125,0.0,-196.120016223,248.253185092,0.0,0.0
9,0.0,-24933554.0393,31561460.8093,-29865200.0,-19405328.8132,-27514448.25,0.0,-9654339.69206,12220683.1545,-21732221.0,-6035605.53,-165455099.103,584546040.0,-416208.405,33795428.6335,21913780.1597,78785719.5829,41527957.8948,0.0,-192.261130388,243.368519478,0.0,0.0
10,0.0,-24360310.5154,30835836.0954,-29865200.0,-19439055.2369,-27514448.25,0.0,-9432378.24614,11939719.2989,-21732221.0,-6035605.53,-165455099.103,584546040.0,-416208.405,326027779.015,22279009.8291,79637457.0919,41750032.536,0.0,-187.840884171,237.773271103,0.0,0.0
11,0.0,-23880993.5186,30229105.7197,-29865200.0,-19405302.5913,-27514448.25,0.0,-9246785.40606,11704791.6532,-21732221.0,-6035605.53,-165455099.103,0.0,-416208.405,83947064.0558,23374698.8371,79637457.0919,41750032.536,0.0,-184.144899737,233.094809794,0.0,0.0
