npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity
1280.0,-285.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,4621038.0,ref,south_texas_project,west_south_central,covid,3158934522.66,72357971.2397,3178728242.99,3254235802.29,3044729368.89,3061170162.66,3244281639.9,10.0,5235676001920000.0,58,5.9062379305600004e-15,0.111111111111,0.11111122465500001,0.000685871757131,0.0555555555556
1280.0,-385.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,4621038.0,ref,south_texas_project,west_south_central,covid,3087523717.26,62039343.2715,3097217927.61,3152182834.08,2953672304.53,2982771987.3,3150576710.66,10.0,3848880113560000.0,57,5.9062379305600004e-15,0.111111111111,0.11111122465500001,0.000685871757131,0.0555555555556
1280.0,-485.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,3696831.0,ref,south_texas_project,west_south_central,covid,3061368275.14,57335864.7938,3067682941.43,3154795676.53,2925339612.57,2979945651.03,3126372587.02,10.0,3287401391660000.0,46,5.9062379305600004e-15,0.111111111111,0.11111122465500001,0.000685871757131,0.0555555555556
1280.0,-285.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5545246.0,ref,south_texas_project,west_south_central,covid,3026387400.65,77607510.3598,2999074944.44,3159296706.39,2939189798.35,2943715425.1,3147278776.23,10.0,6022925664240000.0,68,5.9062379305600004e-15,0.111111111111,0.11111128476700001,0.0006858721281909999,0.0555555555556
1280.0,-585.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,3696831.0,ref,south_texas_project,west_south_central,covid,3018650906.91,42896220.8389,3020414543.55,3072490625.24,2939982914.23,2950414311.71,3067703271.73,10.0,1840085762260000.0,45,5.9062379305600004e-15,0.111111111111,0.11111122465500001,0.000685871757131,0.0555555555556
1280.0,-685.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,2772623.0,ref,south_texas_project,west_south_central,covid,3011795175.95,43034083.7224,3027164341.69,3074259562.07,2939521979.77,2943081173.11,3062078014.02,10.0,1851932361830000.0,34,5.9062379305600004e-15,0.111111111111,0.11111128476700001,0.0006858721281909999,0.0555555555556
1280.0,-485.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,4621038.0,ref,south_texas_project,west_south_central,covid,2996405156.17,66805026.4756,2992022616.98,3079865554.83,2870487258.82,2898729037.96,3079837999.72,10.0,4462911562410000.0,56,5.9062379305600004e-15,0.111111111111,0.11111122465500001,0.000685871757131,0.0555555555556
1280.0,-585.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,2772623.0,ref,south_texas_project,west_south_central,covid,2987744047.66,39599782.9287,2982124876.9,3040657753.37,2919834713.89,2932578642.13,3036405173.45,10.0,1568142808000000.0,35,5.9062379305600004e-15,0.111111111111,0.11111128476700001,0.0006858721281909999,0.0555555555556
1280.0,-785.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,1848415.0,ref,south_texas_project,west_south_central,covid,2970100816.78,38178340.683,2981535508.93,3022880977.31,2910718233.0,2920788349.06,3016102038.8,10.0,1457585697310000.0,23,5.9062379305600004e-15,0.111111111111,0.11111122465500001,0.000685871757131,0.0555555555556
1280.0,-885.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,1848415.0,ref,south_texas_project,west_south_central,covid,2955096818.18,24266350.0661,2953686871.48,3010786082.93,2922991212.93,2927356007.71,2993054533.7,10.0,588855745530000.0,22,5.9062379305600004e-15,0.111111111111,0.11111122465500001,0.000685871757131,0.0555555555556
