npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2272800388.15,93838849.3,2272800388.15,2339154474.83,2206446301.47,2213081710.14,2332519066.16,2.0,8805729637950000.0,0.25,109,0.125,0.249994792742,1.17734560967e-13,0.00781233727318
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2152460186.14,2088085.40583,2152460186.14,2153936685.49,2150983686.79,2151131336.72,2153789035.55,2.0,4360100662040.0,0.25,57,0.25,0.249994792742,1.17734560967e-13,0.0156246745464
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2151528061.28,26923640.0224,2151528061.28,2170565949.71,2132490172.84,2134393961.69,2168662160.87,2.0,724882392057000.0,0.25,83,0.25,0.249994792742,1.17734560967e-13,0.0156246745464
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2109603594.02,63789050.1307,2109603594.02,2154709263.94,2064497924.11,2069008491.1,2150198696.94,2.0,4069042916580000.0,0.25,104,0.125,0.124993135887,1.17734560967e-13,0.00390603549646
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2105193094.49,36126219.9146,2105193094.49,2130738189.57,2079647999.41,2082202508.92,2128183680.06,2.0,1305103765320000.0,0.125,31,0.25,0.249994792742,1.17734560967e-13,0.00781233727318
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2103180837.02,7065129.74539,2103180837.02,2108176638.17,2098185035.87,2098684615.98,2107677058.06,2.0,49916058319200.0,0.125,36,0.25,0.250004260484,1.17734560967e-13,0.00781263314013
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2094251286.86,31348785.4939,2094251286.86,2116418225.66,2072084348.05,2074301041.93,2114201531.78,2.0,982746351941000.0,0.25,88,0.25,0.250004260484,1.17734560967e-13,0.0156252662803
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2088348510.49,28524931.1593,2088348510.49,2108518682.74,2068178338.23,2070195355.46,2106501665.52,2.0,813671697644000.0,0.25,78,0.25,0.124993135887,1.17734560967e-13,0.00781207099292
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2086396532.64,63871576.3028,2086396532.64,2131560557.36,2041232507.91,2045748910.38,2127044154.89,2.0,4079578259410000.0,0.25,62,0.25,0.250004260484,1.17734560967e-13,0.0156252662803
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2065861187.86,72443336.4753,2065861187.86,2117086362.34,2014636013.39,2019758530.84,2111963844.89,2.0,5248036999670000.0,0.25,93,0.25,0.250005207258,1.17734560967e-13,0.0156253254536
