npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,ProbabilityWeight-ft_capacity
1280,-985,-22243,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,south_texas_project,west_south_central,covid,2519118573,23615885.2,2526298656,2554257344,2478346555,2481978468,2547880238,10,5.58E+14,5.91E-15,0.055555556,0.055555041,101,0.000342932,0.111111111
1280,-885,-19730,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,south_texas_project,west_south_central,covid,2476212365,22969715.4,2477747350,2503474122,2424307352,2440413541,2502869615,10,5.28E+14,5.91E-15,0.111111111,0.055555041,202,0.000685865,0.111111111
1280,-785,-17217,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,south_texas_project,west_south_central,covid,2441387790,34389264.32,2445519005,2475043103,2365864084,2387707209,2474710245,10,1.18E+15,5.91E-15,0.111111111,0.055555041,303,0.000685865,0.111111111
1280,-685,-14704,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,south_texas_project,west_south_central,covid,2406255724,24984023.52,2407436313,2432057444,2351718288,2369004598,2431183246,10,6.24E+14,5.91E-15,0.111111111,0.055555041,404,0.000685865,0.111111111
1280,-985,-19730,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,south_texas_project,west_south_central,covid,2363155703,22925868.84,2365993759,2387219739,2307783096,2327031189,2386278544,10,5.26E+14,5.91E-15,0.055555556,0.055555041,201,0.000342932,0.111111111
1280,-885,-17217,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,south_texas_project,west_south_central,covid,2337678293,21978572.71,2343175014,2366749468,2286125096,2303759320,2362120284,10,4.83E+14,5.91E-15,0.111111111,0.055555041,302,0.000685865,0.111111111
1280,-785,-14704,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,south_texas_project,west_south_central,covid,2317930594,47777194.85,2314112187,2430540316,2260451603,2270078272,2387552180,10,2.28E+15,5.91E-15,0.111111111,0.055555041,403,0.000685865,0.111111111
1280,-985,-24756,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,924208,1.00E+200,-1.00E+200,ref,south_texas_project,west_south_central,covid,2279594293,15971654.79,2282006974,2309494804,2250779290,2256548332,2301255922,10,2.55E+14,5.91E-15,0.055555556,0.111110624,11,0.000342934,0.055555556
1280,-985,-17217,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,south_texas_project,west_south_central,covid,2260584923,44804095.57,2254017366,2320568675,2181552410,2197239531,2319419123,10,2.01E+15,5.91E-15,0.055555556,0.055555041,301,0.000342932,0.111111111
1280,-885,-22243,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,924208,1.00E+200,-1.00E+200,ref,south_texas_project,west_south_central,covid,2239904016,19273556.8,2241747174,2264805128,2213421937,2214138494,2262018993,10,3.71E+14,5.91E-15,0.111111111,0.111110624,112,0.001371736,0.111111111
1280,-985,-22243,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,924208,1.00E+200,-1.00E+200,ref,south_texas_project,west_south_central,covid,2227457592,22317555.68,2229909625,2265704682,2182332128,2195237001,2254870825,10,4.98E+14,5.91E-15,0.055555556,0.111110624,111,0.000685868,0.111111111
1280,-785,-19730,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,924208,1.00E+200,-1.00E+200,ref,south_texas_project,west_south_central,covid,2227231574,34080712.06,2235985471,2264519466,2161847017,2171028504,2263239875,10,1.16E+15,5.91E-15,0.111111111,0.111110624,213,0.001371736,0.111111111
1280,-885,-14704,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,south_texas_project,west_south_central,covid,2202935826,43281469.93,2204796054,2268870349,2116640174,2138907936,2261354748,10,1.87E+15,5.91E-15,0.111111111,0.055555041,402,0.000685865,0.111111111
