npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,3224768671.95,189794.642703,3224768671.95,3224902877.03,3224634466.87,3224647887.38,3224889456.52,2.0,36022006398.9,1,0.124987287705,0.125,0.00195286865094,6.05994367894e-14,0.12499630558
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,3159714565.68,1751209.00709,3159714565.68,3160952857.45,3158476273.92,3158600103.09,3160829028.27,2.0,3066732986500.0,26,0.124987287705,0.125,0.00390581177858,6.05994367894e-14,0.249997378153
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,3086400350.05,377415.64484,3086400350.05,3086667223.21,3086133476.89,3086160164.2,3086640535.9,2.0,142442568970.0,51,0.124987287705,0.125,0.00390589370296,6.05994367894e-14,0.250002621847
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,3013909790.81,168278.644387,3013909790.81,3014028781.78,3013790799.84,3013802698.94,3014016882.69,2.0,28317702156.6,76,0.124987287705,0.125,0.00390589370296,6.05994367894e-14,0.250002621847
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2940973272.15,2027532.80115,2940973272.15,2942406954.35,2939539589.96,2939682958.18,2942263586.13,2.0,4110889259750.0,101,0.124987287705,0.125,0.00195294312764,6.05994367894e-14,0.125001072574
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2904014379.17,3900306.47413,2904014379.17,2906772312.33,2901256446.01,2901532239.33,2906496519.01,2.0,15212390592100.0,7,0.25,0.25,0.00781226909872,6.05994367894e-14,0.12499630558
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2836531835.42,2651157.69919,2836531835.42,2838406487.01,2834657183.84,2834844649.0,2838219021.85,2.0,7028637145970.0,32,0.25,0.25,0.0156248361346,6.05994367894e-14,0.249997378153
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2765534029.53,2875179.4674,2765534029.53,2767567088.43,2763500970.63,2763704276.52,2767363782.54,2.0,8266656969790.0,57,0.25,0.25,0.0156251638654,6.05994367894e-14,0.250002621847
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2738461787.64,711697.148047,2738461787.64,2738965033.52,2737958541.76,2738008866.35,2738914708.93,2.0,506512830538.0,27,0.25,0.125,0.00781241806729,6.05994367894e-14,0.249997378153
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2727357750.67,1289107.97607,2727357750.67,2728269287.66,2726446213.68,2726537367.38,2728178133.97,2.0,1661799373970.0,2,0.25,0.125,0.00390613454936,6.05994367894e-14,0.12499630558
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2694135805.0,337386.494616,2694135805.0,2694374373.28,2693897236.72,2693921093.55,2694350516.45,2.0,113829646750.0,82,0.25,0.25,0.0156251638654,6.05994367894e-14,0.250002621847
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2661663383.89,513322.496166,2661663383.89,2662026357.71,2661300410.08,2661336707.46,2661990060.33,2.0,263499985070.0,52,0.25,0.125,0.00781258193271,6.05994367894e-14,0.250002621847
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2619306218.28,2605999.52258,2619306218.28,2621148938.21,2617463498.34,2617647770.33,2620964666.22,2.0,6791233511700.0,107,0.25,0.25,0.00781256703585,6.05994367894e-14,0.125001072574
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2591057812.1,1933258.46451,2591057812.1,2592424832.27,2589690791.93,2589827493.95,2592288130.26,2.0,3737488290590.0,13,0.250025424591,0.25,0.0078130635937,6.05994367894e-14,0.12499630558
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2588393930.13,273043.441806,2588393930.13,2588587001.0,2588200859.26,2588220166.34,2588567693.91,2.0,74552721113.3,77,0.25,0.125,0.00781258193271,6.05994367894e-14,0.250002621847
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2525420888.7,14208006.6695,2525420888.7,2535467466.56,2515374310.84,2516378968.62,2534462808.78,2.0,201867453520000.0,38,0.250025424591,0.25,0.0156264251548,6.05994367894e-14,0.249997378153
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2514966100.78,1856421.01541,2514966100.78,2516278788.66,2513653412.89,2513784681.68,2516147519.88,2.0,3446298986450.0,102,0.25,0.125,0.00390628351793,6.05994367894e-14,0.125001072574
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2454370976.52,737807.824948,2454370976.52,2454892685.43,2453849267.6,2453901438.49,2454840514.54,2.0,544360386555.0,63,0.250025424591,0.25,0.015626752919,6.05994367894e-14,0.250002621847
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2415125298.74,3274635.39676,2415125298.74,2417440815.64,2412809781.85,2413041333.54,2417209263.95,2.0,10723236981700.0,8,0.250025424591,0.25,0.0078130635937,6.05994367894e-14,0.12499630558
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2412332730.76,4457306.55831,2412332730.76,2415484522.45,2409180939.06,2409496118.23,2415169343.28,2.0,19867581754800.0,33,0.250025424591,0.25,0.0156264251548,6.05994367894e-14,0.249997378153
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,786667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2382654692.55,1948014.52936,2382654692.55,2384032146.84,2381277238.27,2381414983.7,2383894401.41,2.0,3794760606600.0,88,0.250025424591,0.25,0.015626752919,6.05994367894e-14,0.250002621847
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2339209711.0,2450635.61256,2339209711.0,2340942572.06,2337476849.94,2337650136.05,2340769285.95,2.0,6005614905540.0,58,0.250025424591,0.25,0.015626752919,6.05994367894e-14,0.250002621847
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1048889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2303278248.61,4174890.09601,2303278248.61,2306230341.71,2300326155.51,2300621364.82,2305935132.4,2.0,17429707313800.0,113,0.250025424591,0.25,0.00781336156113,6.05994367894e-14,0.125001072574
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2284623183.35,371587.589807,2284623183.35,2284885935.46,2284360431.25,2284386706.46,2284859660.25,2.0,138077336899.0,19,0.25,0.25,0.00781226909872,6.05994367894e-14,0.12499630558
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2283903223.02,11538972.7946,2283903223.02,2292062508.93,2275743937.11,2276559865.7,2291246580.34,2.0,133147893155000.0,28,0.250025424591,0.125,0.00781321257741,6.05994367894e-14,0.249997378153
