npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2260174712.03,2289335.76652,2260174712.03,2261793516.88,2258555907.19,2258717787.67,2261631636.39,2.0,5241058251870.0,1.21200144652e-13,0.124992849434,0.00195281465415,0.124987287705,0.125,1
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2211646700.13,4495800.93123,2211646700.13,2214825711.45,2208467688.8,2208785589.94,2214507810.32,2.0,20212226013200.0,1.21200144652e-13,0.249995232956,0.00390577826328,0.124987287705,0.125,26
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2156081662.83,417228.189868,2156081662.83,2156376687.72,2155786637.95,2155816140.44,2156347185.23,2.0,174079362421.0,1.21200144652e-13,0.250004767044,0.00390592721826,0.124987287705,0.125,51
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2121154363.64,2796183.35383,2121154363.64,2123131563.85,2119177163.43,2119374883.45,2122933843.83,2.0,7818641348230.0,1.21200144652e-13,0.124992849434,0.00781205308962,0.25,0.25,7
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2099258837.96,2839714.54647,2099258837.96,2101266819.37,2097250856.55,2097451654.69,2101066021.23,2.0,8063978705430.0,1.21200144652e-13,0.250004767044,0.00390592721826,0.124987287705,0.125,76
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2074098185.22,945158.019076,2074098185.22,2074766512.86,2073429857.57,2073496690.34,2074699680.1,2.0,893323681024.0,1.21200144652e-13,0.249995232956,0.0156247020597,0.25,0.25,32
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2043254714.07,747354.848169,2043254714.07,2043783173.75,2042726254.39,2042779100.35,2043730327.78,2.0,558539269082.0,1.21200144652e-13,0.125002383522,0.00195296360913,0.124987287705,0.125,101
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2013745129.0,2136963.74406,2013745129.0,2015256190.56,2012234067.45,2012385173.6,2015105084.4,2.0,4566614043410.0,1.21200144652e-13,0.250004767044,0.0156252979403,0.25,0.25,57
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1987666514.91,1932493.56874,1987666514.91,1989032994.22,1986300035.6,1986436683.53,1988896346.29,2.0,3734531393230.0,1.21200144652e-13,0.124992849434,0.00781284756262,0.250025424591,0.25,13
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1952295073.97,1483779.59693,1952295073.97,1953344264.58,1951245883.35,1951350802.41,1953239345.52,2.0,2201601892260.0,1.21200144652e-13,0.250004767044,0.0156252979403,0.25,0.25,82
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1944267952.01,3444659.49786,1944267952.01,1946703694.1,1941832209.92,1942075784.13,1946460119.89,2.0,11865679056200.0,1.21200144652e-13,0.249995232956,0.00781235102987,0.25,0.125,27
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1941759844.57,1464827.83221,1941759844.57,1942795634.27,1940724054.88,1940827633.85,1942692055.3,2.0,2145720578010.0,1.21200144652e-13,0.249995232956,0.0156262910664,0.250025424591,0.25,38
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1916736586.8,3162511.56268,1916736586.8,1918972820.17,1914500353.43,1914723976.76,1918749196.83,2.0,10001479384100.0,1.21200144652e-13,0.124992849434,0.00390602654481,0.25,0.125,2
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1901504507.36,2501249.44375,1901504507.36,1903273157.8,1899735856.92,1899912721.96,1903096292.76,2.0,6256248779880.0,1.21200144652e-13,0.125002383522,0.00781264897013,0.25,0.25,107
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1888012343.25,2367508.84881,1888012343.25,1889686424.81,1886338261.68,1886505669.84,1889519016.65,2.0,5605098149210.0,1.21200144652e-13,0.250004767044,0.00781264897013,0.25,0.125,52
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1878472790.49,1653794.23161,1878472790.49,1879642199.61,1877303381.38,1877420322.29,1879525258.7,2.0,2735035360500.0,1.21200144652e-13,0.250004767044,0.0156268870075,0.250025424591,0.25,63
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1871546375.49,12784677.1981,1871546375.49,1880586507.43,1862506243.54,1863410256.74,1879682494.23,2.0,163447971059000.0,1.21200144652e-13,0.124992849434,0.00781205308962,0.25,0.25,19
