cfYears,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,meoh_meohCAPEX_CashFlow,meoh_meohCAPEX_depreciation,meoh_meohCAPEX_depreciation_tax_credit,meoh_meohFOM_CashFlow,meoh_meohVOM_CashFlow,meoh_co2_shipping_CashFlow,meoh_h2_ptc_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-657389257.739,0.0,0.0,0.0,0.0,0.0,-651064541.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0
1,0.0,-22646410.1316,32168196.2096,-30320000.0,-19112049.9383,-27933450.0,0.0,-22428529.907,31858707.2542,-27050057.67,-4445282.60352,-72040878.5951,646041240.0,41561473.2555,4417174.59633,31882472.1502,117571884.148,0.0,-172.245057741,244.666275201,0.0,0.0
2,0.0,-42110177.383,59815592.8736,-30320000.0,-19112082.3023,-27933450.0,0.0,-41705037.0163,59240109.3981,-27050057.67,-4445282.60352,-72040878.5951,646041240.0,46823747.8356,4417174.59633,31882472.1502,117571884.148,0.0,-320.283430914,454.948055276,0.0,0.0
3,0.0,-37090584.894,52685489.9063,-30320000.0,-19112053.4927,-27933450.0,0.0,-36733737.8299,52178604.8721,-27050057.67,-4445282.60352,-72040878.5951,646041240.0,59712721.7913,4129097.99222,33331675.4298,112262186.154,0.0,-282.105194581,400.717605939,0.0,0.0
4,0.0,-32690562.5417,46435458.1559,-30320000.0,-19112097.6425,-27933450.0,0.0,-32376047.9203,45988704.4323,-27050057.67,-4445282.60352,-72040878.5951,646041240.0,42507107.7608,3360893.7146,30433268.8707,104676903.306,0.0,-248.639311921,353.180840797,0.0,0.0
5,0.0,-28793801.4167,40900286.1032,-30320000.0,-19112091.8432,-27933450.0,0.0,-28516777.3814,40506786.0531,-27050057.67,-4445282.60352,-72040878.5951,646041240.0,35439700.8437,3312880.94725,33538704.4697,110745129.584,0.0,-219.001155538,311.081186844,0.0,0.0
6,0.0,-25333075.5795,35984482.3572,-30320000.0,-19112063.5013,-27933450.0,0.0,-25089347.0519,35638277.0623,-27050057.67,-4445282.60352,-72040878.5951,646041240.0,37176041.5853,3216855.41255,33538704.4697,109228073.015,0.0,-192.679415439,273.692351476,0.0,0.0
7,0.0,-23479345.441,33351342.9559,-30320000.0,-19112090.8142,-27933450.0,0.0,-23253451.5784,33030470.992,-27050057.67,-4445282.60352,-72040878.5951,646041240.0,44305654.6987,3264868.1799,33745733.5097,108469544.73,0.0,-178.580233587,253.665104527,0.0,0.0
8,0.0,-22978415.9728,32639795.4158,-30320000.0,-19112066.8686,-27933450.0,0.0,-22757341.533,32325769.223,-27050057.67,-4445282.60352,-72040878.5951,646041240.0,33052080.2484,3360893.7146,34366820.6295,108469544.73,0.0,-174.770242305,248.253185092,0.0,0.0
9,0.0,-22526289.333,31997570.0753,-30320000.0,-19112085.8568,-27933450.0,0.0,-22309564.7859,31689722.7073,-27050057.67,-4445282.60352,-72040878.5951,646041240.0,25610633.051,3408906.48195,35194936.7892,109986601.3,0.0,-171.331437712,243.368519478,0.0,0.0
10,0.0,-22008390.8634,31261918.8401,-30320000.0,-19112097.549,-27933450.0,0.0,-21796648.9972,30961149.1438,-27050057.67,-4445282.60352,-72040878.5951,646041240.0,47460682.1208,3456919.2493,35608994.8691,111503657.869,0.0,-167.392382856,237.773271103,0.0,0.0
11,0.0,-21575350.5782,30646804.7986,-30320000.0,-19112074.8193,-27933450.0,0.0,-21367774.9756,30351953.0904,-27050057.67,-4445282.60352,-72040878.5951,0.0,40669437.1047,3648970.31871,35608994.8691,110745129.584,0.0,-164.098746095,233.094809794,0.0,0.0
12,0.0,-21079314.996,29942208.8011,-30320000.0,-19112058.9179,-27933450.0,0.0,-20876511.7323,29654135.9833,-27050057.67,-4445282.60352,-72040878.5951,0.0,46397979.6578,3696983.08606,36644140.0688,113020714.439,0.0,-160.325976944,227.735762705,0.0,0.0
