npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,3031772237.39,586026.594878,3031772237.39,3032186620.77,3031357854.01,3031399292.35,3032145182.43,2.0,343427169904.0,0.124992849434,0.00195281465415,1.21200144652e-13,1,0.124987287705,0.125
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2988213254.79,133711.038823,2988213254.79,2988307802.77,2988118706.8,2988128161.6,2988298347.97,2.0,17878641903.0,0.249995232956,0.00390577826328,1.21200144652e-13,26,0.124987287705,0.125
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2930839705.81,1550734.27559,2930839705.81,2931936240.53,2929743171.08,2929852824.56,2931826587.06,2.0,2404776793480.0,0.250004767044,0.00390592721826,1.21200144652e-13,51,0.124987287705,0.125
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2871645874.83,2779863.05652,2871645874.83,2873611534.85,2869680214.82,2869876780.82,2873414968.85,2.0,7727638613020.0,0.250004767044,0.00390592721826,1.21200144652e-13,76,0.124987287705,0.125
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2843764136.72,797198.963311,2843764136.72,2844327841.51,2843200431.93,2843256802.41,2844271471.03,2.0,635526187103.0,0.124992849434,0.00781205308962,1.21200144652e-13,7,0.25,0.25
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2818739953.69,1038352.63017,2818739953.69,2819474179.88,2818005727.5,2818079150.12,2819400757.26,2.0,1078176184590.0,0.125002383522,0.00195296360913,1.21200144652e-13,101,0.124987287705,0.125
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2788634657.74,704703.127587,2788634657.74,2789132958.1,2788136357.38,2788186187.42,2789083128.07,2.0,496606498031.0,0.249995232956,0.0156247020597,1.21200144652e-13,32,0.25,0.25
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2746598400.65,3529783.04722,2746598400.65,2749094334.18,2744102467.12,2744352060.47,2748844740.82,2.0,12459368360400.0,0.250004767044,0.0156252979403,1.21200144652e-13,57,0.25,0.25
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2691217762.53,2495054.33821,2691217762.53,2692982032.37,2689453492.69,2689629919.67,2692805605.38,2.0,6225296150640.0,0.249995232956,0.00781235102987,1.21200144652e-13,27,0.25,0.125
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2680621751.11,1502813.2044,2680621751.11,2681684400.52,2679559101.7,2679665366.64,2681578135.58,2.0,2258447527330.0,0.250004767044,0.0156252979403,1.21200144652e-13,82,0.25,0.25
