npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-meoh_capacity
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2920048868.22,1062313.02542,2920048868.22,2920800036.96,2919297699.47,2919372816.35,2920724920.08,2.0,1128508963970.0,0.124996484341,0.125,0.00195327210259,1,6.270282251879999e-14,0.125012930589
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2838179155.43,1450901.79358,2838179155.43,2839205097.92,2837153212.93,2837255807.18,2839102503.67,2.0,2105116014630.0,0.249997817867,0.125,0.00390661998153,26,6.270282251879999e-14,0.125012930589
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2738469321.69,978152.76468,2738469321.69,2739160980.14,2737777663.24,2737846829.08,2739091814.3,2.0,956782831051.0,0.250002182133,0.125,0.00390668818026,51,6.270282251879999e-14,0.125012930589
1193.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2661400881.86,3098611.36277,2661400881.86,2663591930.96,2659209832.75,2659428937.66,2663372826.05,2.0,9601392377490.0,0.124996484341,0.25,0.00781228027128,7,6.270282251879999e-14,0.25
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2635581226.24,111356.593062,2635581226.24,2635659967.24,2635502485.23,2635510359.33,2635652093.14,2.0,12400290818.4,0.250002182133,0.125,0.00390668818026,76,6.270282251879999e-14,0.125012930589
1193.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2577471148.95,2097869.89121,2577471148.95,2578954566.98,2575987730.93,2576136072.73,2578806225.18,2.0,4401058080460.0,0.249997817867,0.25,0.0156248636167,32,6.270282251879999e-14,0.25
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2536557925.66,1585857.24015,2536557925.66,2537679296.06,2535436555.25,2535548692.29,2537567159.02,2.0,2514943186120.0,0.125001333526,0.125,0.00195334787895,101,6.270282251879999e-14,0.125012930589
1193.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2476376525.6,4834632.85806,2476376525.6,2479795127.28,2472957923.92,2473299784.09,2479453267.11,2.0,23373674872300.0,0.250002182133,0.25,0.0156251363833,57,6.270282251879999e-14,0.25
1193.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2471959166.43,179997.78843,2471959166.43,2472086444.09,2471831888.78,2471844616.54,2472073716.32,2.0,32399203839.8,0.124996484341,0.125,0.00390614013564,2,6.270282251879999e-14,0.25
1193.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2454002500.47,1733555.90584,2454002500.47,2455228309.61,2452776691.34,2452899272.25,2455105728.69,2.0,3005216078670.0,0.249997817867,0.125,0.00781243180833,27,6.270282251879999e-14,0.25
1193.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2412718357.95,1095795.63615,2412718357.95,2413493202.47,2411943513.42,2412020997.88,2413415718.02,2.0,1200768076210.0,0.124996484341,0.25,0.00781147213223,13,6.270282251879999e-14,0.249974138823
1193.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2374290944.38,4260466.92023,2374290944.38,2377303549.43,2371278339.33,2371579599.83,2377002288.92,2.0,18151578378400.0,0.250002182133,0.25,0.0156251363833,82,6.270282251879999e-14,0.25
1193.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2359908431.83,1764120.19221,2359908431.83,2361155853.18,2358661010.47,2358785752.61,2361031111.04,2.0,3112120052570.0,0.250002182133,0.125,0.00781256819167,52,6.270282251879999e-14,0.25
1193.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2323061902.96,751534.539539,2323061902.96,2323593318.13,2322530487.79,2322583629.31,2323540176.62,2.0,564804164121.0,0.249997817867,0.25,0.0156232473072,38,6.270282251879999e-14,0.249974138823
1193.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2273505607.43,2663332.85182,2273505607.43,2275388868.15,2271622346.71,2271810672.78,2275200542.08,2.0,7093341879590.0,0.125001333526,0.25,0.00781258334538,107,6.270282251879999e-14,0.25
1193.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2254528804.86,1853297.63233,2254528804.86,2255839284.18,2253218325.54,2253349373.47,2255708236.25,2.0,3434712114000.0,0.250002182133,0.125,0.00781256819167,77,6.270282251879999e-14,0.25
1193.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2227261413.66,924943.886649,2227261413.66,2227915447.75,2226607379.56,2226672782.97,2227850044.34,2.0,855521193449.0,0.250002182133,0.25,0.0156235200457,63,6.270282251879999e-14,0.249974138823
1193.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2218725191.94,5812387.6695,2218725191.94,2222835170.68,2214615213.2,2215026211.08,2222424172.8,2.0,33783850420500.0,0.124996484341,0.25,0.00781147213223,8,6.270282251879999e-14,0.249974138823
1193.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2201512237.84,3695458.16654,2201512237.84,2204125321.36,2198899154.31,2199160462.66,2203864013.01,2.0,13656411060700.0,0.249997817867,0.25,0.0156232473072,33,6.270282251879999e-14,0.249974138823
1193.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2182653954.37,7982316.71794,2182653954.37,2188298304.65,2177009604.09,2177574039.11,2187733869.62,2.0,63717380185600.0,0.124996484341,0.25,0.00781228027128,19,6.270282251879999e-14,0.25
1193.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2152065782.74,851788.102207,2152065782.74,2152668087.88,2151463477.6,2151523708.11,2152607857.37,2.0,725542971062.0,0.125001333526,0.125,0.00390629167269,102,6.270282251879999e-14,0.25
1193.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2123260261.38,259759.175761,2123260261.38,2123443938.85,2123076583.9,2123094951.65,2123425571.1,2.0,67474829391.9,0.250002182133,0.25,0.0156235200457,88,6.270282251879999e-14,0.249974138823
1193.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2094242206.07,1522396.42186,2094242206.07,2095318702.91,2093165709.24,2093273358.92,2095211053.22,2.0,2317690865280.0,0.250002182133,0.25,0.0156235200457,58,6.270282251879999e-14,0.249974138823
1193.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2088675941.13,8077247.7038,2088675941.13,2094387417.76,2082964464.51,2083535612.17,2093816270.09,2.0,65241930468600.0,0.249997817867,0.25,0.0156248636167,44,6.270282251879999e-14,0.25
1193.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2048952599.02,803717.5587,2048952599.02,2049520913.15,2048384284.88,2048441116.29,2049464081.74,2.0,645961914163.0,0.249997817867,0.125,0.0078116236536,28,6.270282251879999e-14,0.249974138823
1193.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2030549884.17,1919996.21462,2030549884.17,2031907526.52,2029192241.83,2029328006.06,2031771762.28,2.0,3686385464150.0,0.124996484341,0.125,0.00390573606611,3,6.270282251879999e-14,0.249974138823
1193.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2026677223.71,5556598.53529,2026677223.71,2030606332.22,2022748115.21,2023141026.06,2030213421.37,2.0,30875787282300.0,0.125001333526,0.25,0.00781177517497,113,6.270282251879999e-14,0.249974138823
1193.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1992534956.87,5808754.10944,1992534956.87,1996642366.29,1988427547.45,1988838288.39,1996231625.35,2.0,33741624303900.0,0.250002182133,0.25,0.0156235200457,83,6.270282251879999e-14,0.249974138823
