npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1396158426.34,15307281.5078,1396158426.34,1406982308.9,1385334543.79,1386416932.04,1405899920.64,2.0,234312867160000.0,0.124987287705,0.00195281465415,0.125,25,0.124992849434,1.21200144652e-13
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1333613397.46,2387377.69956,1333613397.46,1335301528.42,1331925266.5,1332094079.59,1335132715.32,2.0,5699572280340.0,0.124987287705,0.00390577826328,0.125,50,0.249995232956,1.21200144652e-13
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1281507186.92,5182981.56922,1281507186.92,1285172108.33,1277842265.5,1278208757.64,1284805616.19,2.0,26863297946900.0,0.124987287705,0.00390592721826,0.125,75,0.250004767044,1.21200144652e-13
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1215554861.04,9291201.82412,1215554861.04,1222124732.85,1208984989.22,1209641976.4,1221467745.67,2.0,86326431336500.0,0.124987287705,0.00390592721826,0.125,100,0.250004767044,1.21200144652e-13
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1190954200.83,4645771.62601,1190954200.83,1194239257.45,1187669144.21,1187997649.87,1193910751.79,2.0,21583194001000.0,0.124987287705,0.0039056293083,0.25,20,0.124992849434,1.21200144652e-13
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1169189165.62,5362755.89987,1169189165.62,1172981206.68,1165397124.55,1165776328.66,1172602002.57,2.0,28759150841500.0,0.124987287705,0.00195296360913,0.125,125,0.125002383522,1.21200144652e-13
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1165830475.25,7781538.53976,1165830475.25,1171332853.92,1160328096.59,1160878334.45,1170782616.06,2.0,60552342045800.0,0.124987287705,0.00781155652656,0.25,45,0.249995232956,1.21200144652e-13
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1112901245.97,710934.622912,1112901245.97,1113403952.67,1112398539.28,1112448809.95,1113353682.0,2.0,505428038056.0,0.124987287705,0.00781185443652,0.25,70,0.250004767044,1.21200144652e-13
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1086376805.88,1147010.36986,1086376805.88,1087187864.7,1085565747.07,1085646852.96,1087106758.81,2.0,1315632788570.0,0.25,0.00781205308962,0.25,19,0.124992849434,1.21200144652e-13
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1056144099.7,7334543.99217,1056144099.7,1061330405.5,1050957793.91,1051476424.49,1060811774.92,2.0,53795535573100.0,0.124987287705,0.00781185443652,0.25,95,0.250004767044,1.21200144652e-13
