npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2748825411.55,3010076.03424,2748825411.55,2750953856.73,2746696966.38,2746909810.89,2750741012.21,2.0,9060557731910.0,4.4039662692699996e-14,0.0555632183908,1,0.0555555555556,0.000171479735529,0.055551771998
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,128889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2715321178.69,2142083.22093,2715321178.69,2716835860.26,2713806497.12,2713957965.28,2716684392.11,2.0,4588520525380.0,4.4039662692699996e-14,0.0555632183908,101,0.0555555555556,0.000342972776541,0.111107854378
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2667360573.88,1008819.22085,2667360573.88,2668073916.8,2666647230.97,2666718565.26,2668002582.51,2.0,1017716220350.0,4.4039662692699996e-14,0.0555632183908,201,0.0555555555556,0.000342986082024,0.11111216476
1193.0,-900.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2628725836.24,3128443.76683,2628725836.24,2630937980.04,2626513692.44,2626734906.82,2630716765.66,2.0,9787160402190.0,4.4039662692699996e-14,0.111126436782,12,0.111111111111,0.000685918942116,0.055551771998
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,386667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2615758640.1,1444353.56875,2615758640.1,2616779952.3,2614737327.9,2614839459.12,2616677821.08,2.0,2086157231570.0,4.4039662692699996e-14,0.0555632183908,301,0.0555555555556,0.000342986082024,0.11111216476
1193.0,-900.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,128889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2594746233.73,5124699.19431,2594746233.73,2598369943.28,2591122524.18,2591484895.14,2598007572.33,2.0,26262541832200.0,4.4039662692699996e-14,0.111126436782,112,0.111111111111,0.00137189110616,0.111107854378
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2566763539.49,652846.330995,2566763539.49,2567225171.56,2566301907.43,2566348070.63,2567179008.36,2.0,426208331894.0,4.4039662692699996e-14,0.0555632183908,401,0.0555555555556,0.000342984751476,0.111111733722
1193.0,-900.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2543045255.46,244705.274647,2543045255.46,2543218288.22,2542872222.7,2542889525.98,2543200984.95,2.0,59880671440.2,4.4039662692699996e-14,0.111126436782,212,0.111111111111,0.0013719443281,0.11111216476
1193.0,-1000.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,128889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2531770861.61,2798535.21256,2531770861.61,2533749724.84,2529791998.39,2529989884.71,2533551838.51,2.0,7831799335960.0,4.4039662692699996e-14,0.111126436782,102,0.0555555555556,0.000685945553082,0.111107854378
1193.0,-1000.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2526010283.7,1930288.80354,2526010283.7,2527375204.01,2524645363.4,2524781855.43,2527238711.98,2.0,3726014865080.0,4.4039662692699996e-14,0.111126436782,2,0.0555555555556,0.000342959471058,0.055551771998
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,644444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2517121823.51,1109249.58177,2517121823.51,2517906181.42,2516337465.61,2516415901.4,2517827745.63,2.0,1230434634650.0,4.4039662692699996e-14,0.0555632183908,501,0.0555555555556,0.000342984751476,0.111111733722
1193.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2511273181.71,1141549.24279,2511273181.71,2512080378.92,2510465984.5,2510546704.22,2511999659.2,2.0,1303134673720.0,4.4039662692699996e-14,0.111103448276,23,0.111111111111,0.000685777047424,0.055551771998
1193.0,-900.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,386667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2500574173.45,67003.4320759,2500574173.45,2500621552.03,2500526794.87,2500531532.73,2500616814.17,2.0,4489459909.96,4.4039662692699996e-14,0.111126436782,312,0.111111111111,0.0013719443281,0.11111216476
1193.0,-1000.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2484170613.19,3960414.29993,2484170613.19,2486971049.0,2481370177.38,2481650220.96,2486691005.42,2.0,15684881427100.0,4.4039662692699996e-14,0.111126436782,202,0.0555555555556,0.000685972164049,0.11111216476
1193.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,128889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2475879830.6,2889315.82141,2475879830.6,2477922885.42,2473836775.79,2474041081.28,2477718579.93,2.0,8348145915840.0,4.4039662692699996e-14,0.111103448276,123,0.111111111111,0.00137160730577,0.111107854378
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2466974946.7,3989634.47754,2466974946.7,2469796044.3,2464153849.11,2464435958.87,2469513934.54,2.0,15917183264400.0,4.4039662692699996e-14,0.0555632183908,601,0.0555555555556,0.000342986082024,0.11111216476
1193.0,-900.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2444131600.06,778097.225444,2444131600.06,2444681797.88,2443581402.23,2443636422.01,2444626778.1,2.0,605435292244.0,4.4039662692699996e-14,0.111126436782,412,0.111111111111,0.0013719390059,0.111111733722
1193.0,-1000.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,386667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2433756767.9,1321778.31145,2433756767.9,2434691406.31,2432822129.5,2432915593.34,2434597942.47,2.0,1747097904620.0,4.4039662692699996e-14,0.111126436782,302,0.0555555555556,0.000685972164049,0.11111216476
1193.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2425342926.1,820755.701422,2425342926.1,2425923288.02,2424762564.18,2424820600.37,2425865251.83,2.0,673639921417.0,4.4039662692699996e-14,0.111103448276,223,0.111111111111,0.00137166051669,0.11111216476
1193.0,-900.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,128889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2415602067.42,8754236.85506,2415602067.42,2421792247.66,2409411887.18,2410030905.2,2421173229.64,2.0,76636662914600.0,4.4039662692699996e-14,0.111103448276,113,0.111111111111,0.00137160730577,0.111107854378
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,902222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2415457946.14,3896993.99024,2415457946.14,2418213537.02,2412702355.27,2412977914.35,2417937977.93,2.0,15186562160000.0,4.4039662692699996e-14,0.0555632183908,701,0.0555555555556,0.000342986082024,0.11111216476
1193.0,-900.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2411480022.61,4039163.72401,2411480022.61,2414336142.67,2408623902.55,2408909514.56,2414050530.66,2.0,16314843589400.0,4.4039662692699996e-14,0.111103448276,13,0.111111111111,0.000685777047424,0.055551771998
1193.0,-700.0,-16917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2395163320.64,3916899.7101,2395163320.64,2397932986.98,2392393654.29,2392670620.92,2397656020.35,2.0,15342103339000.0,4.4039662692699996e-14,0.111103448276,34,0.111111111111,0.000685777047424,0.055551771998
1193.0,-900.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,644444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2391508969.12,2466006.79963,2391508969.12,2393252699.25,2389765238.99,2389939612.0,2393078326.24,2.0,6081189535820.0,4.4039662692699996e-14,0.111126436782,512,0.111111111111,0.0013719390059,0.111111733722
1193.0,-1000.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2385556098.91,3354284.25645,2385556098.91,2387927936.05,2383184261.76,2383421445.48,2387690752.34,2.0,11251222873100.0,4.4039662692699996e-14,0.111126436782,402,0.0555555555556,0.000685969502952,0.111111733722
1193.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,386667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2375437981.98,2018695.34709,2375437981.98,2376865415.15,2374010548.82,2374153292.13,2376722671.84,2.0,4075130904360.0,4.4039662692699996e-14,0.111103448276,323,0.111111111111,0.00137166051669,0.11111216476
1193.0,-900.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2366110979.58,545970.32512,2366110979.58,2366497038.9,2365724920.26,2365763526.19,2366458432.97,2.0,298083595911.0,4.4039662692699996e-14,0.111103448276,213,0.111111111111,0.00137166051669,0.11111216476
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2364283736.01,1975220.8829,2364283736.01,2365680428.09,2362887043.93,2363026713.13,2365540758.88,2.0,3901497536230.0,4.4039662692699996e-14,0.0555632183908,801,0.0555555555556,0.000342986082024,0.11111216476
1193.0,-700.0,-16917.0,-1e+200,-1e+200,-1e+200,-1e+200,128889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2360002251.24,1729987.29321,2360002251.24,2361225536.99,2358778965.49,2358901294.07,2361103208.41,2.0,2992856034660.0,4.4039662692699996e-14,0.111103448276,134,0.111111111111,0.00137160730577,0.111107854378
