npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1659520660.84,65026.8540421,1659520660.84,1659566641.77,1659474679.91,1659479278.0,1659562043.68,2.0,4228491746.62,1,0.125210084034,0.124998671661,0.125008550516,4.07233133368e-14,0.00195652059778
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1427794917.25,7016521.7462,1427794917.25,1432756347.36,1422833487.14,1423329630.15,1432260204.35,2.0,49231577414900.0,7,0.249579831933,0.124998671661,0.250017101033,4.07233133368e-14,0.00779982036967
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1304111661.89,1332991.90914,1304111661.89,1305054229.51,1303169094.27,1303263351.03,1304959972.75,2.0,1776867429840.0,26,0.125210084034,0.24999911444,0.125008550516,4.07233133368e-14,0.0039130689177
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1261220909.83,12420015.9305,1261220909.83,1270003187.32,1252438632.35,1253316860.1,1269124959.57,2.0,154256795714000.0,2,0.125210084034,0.124998671661,0.250017101033,4.07233133368e-14,0.00391304119556
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1223070623.67,9950072.94902,1223070623.67,1230106387.73,1216034859.62,1216738436.02,1229402811.32,2.0,99003951690800.0,13,0.249579831933,0.124998671661,0.250017101033,4.07233133368e-14,0.00779982036967
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1085880808.47,4888199.87438,1085880808.47,1089337287.75,1082424329.2,1082769977.12,1088991639.83,2.0,23894498011900.0,32,0.249579831933,0.24999911444,0.250017101033,4.07233133368e-14,0.0155997512558
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1039274906.6,3804919.29252,1039274906.6,1041965390.84,1036584422.37,1036853470.79,1041696342.41,2.0,14477410822600.0,8,0.249579831933,0.124998671661,0.250017101033,4.07233133368e-14,0.00779982036967
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1017769347.9,11695344.7614,1017769347.9,1026039205.49,1009499490.31,1010326476.07,1025212219.73,2.0,136781089087000.0,19,0.250420168067,0.124998671661,0.249982898967,4.07233133368e-14,0.00782501179161
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,960118607.85,17964369.3901,960118607.85,972821335.265,947415880.434,948686153.176,971551062.524,2.0,322718567583000.0,27,0.125210084034,0.24999911444,0.250017101033,4.07233133368e-14,0.0078261378354
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,946117091.391,542376.988074,946117091.391,946500609.837,945733572.945,945771924.79,946462257.993,2.0,294172797192.0,51,0.125210084034,0.25000088556,0.125008550516,4.07233133368e-14,0.00391309663984
