npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight
769.0,-769.0,-18584.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1465323328.7,630541.068189,1465323328.7,1465769188.56,1464877468.83,1464922054.82,1465724602.57,2.0,397582038673.0,1,0.125008698073,0.124998648759,4.2140306427499993e-14,0.125210084034,0.00195652254872
769.0,-620.0,-14991.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1291194902.44,7232155.88015,1291194902.44,1296308808.9,1286080995.97,1286592386.62,1295797418.25,2.0,52304078674800.0,7,0.249982603855,0.124998648759,4.2140306427499993e-14,0.249579831933,0.00779874272725
769.0,-769.0,-18584.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1197780812.79,658654.080824,1197780812.79,1198246551.55,1197315074.02,1197361647.9,1198199977.68,2.0,433825198187.0,26,0.125008698073,0.249999099172,4.2140306427499993e-14,0.125210084034,0.00391307329758
769.0,-769.0,-14991.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1132375488.04,12394688.3809,1132375488.04,1141139856.24,1123611119.83,1124487556.65,1140263419.42,2.0,153628300060000.0,2,0.249982603855,0.124998648759,4.2140306427499993e-14,0.125210084034,0.00391250056014
769.0,-472.0,-11399.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1113841588.13,635240.133218,1113841588.13,1114290770.74,1113392405.53,1113437323.79,1114245852.48,2.0,403530026851.0,13,0.249982603855,0.124998648759,4.2140306427499993e-14,0.249579831933,0.00779874272725
769.0,-620.0,-14991.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1019952497.4,13023522.2454,1019952497.4,1029161518.29,1010743476.5,1011664378.59,1028240616.2,2.0,169612131677000.0,32,0.249982603855,0.249999099172,4.2140306427499993e-14,0.249579831933,0.0155975978609
769.0,-620.0,-11399.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,973617809.863,11097431.2326,973617809.863,981464878.741,965770740.985,966555447.872,980680171.853,2.0,123152979962000.0,8,0.249982603855,0.124998648759,4.2140306427499993e-14,0.249579831933,0.00779874272725
769.0,-323.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,946054801.381,44954927.5554,946054801.381,977842735.503,914266867.259,917445660.671,974663942.091,2.0,2020945511510000.0,19,0.250017396145,0.124998648759,4.2140306427499993e-14,0.250420168067,0.00782609019489
769.0,-769.0,-14991.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,921601409.964,4408613.0722,921601409.964,924718770.163,918484049.765,918795785.784,924407034.143,2.0,19435869220400.0,27,0.249982603855,0.249999099172,4.2140306427499993e-14,0.125210084034,0.0078250575127
769.0,-769.0,-18584.0,-1e+200,-1e+200,-1e+200,-1e+200,1387618.0,1e+200,-1e+200,ref,cooper,nebraska,covid,919911663.911,3389317.32856,919911663.911,922308273.177,917515054.644,917754715.571,922068612.251,2.0,11487471953600.0,51,0.125008698073,0.250000900828,4.2140306427499993e-14,0.125210084034,0.00391310149772
769.0,-472.0,-11399.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,868951989.141,2099471.51099,868951989.141,870436539.683,867467438.599,867615893.653,870288084.629,2.0,4407780625450.0,38,0.249982603855,0.249999099172,4.2140306427499993e-14,0.249579831933,0.0155975978609
