npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1892174113.66,1229.19485175,1892174113.66,1892174982.83,1892173244.49,1892173331.4,1892174895.91,2.0,1510919.98356,0.00195652059778,1,0.124998671661,4.07233133368e-14,0.125008550516,0.125210084034
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1607420884.22,134585.364906,1607420884.22,1607516050.45,1607325718.0,1607335234.62,1607506533.82,2.0,18113220446.8,0.0039130689177,26,0.24999911444,4.07233133368e-14,0.125008550516,0.125210084034
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1589544749.64,205779.850055,1589544749.64,1589690257.97,1589399241.31,1589413792.15,1589675707.14,2.0,42345346688.6,0.00779982036967,7,0.124998671661,4.07233133368e-14,0.250017101033,0.249579831933
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1429295363.07,6900210.76018,1429295363.07,1434174548.89,1424416177.25,1424904095.83,1433686630.3,2.0,47612908534900.0,0.00391304119556,2,0.124998671661,4.07233133368e-14,0.250017101033,0.125210084034
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1319196637.07,430374.070149,1319196637.07,1319500957.5,1318892316.65,1318922748.69,1319470525.45,2.0,185221840257.0,0.00391309663984,51,0.25000088556,4.07233133368e-14,0.125008550516,0.125210084034
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1304950627.33,514807.589163,1304950627.33,1305314651.27,1304586603.39,1304623005.78,1305278248.87,2.0,265026853860.0,0.0155997512558,32,0.24999911444,4.07233133368e-14,0.250017101033,0.249579831933
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1290388204.04,5659134.87115,1290388204.04,1294389816.69,1286386591.4,1286786752.66,1293989655.42,2.0,32025807489900.0,0.00779982036967,13,0.124998671661,4.07233133368e-14,0.250017101033,0.249579831933
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1183011897.54,7063897.72105,1183011897.54,1188006827.52,1178016967.56,1178516460.56,1187507334.52,2.0,49898651013500.0,0.0078261378354,27,0.24999911444,4.07233133368e-14,0.250017101033,0.125210084034
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1126748812.63,4017552.79363,1126748812.63,1129589651.46,1123907973.81,1124192057.69,1129305567.57,2.0,16140730449600.0,0.00779982036967,8,0.124998671661,4.07233133368e-14,0.250017101033,0.249579831933
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1027865574.31,1452653.06737,1027865574.31,1028892755.15,1026838393.48,1026941111.56,1028790037.06,2.0,2110200934130.0,0.00391309663984,76,0.25000088556,4.07233133368e-14,0.125008550516,0.125210084034
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1010620382.75,4374128.95778,1010620382.75,1013713359.0,1007527406.51,1007836704.13,1013404061.38,2.0,19133004139300.0,0.0155998617723,57,0.25000088556,4.07233133368e-14,0.250017101033,0.249579831933
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1008909260.62,1780142.33625,1008909260.62,1010168011.34,1007650509.91,1007776384.98,1010042136.27,2.0,3168906737310.0,0.00782501179161,19,0.124998671661,4.07233133368e-14,0.249982898967,0.250420168067
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1003040402.89,6170393.7149,1003040402.89,1007403530.13,998677275.653,999113588.376,1006967217.41,2.0,38073758596900.0,0.0155997512558,38,0.24999911444,4.07233133368e-14,0.250017101033,0.249579831933
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,976876606.861,9503523.85069,976876606.861,983596613.021,970156600.701,970828601.317,982924612.405,2.0,90316965580600.0,0.00391304119556,3,0.124998671661,4.07233133368e-14,0.250017101033,0.125210084034
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,898780245.137,2726976.62287,898780245.137,900708508.8,896851981.475,897044807.842,900515682.433,2.0,7436401501660.0,0.00782619327968,52,0.25000088556,4.07233133368e-14,0.250017101033,0.125210084034
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,881737270.891,15512419.85,881737270.891,892706208.159,870768333.622,871865227.349,891609314.432,2.0,240635169602000.0,0.0155997512558,33,0.24999911444,4.07233133368e-14,0.250017101033,0.249579831933
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,831688398.362,13792414.2757,831688398.362,841441108.026,821935688.699,822910959.666,840465837.059,2.0,190230691551000.0,0.00779875336278,14,0.124998671661,4.07233133368e-14,0.249982898967,0.249579831933
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,742736565.356,2356207.38275,742736565.356,744402655.574,741070475.138,741237084.16,744236046.552,2.0,5551713230520.0,0.0078261378354,28,0.24999911444,4.07233133368e-14,0.250017101033,0.125210084034
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,741339087.097,1097210.69016,741339087.097,742114932.216,740563241.977,740640826.489,742037347.704,2.0,1203871298610.0,0.00195598529803,25,0.124998671661,4.07233133368e-14,0.124974348451,0.125210084034
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,740088096.95,403091.78565,740088096.95,740373125.885,739803068.015,739831570.908,740344622.991,2.0,162482987658.0,0.00195654831992,101,0.12500044278,4.07233133368e-14,0.125008550516,0.125210084034
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,727196106.371,1284325.33824,727196106.371,728104261.527,726287951.215,726378766.731,728013446.012,2.0,1649491574460.0,0.0155998617723,82,0.25000088556,4.07233133368e-14,0.250017101033,0.249579831933
