npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1898222442.11,858960.171524,1898222442.11,1898829818.67,1897615065.55,1897675803.2,1898769081.02,2.0,737812576265.0,0.125008550516,0.125210084034,1,4.07233133368e-14,0.124998671661,0.00195652059778
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1696051857.98,5562087.82978,1696051857.98,1699984848.01,1692118867.96,1692512166.96,1699591549.0,2.0,30936821026100.0,0.250017101033,0.249579831933,7,4.07233133368e-14,0.124998671661,0.00779982036967
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1628368961.23,61692.9858617,1628368961.23,1628412584.76,1628325337.7,1628329700.05,1628408222.4,2.0,3806024504.53,0.125008550516,0.125210084034,26,4.07233133368e-14,0.24999911444,0.0039130689177
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1542100480.87,3627426.39262,1542100480.87,1544665458.67,1539535503.07,1539792000.85,1544408960.89,2.0,13158222233900.0,0.250017101033,0.125210084034,2,4.07233133368e-14,0.124998671661,0.00391304119556
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1478912190.02,4595753.26555,1478912190.02,1482161878.31,1475662501.72,1475987470.55,1481836909.48,2.0,21120948077900.0,0.250017101033,0.249579831933,13,4.07233133368e-14,0.124998671661,0.00779982036967
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1427195646.05,7889484.91811,1427195646.05,1432774354.34,1421616937.77,1422174808.6,1432216483.51,2.0,62243972273100.0,0.250017101033,0.249579831933,32,4.07233133368e-14,0.24999911444,0.0155997512558
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1355386272.38,1599213.34964,1355386272.38,1356517086.99,1354255457.78,1354368539.24,1356404005.53,2.0,2557483337660.0,0.250017101033,0.249579831933,8,4.07233133368e-14,0.124998671661,0.00779982036967
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1352161307.95,1773404.63918,1352161307.95,1353415294.39,1350907321.5,1351032720.15,1353289895.75,2.0,3144964014260.0,0.125008550516,0.125210084034,51,4.07233133368e-14,0.25000088556,0.00391309663984
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1338481839.46,15821386.3409,1338481839.46,1349669249.03,1327294429.89,1328413170.84,1348550508.07,2.0,250316265748000.0,0.250017101033,0.125210084034,27,4.07233133368e-14,0.24999911444,0.0078261378354
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1320325050.87,20846705.3247,1320325050.87,1335065897.57,1305584204.17,1307058288.84,1333591812.9,2.0,434585122895000.0,0.249982898967,0.250420168067,19,4.07233133368e-14,0.124998671661,0.00782501179161
