npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,2044282098.27,278389.446396,2044282098.27,2044478949.34,2044085247.21,2044104932.32,2044459264.23,2.0,77500683864.5,1,0.125210084034,0.00195638614221,0.12499008153,2.85069050095e-13,0.125008550516
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,2004773768.01,51977.4887755,2004773768.01,2004810521.64,2004737014.37,2004740689.74,2004806846.28,2.0,2701659339.41,26,0.125210084034,0.00391298574928,0.249993800956,2.85069050095e-13,0.125008550516
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1960648058.58,479923.915416,1960648058.58,1960987416.03,1960308701.12,1960342636.87,1960953480.29,2.0,230326964589.0,51,0.125210084034,0.00391317980826,0.250006199044,2.85069050095e-13,0.125008550516
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1916596888.99,261976.906493,1916596888.99,1916782134.64,1916411643.35,1916430167.91,1916763610.08,2.0,68631899535.7,76,0.125210084034,0.00391317980826,0.250006199044,2.85069050095e-13,0.125008550516
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1872286309.77,151736.599239,1872286309.77,1872393603.75,1872179015.79,1872189745.19,1872382874.35,2.0,23023995548.6,101,0.125210084034,0.00195659960708,0.125003719426,2.85069050095e-13,0.125008550516
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1770633665.81,11202198.6559,1770633665.81,1778554816.44,1762712515.17,1763504630.24,1777762701.38,2.0,125489254727000.0,7,0.249579831933,0.00779928435215,0.12499008153,2.85069050095e-13,0.250017101033
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1735936247.07,4237481.12511,1735936247.07,1738932598.71,1732939895.43,1733239530.6,1738632963.55,2.0,17956246285700.0,32,0.249579831933,0.0155994196985,0.249993800956,2.85069050095e-13,0.250017101033
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1691159107.32,5750976.54285,1691159107.32,1695225661.83,1687092552.81,1687499208.26,1694819006.38,2.0,33073731196400.0,57,0.249579831933,0.0156001933296,0.250006199044,2.85069050095e-13,0.250017101033
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1648511860.5,4210631.33331,1648511860.5,1651489226.47,1645534494.53,1645832231.13,1651191489.87,2.0,17729416225100.0,82,0.249579831933,0.0156001933296,0.250006199044,2.85069050095e-13,0.250017101033
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1646218560.89,8433919.85393,1646218560.89,1652182242.81,1640254878.97,1640851247.16,1651585874.62,2.0,71131004102600.0,27,0.125210084034,0.00782597149857,0.249993800956,2.85069050095e-13,0.250017101033
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1632957847.24,1491135.79564,1632957847.24,1634012239.48,1631903455.01,1632008894.23,1633906800.25,2.0,2223485961030.0,2,0.125210084034,0.00391277228441,0.12499008153,2.85069050095e-13,0.250017101033
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1606092041.71,1542924.11981,1606092041.71,1607183053.82,1605001029.61,1605110130.82,1607073952.61,2.0,2380614839490.0,107,0.249579831933,0.00780013534634,0.125003719426,2.85069050095e-13,0.250017101033
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1604695636.02,12834025.0679,1604695636.02,1613770662.18,1595620609.87,1596528112.48,1612863159.56,2.0,164712199442000.0,52,0.125210084034,0.00782635961652,0.250006199044,2.85069050095e-13,0.250017101033
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1561829676.77,7540250.65763,1561829676.77,1567161439.14,1556497914.4,1557031090.64,1566628262.9,2.0,56855379979900.0,77,0.125210084034,0.00782635961652,0.250006199044,2.85069050095e-13,0.250017101033
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1520975471.95,3543993.07513,1520975471.95,1523481453.49,1518469490.42,1518720088.57,1523230855.33,2.0,12559886916600.0,102,0.125210084034,0.00391319921416,0.125003719426,2.85069050095e-13,0.250017101033
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1513251205.73,7595446.52284,1513251205.73,1518621997.47,1507880413.98,1508417493.16,1518084918.29,2.0,57690807881400.0,13,0.249579831933,0.00779928435215,0.12499008153,2.85069050095e-13,0.250017101033
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1454247185.57,8490380.7104,1454247185.57,1460250791.35,1448243579.8,1448843940.38,1459650430.77,2.0,72086564607600.0,38,0.249579831933,0.0155994196985,0.249993800956,2.85069050095e-13,0.250017101033
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1417257507.03,11347125.0472,1417257507.03,1425281136.1,1409233877.97,1410036240.87,1424478773.2,2.0,128757246836000.0,63,0.249579831933,0.0156001933296,0.250006199044,2.85069050095e-13,0.250017101033
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1380436723.35,13493925.2375,1380436723.35,1389978369.39,1370895077.3,1371849241.91,1389024204.78,2.0,182086018314000.0,33,0.249579831933,0.0155994196985,0.249993800956,2.85069050095e-13,0.250017101033
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1376735086.34,5782939.35538,1376735086.34,1380824241.97,1372645930.71,1373054846.27,1380415326.41,2.0,33442387588000.0,88,0.249579831933,0.0156001933296,0.250006199044,2.85069050095e-13,0.250017101033
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1367118823.38,6953580.26675,1367118823.38,1372035747.14,1362201899.62,1362693591.99,1371544054.76,2.0,48352278526100.0,8,0.249579831933,0.00779928435215,0.12499008153,2.85069050095e-13,0.250017101033
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1349066639.35,1766508.89323,1349066639.35,1350315749.76,1347817528.93,1347942439.97,1350190838.72,2.0,3120553669860.0,58,0.249579831933,0.0156001933296,0.250006199044,2.85069050095e-13,0.250017101033
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1330893493.39,10468982.9284,1330893493.39,1338296182.21,1323490804.57,1324231073.45,1337555913.33,2.0,109599603555000.0,113,0.249579831933,0.00780013534634,0.125003719426,2.85069050095e-13,0.250017101033
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1278609121.22,2698001.81988,1278609121.22,1280516896.61,1276701345.84,1276892123.38,1280326119.07,2.0,7279213820070.0,83,0.249579831933,0.0156001933296,0.250006199044,2.85069050095e-13,0.250017101033
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1260098887.67,9734372.27901,1260098887.67,1266982128.32,1253215647.02,1253903971.09,1266293804.26,2.0,94758003666400.0,28,0.125210084034,0.00782597149857,0.249993800956,2.85069050095e-13,0.250017101033
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1253615527.69,1263123.03612,1253615527.69,1254508690.55,1252722364.82,1252811681.11,1254419374.27,2.0,1595479804380.0,108,0.249579831933,0.00780013534634,0.125003719426,2.85069050095e-13,0.250017101033
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1236765903.14,39872164.468,1236765903.14,1264959781.02,1208572025.27,1211391413.06,1262140393.23,2.0,1589789499360000.0,19,0.250420168067,0.00782447404289,0.12499008153,2.85069050095e-13,0.249982898967
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1229880471.62,6905168.01133,1229880471.62,1234763162.74,1224997780.49,1225486049.61,1234274893.63,2.0,47681345264600.0,53,0.125210084034,0.00782635961652,0.250006199044,2.85069050095e-13,0.250017101033
