npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2487993131.34,189055.297333,2487993131.34,2488126813.62,2487859449.06,2487872817.29,2488113445.4,2.0,35741905449.8,0.124991734973,1.74117872884e-13,0.125007204196,0.124645892351,1,0.00194757553204
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2453874713.85,180416.360016,2453874713.85,2454002287.48,2453747140.22,2453759897.58,2453989530.12,2.0,32550062961.2,0.249995200952,1.74117872884e-13,0.125007204196,0.124645892351,26,0.00389533385232
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2413915783.5,184935.306433,2413915783.5,2414046552.51,2413785014.49,2413798091.4,2414033475.61,2.0,34201067565.5,0.250005865503,1.74117872884e-13,0.125007204196,0.124645892351,51,0.00389550002345
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2374275816.09,3477.3476042,2374275816.09,2374278274.94,2374273357.23,2374273603.12,2374278029.06,2.0,12091946.3604,0.250004799048,1.74117872884e-13,0.125007204196,0.124645892351,76,0.00389548340634
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2334489622.53,498942.578141,2334489622.53,2334842428.21,2334136816.85,2334172097.41,2334807147.64,2.0,248943696282.0,0.125002399524,1.74117872884e-13,0.125007204196,0.124645892351,101,0.00194774170317
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2254493075.02,1793747.40702,2254493075.02,2255761445.98,2253224704.06,2253351541.16,2255634608.88,2.0,3217529760190.0,0.124991734973,1.74117872884e-13,0.250014408391,0.25,7,0.00781243366828
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2220897014.4,3489409.38849,2220897014.4,2223364399.44,2218429629.36,2218676367.86,2223117660.93,2.0,12175977880500.0,0.249995200952,1.74117872884e-13,0.250014408391,0.25,32,0.0156256005667
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2182702743.16,910782.128864,2182702743.16,2183346763.38,2182058722.94,2182123124.96,2183282361.36,2.0,829524086257.0,0.250005865503,1.74117872884e-13,0.250014408391,0.25,57,0.0156262671395
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2141185620.89,2633589.37574,2141185620.89,2143047849.79,2139323391.98,2139509614.87,2142861626.9,2.0,6935793000010.0,0.250004799048,1.74117872884e-13,0.250014408391,0.25,82,0.0156262004822
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2137346328.25,1148706.31832,2137346328.25,2138158586.28,2136534070.22,2136615296.03,2138077360.48,2.0,1319526205760.0,0.249995200952,1.74117872884e-13,0.250014408391,0.124645892351,27,0.00779066770464
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2101654748.2,1902693.27654,2101654748.2,2103000155.51,2100309340.88,2100443881.61,2102865614.78,2.0,3620241704580.0,0.125002399524,1.74117872884e-13,0.250014408391,0.25,107,0.00781310024112
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2092606201.9,728383.417282,2092606201.9,2093121246.75,2092091157.05,2092142661.53,2093069742.27,2.0,530542402571.0,0.250005865503,1.74117872884e-13,0.250014408391,0.124645892351,52,0.0077910000469
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2090195833.73,1428019.14544,2090195833.73,2091205595.75,2089186071.71,2089287047.91,2091104619.55,2.0,2039238679740.0,0.124991734973,1.74117872884e-13,0.250014408391,0.124645892351,2,0.00389515106407
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2052302091.67,2595553.46956,2052302091.67,2054137425.13,2050466758.21,2050650291.55,2053953891.78,2.0,6736897813330.0,0.250004799048,1.74117872884e-13,0.250014408391,0.124645892351,77,0.00779096681268
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2019473349.26,970905.300048,2019473349.26,2020159882.98,2018786815.54,2018855468.91,2020091229.61,2.0,942657101661.0,0.124991734973,1.74117872884e-13,0.249985591609,0.25,13,0.00781153320336
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2014490987.78,2284283.43393,2014490987.78,2016106220.09,2012875755.48,2013037278.71,2015944696.86,2.0,5217950806530.0,0.125002399524,1.74117872884e-13,0.250014408391,0.124645892351,102,0.00389548340634
