npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability
894.0,-894.0,-21605.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1734952075.21,178600.64962,1734952075.21,1735078364.94,1734825785.48,1734838414.45,1735065735.97,2.0,31898192044.6,0.00194752657096,0.125,1,0.124995796282,0.124645892351,9.0090706851e-14
894.0,-894.0,-21605.0,-1e+200,-1e+200,-1e+200,-1e+200,230453.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1629549719.58,12438.1587834,1629549719.58,1629558514.69,1629540924.48,1629541803.99,1629557635.18,2.0,154707793.922,0.00389514610545,0.125,26,0.249997559131,0.124645892351,9.0090706851e-14
894.0,-718.0,-17341.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1619472569.37,298460.452492,1619472569.37,1619683612.78,1619261525.96,1619282630.3,1619662508.44,2.0,89078641702.0,0.00781223726762,0.25,7,0.124995796282,0.25,9.0090706851e-14
894.0,-718.0,-17341.0,-1e+200,-1e+200,-1e+200,-1e+200,230453.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1518463453.35,213241.081976,1518463453.35,1518614237.56,1518312669.13,1518327747.55,1518599159.14,2.0,45471759042.4,0.0156248474457,0.25,32,0.249997559131,0.25,9.0090706851e-14
894.0,-541.0,-13077.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1518008031.71,162496.317984,1518008031.71,1518122933.96,1517893129.46,1517904619.69,1518111443.74,2.0,26405053358.4,0.00781223726762,0.25,13,0.124995796282,0.25,9.0090706851e-14
894.0,-894.0,-21605.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1510687437.64,623928.586083,1510687437.64,1511128621.77,1510246253.5,1510290371.92,1511084503.36,2.0,389286880531.0,0.00389523061774,0.125,51,0.250002983284,0.124645892351,9.0090706851e-14
894.0,-365.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1444014992.53,4697397.41214,1444014992.53,1447336554.09,1440693430.97,1441025587.12,1447004397.94,2.0,22065542447600.0,0.00781223726762,0.25,19,0.124995796282,0.25,9.0090706851e-14
894.0,-541.0,-13077.0,-1e+200,-1e+200,-1e+200,-1e+200,230453.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1414016750.37,7990720.25969,1414016750.37,1419667042.85,1408366457.88,1408931487.13,1419102013.6,2.0,63851610268600.0,0.0156248474457,0.25,38,0.249997559131,0.25,9.0090706851e-14
894.0,-894.0,-17341.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1413845530.89,3930640.39982,1413845530.89,1416624913.38,1411066148.41,1411344086.66,1416346975.13,2.0,15449933952700.0,0.00389505314193,0.25,2,0.124995796282,0.124645892351,9.0090706851e-14
894.0,-718.0,-17341.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1400326614.83,2791307.18198,1400326614.83,1402300367.06,1398352862.59,1398550237.81,1402102991.84,2.0,7791395784190.0,0.0156251864552,0.25,57,0.250002983284,0.25,9.0090706851e-14
