npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,PointProbability
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2210444962.26,23495.9241018,2210444962.26,2210461576.39,2210428348.13,2210430009.55,2210459914.97,2.0,552058449.395,0.125007204196,0.124996134146,0.124645892351,0.00194764407834,1,8.705791516489999e-14
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2117492516.25,125720.051953,2117492516.25,2117581413.75,2117403618.74,2117412508.49,2117572524.0,2.0,15805531463.1,0.125007204196,0.249997067283,0.124645892351,0.0038953629328,26,8.705791516489999e-14
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2020135066.98,305335.361986,2020135066.98,2020350971.69,2019919162.28,2019940752.75,2020329381.21,2.0,93229683279.2,0.125007204196,0.250002399496,0.124645892351,0.00389544601739,51,8.705791516489999e-14
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1927080105.0,425036.3038,1927080105.0,1927380651.05,1926779558.95,1926809613.55,1927350596.45,2.0,180655859548.0,0.250014408391,0.124996134146,0.25,0.00781270863241,7,8.705791516489999e-14
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1923033129.31,259868.68573,1923033129.31,1923216884.22,1922849374.4,1922867749.89,1923198508.73,2.0,67531733823.3,0.125007204196,0.250002932717,0.124645892351,0.00389545432585,76,8.705791516489999e-14
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1837708041.96,1439198.04744,1837708041.96,1838725708.66,1836690375.26,1836792141.93,1838623941.99,2.0,2071291019760.0,0.250014408391,0.249997067283,0.25,0.0156257172191,32,8.705791516489999e-14
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1825616974.37,27275.6610333,1825616974.37,1825636261.17,1825597687.56,1825599616.24,1825634332.49,2.0,743961684.804,0.125007204196,0.125001466359,0.124645892351,0.00194772716293,101,8.705791516489999e-14
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1744507908.29,1795341.10531,1744507908.29,1745777406.16,1743238410.42,1743365360.21,1745650456.37,2.0,3223249684420.0,0.250014408391,0.124996134146,0.124645892351,0.00389528815667,2,8.705791516489999e-14
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1741110050.55,2777760.2118,1741110050.55,1743074223.63,1739145877.47,1739342294.78,1742877806.33,2.0,7715951794280.0,0.250014408391,0.250002399496,0.25,0.0156260505016,57,8.705791516489999e-14
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1707693567.55,2704791.07895,1707693567.55,1709606143.66,1705780991.44,1705972249.05,1709414886.05,2.0,7315894780780.0,0.250014408391,0.249997067283,0.124645892351,0.00779072586561,27,8.705791516489999e-14
