npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability
894.0,-894.0,-21605.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2018655651.32,241902.914166,2018655651.32,2018826702.51,2018484600.13,2018501705.25,2018809597.39,2.0,58517019882.0,1,0.125,0.124645892351,0.00194752657096,0.124995796282,9.0090706851e-14
894.0,-718.0,-17341.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1949842311.82,4555852.89083,1949842311.82,1953063786.29,1946620837.35,1946942984.79,1952741638.84,2.0,20755795562900.0,7,0.25,0.25,0.00781223726762,0.124995796282,9.0090706851e-14
894.0,-894.0,-21605.0,-1e+200,-1e+200,-1e+200,-1e+200,230453.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1946117721.39,1041507.19699,1946117721.39,1946854178.19,1945381264.58,1945454910.26,1946780532.51,2.0,1084737241380.0,26,0.125,0.124645892351,0.00389514610545,0.249997559131,9.0090706851e-14
894.0,-541.0,-13077.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1891468996.32,6013194.26296,1891468996.32,1895720966.76,1887217025.88,1887642222.93,1895295769.72,2.0,36158505244000.0,13,0.25,0.25,0.00781223726762,0.124995796282,9.0090706851e-14
894.0,-718.0,-17341.0,-1e+200,-1e+200,-1e+200,-1e+200,230453.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1880523019.97,5106545.73914,1880523019.97,1884133893.09,1876912146.85,1877273234.16,1883772805.78,2.0,26076809386000.0,32,0.25,0.25,0.0156248474457,0.249997559131,9.0090706851e-14
894.0,-894.0,-21605.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1855223694.59,1873802.66287,1855223694.59,1856548673.16,1853898716.02,1854031213.88,1856416175.3,2.0,3511136419390.0,51,0.125,0.124645892351,0.00389523061774,0.250002983284,9.0090706851e-14
894.0,-365.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1847221504.57,13581717.1523,1847221504.57,1856825228.87,1837617780.27,1838578152.7,1855864856.44,2.0,184463040804000.0,19,0.25,0.25,0.00781223726762,0.124995796282,9.0090706851e-14
894.0,-188.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1824816828.58,9389319.56612,1824816828.58,1831456080.12,1818177577.05,1818841502.2,1830792154.96,2.0,88159321914800.0,25,0.125,0.125354107649,0.00195859206284,0.124995796282,9.0090706851e-14
894.0,-541.0,-13077.0,-1e+200,-1e+200,-1e+200,-1e+200,230453.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1816317866.12,3681872.54216,1816317866.12,1818921343.16,1813714389.08,1813974736.78,1818660995.46,2.0,13556185416700.0,38,0.25,0.25,0.0156248474457,0.249997559131,9.0090706851e-14
894.0,-718.0,-17341.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1786355786.09,1148947.79646,1786355786.09,1787168214.87,1785543357.31,1785624600.19,1787086971.99,2.0,1320081038990.0,57,0.25,0.25,0.0156251864552,0.250002983284,9.0090706851e-14
