npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,766210301.896,4397408.92046,766210301.896,769319739.564,763100864.229,763411807.996,769008795.797,2.0,19337205213700.0,1.74117872884e-13,25,0.125354107649,0.124991734973,0.125007204196,0.0019586413021
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,721212991.042,12588356.4665,721212991.042,730114303.264,712311678.821,713201810.043,729224172.042,2.0,158466718529000.0,1.74117872884e-13,50,0.125354107649,0.249995200952,0.125007204196,0.00391746643102
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,666694171.262,416897.212178,666694171.262,666988962.108,666399380.417,666428859.501,666959483.024,2.0,173803285522.0,1.74117872884e-13,75,0.125354107649,0.250005865503,0.125007204196,0.00391763354631
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,612849010.047,4459079.69427,612849010.047,616002055.537,609695964.557,610011269.106,615686750.988,2.0,19883391719800.0,1.74117872884e-13,100,0.125354107649,0.250004799048,0.125007204196,0.00391761683478
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,572888972.543,2098911.53249,572888972.543,574373127.121,571404817.966,571553233.423,574224711.663,2.0,4405429621210.0,1.74117872884e-13,20,0.25,0.124991734973,0.125007204196,0.00390621683414
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,565698821.728,9157031.68864,565698821.728,572173820.931,559223822.526,559871322.446,571526321.011,2.0,83851229346800.0,1.74117872884e-13,45,0.25,0.249995200952,0.125007204196,0.00781280028334
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,552626216.848,8766537.48659,552626216.848,558825094.952,546427338.744,547047226.554,558205207.142,2.0,76852179503800.0,1.74117872884e-13,125,0.125354107649,0.125002399524,0.125007204196,0.00195880841739
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,515798342.5,4499069.95412,515798342.5,518979665.374,512617019.627,512935151.914,518661533.087,2.0,20241630452000.0,1.74117872884e-13,70,0.25,0.250005865503,0.125007204196,0.00781313356976
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,465299898.619,2325804.66169,465299898.619,466944490.867,463655306.371,463819765.596,466780031.642,2.0,5409367324340.0,1.74117872884e-13,95,0.25,0.250004799048,0.125007204196,0.00781310024112
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,423763638.635,829951.306661,423763638.635,424350502.832,423176774.438,423235460.858,424291816.413,2.0,688819171429.0,1.74117872884e-13,120,0.25,0.125002399524,0.125007204196,0.00390655012056
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,401256029.868,13120978.3467,401256029.868,410533962.633,391978097.103,392905890.379,409606169.356,2.0,172160072775000.0,1.74117872884e-13,40,0.25,0.249995200952,0.125007204196,0.00781280028334
