npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1012316861.3,855273.193697,1012316861.3,1012921630.78,1011712091.83,1011772568.78,1012861153.83,2.0,731492235857.0,0.125007204196,8.705791516489999e-14,0.124996134146,25,0.125354107649,0.00195871023787
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,927541408.492,7237933.10958,927541408.492,932659400.075,922423416.908,922935216.067,932147600.917,2.0,52387675698800.0,0.125007204196,8.705791516489999e-14,0.249997067283,50,0.125354107649,0.00391749567674
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,833746801.39,12362039.4265,833746801.39,842488083.298,825005519.483,825879647.673,841613955.107,2.0,152820018781000.0,0.125007204196,8.705791516489999e-14,0.250002399496,75,0.125354107649,0.0039175792334
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,823573870.51,955509.031113,823573870.51,824249517.425,822898223.595,822965788.286,824181952.734,2.0,912997508539.0,0.125007204196,8.705791516489999e-14,0.124996134146,20,0.25,0.00390635431621
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,777540322.865,14620389.3936,777540322.865,787878499.349,767202146.381,768235964.029,786844681.7,2.0,213755786022000.0,0.125007204196,8.705791516489999e-14,0.249997067283,45,0.25,0.00781285860954
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,731198064.794,6119635.66211,731198064.794,735525300.669,726870828.918,727303552.506,735092577.081,2.0,37449940636900.0,0.125007204196,8.705791516489999e-14,0.250002932717,100,0.125354107649,0.00391758758907
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,694721878.221,3316191.11341,694721878.221,697066779.445,692376976.997,692611467.12,696832289.323,2.0,10997123500600.0,0.249985591609,8.705791516489999e-14,0.124996134146,19,0.25,0.0078118081358
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,680640617.05,18235746.0722,680640617.05,693535236.757,667745997.342,669035459.313,692245774.787,2.0,332542434809000.0,0.125007204196,8.705791516489999e-14,0.250002399496,70,0.25,0.0078130252508
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,640729216.197,12263860.68,640729216.197,649401075.247,632057357.147,632924543.052,648533889.342,2.0,150402278779000.0,0.125007204196,8.705791516489999e-14,0.125001466359,125,0.125354107649,0.00195879379453
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,632971504.026,3855115.07174,632971504.026,635697482.036,630245526.017,630518123.818,635424884.235,2.0,14861912216400.0,0.125007204196,8.705791516489999e-14,0.124996134146,15,0.25,0.00390635431621
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,610550889.768,4500126.28602,610550889.768,613732959.581,607368819.954,607687026.936,613414752.599,2.0,20251136590200.0,0.249985591609,8.705791516489999e-14,0.249997067283,44,0.25,0.0156239161913
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,608320211.743,9161496.42766,608320211.743,614798367.992,601842055.493,602489871.118,614150552.367,2.0,83933016794000.0,0.125007204196,8.705791516489999e-14,0.249997067283,40,0.25,0.00781285860954
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,593175564.172,5728569.98503,593175564.172,597226274.855,589124853.489,589529924.558,596821203.787,2.0,32816514073400.0,0.125007204196,8.705791516489999e-14,0.250002932717,95,0.25,0.00781304191492
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,515964789.972,9369767.03254,515964789.972,522590215.778,509339364.165,510001906.745,521927673.198,2.0,87792534244000.0,0.249985591609,8.705791516489999e-14,0.250002399496,69,0.25,0.0156242494354
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,515655994.164,85648.6525765,515655994.164,515716556.907,515595431.421,515601487.696,515710500.633,2.0,7335691688.17,0.125007204196,8.705791516489999e-14,0.250002399496,65,0.25,0.0078130252508
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,512448585.07,6465209.06251,512448585.07,517020178.24,507876991.901,508334151.218,516563018.923,2.0,41798928221900.0,0.249985591609,8.705791516489999e-14,0.124996134146,14,0.25,0.0078118081358
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,486678886.695,5505307.33035,486678886.695,490571726.841,482786046.549,483175330.564,490182442.826,2.0,30308408801600.0,0.125007204196,8.705791516489999e-14,0.125001466359,120,0.25,0.00390652095746
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,479260645.315,12425197.7983,479260645.315,488046586.936,470474703.694,471353297.856,487167992.774,2.0,154385540327000.0,0.249985591609,8.705791516489999e-14,0.249997067283,39,0.25,0.0156239161913
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,446050385.262,3029964.74071,446050385.262,448192893.877,443907876.647,444122127.509,447978643.015,2.0,9180686329940.0,0.125007204196,8.705791516489999e-14,0.124996134146,10,0.25,0.00390635431621
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,435363507.324,2310515.87813,435363507.324,436997288.769,433729725.878,433893104.023,436833910.624,2.0,5338483623110.0,0.125007204196,8.705791516489999e-14,0.249997067283,35,0.25,0.00781285860954
