npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1861140539.94,169317.750725,1861140539.94,1861260265.67,1861020814.21,1861032786.78,1861248293.1,2.0,28668500710.5,8.705791516489999e-14,0.00194764407834,1,0.124996134146,0.125007204196,0.124645892351
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1771900878.51,90712.9442586,1771900878.51,1771965022.25,1771836734.77,1771843149.15,1771958607.87,2.0,8228838256.06,8.705791516489999e-14,0.0038953629328,26,0.249997067283,0.125007204196,0.124645892351
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1735081396.89,3940197.15134,1735081396.89,1737867537.01,1732295256.76,1732573870.77,1737588923.0,2.0,15525153591500.0,8.705791516489999e-14,0.00781270863241,7,0.124996134146,0.250014408391,0.25
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1677656341.15,725417.302073,1677656341.15,1678169288.64,1677143393.66,1677194688.41,1678117993.89,2.0,526230262147.0,8.705791516489999e-14,0.00389544601739,51,0.250002399496,0.125007204196,0.124645892351
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1649246259.38,950082.879397,1649246259.38,1649918069.42,1648574449.33,1648641630.33,1649850888.42,2.0,902657477724.0,8.705791516489999e-14,0.0156257172191,32,0.249997067283,0.250014408391,0.25
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1620825879.65,6061381.52598,1620825879.65,1625111923.63,1616539835.67,1616968440.07,1624683319.23,2.0,36740346003400.0,8.705791516489999e-14,0.0078118081358,13,0.124996134146,0.249985591609,0.25
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1583053228.49,319515.997484,1583053228.49,1583279160.41,1582827296.56,1582849889.75,1583256567.22,2.0,102090472648.0,8.705791516489999e-14,0.00389545432585,76,0.250002932717,0.125007204196,0.124645892351
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1556291623.61,1662964.22334,1556291623.61,1557467516.89,1555115730.33,1555233319.66,1557349927.56,2.0,2765450008120.0,8.705791516489999e-14,0.0156260505016,57,0.250002399496,0.250014408391,0.25
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1553706153.64,1880737.78901,1553706153.64,1555036036.08,1552376271.19,1552509259.44,1554903047.84,2.0,3537174631030.0,8.705791516489999e-14,0.00389528815667,2,0.124996134146,0.250014408391,0.124645892351
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1538505063.08,1552939.17724,1538505063.08,1539603156.9,1537406969.26,1537516778.64,1539493347.52,2.0,2411620088210.0,8.705791516489999e-14,0.00779072586561,27,0.249997067283,0.250014408391,0.124645892351
