npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1850823248.88,102107.341979,1850823248.88,1850895449.67,1850751048.08,1850758268.16,1850888229.59,2.0,10425909285.9,1,0.124991734973,0.00194757553204,0.124645892351,0.125007204196,1.74117872884e-13
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1803433017.03,199708.178679,1803433017.03,1803574232.04,1803291802.02,1803305923.52,1803560110.54,2.0,39883356631.5,26,0.249995200952,0.00389533385232,0.124645892351,0.125007204196,1.74117872884e-13
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1749957103.82,3838.9061804,1749957103.82,1749959818.34,1749954389.3,1749954660.75,1749959546.88,2.0,14737200.6619,51,0.250005865503,0.00389550002345,0.124645892351,0.125007204196,1.74117872884e-13
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1727158187.69,2393078.50964,1727158187.69,1728850349.73,1725466025.65,1725635241.85,1728681133.53,2.0,5726824753320.0,7,0.124991734973,0.00781243366828,0.25,0.250014408391,1.74117872884e-13
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1697227787.44,80094.5044253,1697227787.44,1697284422.8,1697171152.07,1697176815.6,1697278759.27,2.0,6415129639.14,76,0.250004799048,0.00389548340634,0.124645892351,0.125007204196,1.74117872884e-13
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1684847019.59,862172.922406,1684847019.59,1685456667.91,1684237371.27,1684298336.1,1685395703.08,2.0,743342148131.0,32,0.249995200952,0.0156256005667,0.25,0.250014408391,1.74117872884e-13
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1644132427.88,312210.842606,1644132427.88,1644353194.28,1643911661.47,1643933738.11,1644331117.64,2.0,97475610241.0,101,0.125002399524,0.00194774170317,0.124645892351,0.125007204196,1.74117872884e-13
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1630631025.99,2233244.78569,1630631025.99,1632210168.53,1629051883.46,1629209797.71,1632052254.27,2.0,4987382272810.0,57,0.250005865503,0.0156262671395,0.25,0.250014408391,1.74117872884e-13
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1611729663.81,1767070.61974,1611729663.81,1612979171.43,1610480156.19,1610605106.95,1612854220.67,2.0,3122538575150.0,13,0.124991734973,0.00781153320336,0.25,0.249985591609,1.74117872884e-13
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1577101615.21,1289962.82202,1577101615.21,1578013756.67,1576189473.75,1576280687.9,1577922542.52,2.0,1664004082190.0,82,0.250004799048,0.0156262004822,0.25,0.250014408391,1.74117872884e-13
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1571091322.01,1525247.08009,1571091322.01,1572169834.56,1570012809.46,1570120660.71,1572061983.31,2.0,2326378655330.0,27,0.249995200952,0.00779066770464,0.124645892351,0.250014408391,1.74117872884e-13
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1564703035.65,3440387.75202,1564703035.65,1567135757.16,1562270314.14,1562513586.3,1566892485.01,2.0,11836267884300.0,38,0.249995200952,0.0156237995523,0.25,0.249985591609,1.74117872884e-13
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1542349332.04,1785703.79981,1542349332.04,1543612015.31,1541086648.78,1541212917.1,1543485746.98,2.0,3188738060660.0,2,0.124991734973,0.00389515106407,0.124645892351,0.250014408391,1.74117872884e-13
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1525592089.07,1205140.38429,1525592089.07,1526444252.01,1524739926.13,1524825142.43,1526359035.71,2.0,1452363345840.0,107,0.125002399524,0.00781310024112,0.25,0.250014408391,1.74117872884e-13
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1519804550.21,4312158.95108,1519804550.21,1522853707.04,1516755393.37,1517060309.06,1522548791.36,2.0,18594714819400.0,52,0.250005865503,0.0077910000469,0.124645892351,0.250014408391,1.74117872884e-13
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1515917578.69,6670200.48444,1515917578.69,1520634122.68,1511201034.69,1511672689.09,1520162468.28,2.0,44491574502600.0,63,0.250005865503,0.0156244660483,0.25,0.249985591609,1.74117872884e-13
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1509107434.07,4373032.94468,1509107434.07,1512199635.32,1506015232.82,1506324452.95,1511890415.2,2.0,19123417135300.0,19,0.124991734973,0.00781153320336,0.25,0.249985591609,1.74117872884e-13
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1464254501.55,2858980.90277,1464254501.55,1466276106.33,1462232896.77,1462435057.24,1466073945.85,2.0,8173771802380.0,88,0.250004799048,0.0156243993987,0.25,0.249985591609,1.74117872884e-13
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1464150721.63,220285.921362,1464150721.63,1464306487.3,1463994955.97,1464010532.53,1464290910.74,2.0,48525887150.4,77,0.250004799048,0.00779096681268,0.124645892351,0.250014408391,1.74117872884e-13
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1459085819.63,68975.8678261,1459085819.63,1459134592.93,1459037046.32,1459041923.65,1459129715.6,2.0,4757670342.36,44,0.249995200952,0.0156237995523,0.25,0.249985591609,1.74117872884e-13
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1451973703.97,5768569.34,1451973703.97,1456052698.47,1447894709.48,1448302608.93,1455644799.02,2.0,33276392230400.0,33,0.249995200952,0.0156237995523,0.25,0.249985591609,1.74117872884e-13
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1451721824.57,982161.59766,1451721824.57,1452416317.7,1451027331.45,1451096780.76,1452346868.39,2.0,964641403918.0,25,0.124991734973,0.0019586413021,0.125354107649,0.125007204196,1.74117872884e-13
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1431693206.13,1134446.13053,1431693206.13,1432495380.68,1430891031.58,1430971249.03,1432415163.22,2.0,1286968023070.0,8,0.124991734973,0.00781153320336,0.25,0.249985591609,1.74117872884e-13
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1415434365.9,4026527.77276,1415434365.9,1418281551.0,1412587180.81,1412871899.32,1417996832.49,2.0,16212925904800.0,102,0.125002399524,0.00389548340634,0.124645892351,0.250014408391,1.74117872884e-13
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1415294087.76,4581549.79023,1415294087.76,1418533732.68,1412054442.83,1412378407.32,1418209768.19,2.0,20990598480300.0,69,0.250005865503,0.0156244660483,0.25,0.249985591609,1.74117872884e-13
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1407102887.87,2204661.30911,1407102887.87,1408661818.83,1405543956.91,1405699850.0,1408505925.74,2.0,4860531487900.0,113,0.125002399524,0.00781219969937,0.25,0.249985591609,1.74117872884e-13
