npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2580984716.45,79396.1105697,2580984716.45,2581040857.97,2580928574.92,2580934189.07,2581035243.82,2.0,6303742373.6,0.124996134146,1,8.705791516489999e-14,0.00194764407834,0.124645892351,0.125007204196
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2492289478.31,17316.4306056,2492289478.31,2492301722.88,2492277233.75,2492278458.2,2492300498.42,2.0,299858768.919,0.249997067283,26,8.705791516489999e-14,0.0038953629328,0.124645892351,0.125007204196
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2397888545.07,141474.147791,2397888545.07,2397988582.4,2397788507.74,2397798511.47,2397978578.67,2.0,20014934493.3,0.250002399496,51,8.705791516489999e-14,0.00389544601739,0.124645892351,0.125007204196
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2311615528.68,626130.722538,2311615528.68,2312058269.96,2311172787.4,2311217061.53,2312013995.83,2.0,392039681706.0,0.124996134146,7,8.705791516489999e-14,0.00781270863241,0.25,0.250014408391
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2303007236.22,97258.9587282,2303007236.22,2303076008.69,2302938463.75,2302945341.0,2303069131.45,2.0,9459305052.88,0.250002932717,76,8.705791516489999e-14,0.00389545432585,0.124645892351,0.125007204196
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2226663586.37,121845.118818,2226663586.37,2226749743.88,2226577428.86,2226586044.61,2226741128.13,2.0,14846232979.8,0.249997067283,32,8.705791516489999e-14,0.0156257172191,0.25,0.250014408391
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2207561306.3,779579.799191,2207561306.3,2208112552.46,2207010060.14,2207065184.76,2208057427.85,2.0,607744663307.0,0.125001466359,101,8.705791516489999e-14,0.00194772716293,0.124645892351,0.125007204196
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2130524741.45,1477676.034,2130524741.45,2131569616.19,2129479866.7,2129584354.18,2131465128.72,2.0,2183526461440.0,0.250002399496,57,8.705791516489999e-14,0.0156260505016,0.25,0.250014408391
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2128229770.76,2028829.70753,2128229770.76,2129664370.0,2126795171.51,2126938631.44,2129520910.08,2.0,4116149982140.0,0.124996134146,2,8.705791516489999e-14,0.00389528815667,0.124645892351,0.250014408391
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2115507932.31,5826367.63606,2115507932.31,2119627796.37,2111388068.24,2111800054.65,2119215809.96,2.0,33946559830600.0,0.249997067283,27,8.705791516489999e-14,0.00779072586561,0.124645892351,0.250014408391
