npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1253168383.36,10287.3295671,1253168383.36,1253175657.6,1253161109.12,1253161836.54,1253174930.18,2.0,105829149.623,1.0563053673200001e-12,1,0.125027109087,0.00195854338395,0.125333333333,0.12498630137
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1233442624.56,42520.3933711,1233442624.56,1233472691.02,1233412558.11,1233415564.75,1233469684.38,2.0,1807983852.44,1.0563053673200001e-12,26,0.125027109087,0.00391737297911,0.125333333333,0.24999086758
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1211150364.22,73819.0642951,1211150364.22,1211202562.18,1211098166.26,1211103386.05,1211197342.38,2.0,5449254253.41,1.0563053673200001e-12,51,0.125027109087,0.00391765919034,0.125333333333,0.25000913242
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1188874684.48,41565.6676733,1188874684.48,1188904075.85,1188845293.12,1188848232.25,1188901136.71,2.0,1727704729.13,1.0563053673200001e-12,76,0.125027109087,0.00391765919034,0.125333333333,0.25000913242
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1166487589.16,65596.8612978,1166487589.16,1166533973.15,1166441205.17,1166445843.57,1166529334.75,2.0,4302948212.13,1.0563053673200001e-12,101,0.125027109087,0.00195882959517,0.125333333333,0.12500456621
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1081758301.7,373160.99007,1081758301.7,1082022166.37,1081494437.04,1081520823.5,1081995779.9,2.0,139249124510.0,1.0563053673200001e-12,7,0.25,0.00783247488584,0.250666666667,0.12498630137
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1062750403.45,117363.530368,1062750403.45,1062833392.0,1062667414.9,1062675713.76,1062825093.14,2.0,13774198260.5,1.0563053673200001e-12,32,0.25,0.0156660943683,0.250666666667,0.24999086758
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1040616790.54,262152.559754,1040616790.54,1040802160.4,1040431420.69,1040449957.68,1040783623.41,2.0,68723964585.5,1.0563053673200001e-12,57,0.25,0.015667238965,0.250666666667,0.25000913242
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1018362170.98,195246.401156,1018362170.98,1018500231.04,1018224110.93,1018237916.93,1018486425.03,2.0,38121157164.2,1.0563053673200001e-12,82,0.25,0.015667238965,0.250666666667,0.25000913242
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1010116111.63,749067.828272,1010116111.63,1010645782.57,1009586440.68,1009639407.78,1010592815.47,2.0,561102611352.0,1.0563053673200001e-12,27,0.25,0.00783304718417,0.125333333333,0.24999086758
