npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,715506145.257,6902.47010457,715506145.257,715511026.041,715501264.474,715501752.552,715510537.962,2.0,47644093.5445,0.12498630137,1,0.00195854338395,0.125027109087,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,688074118.771,23582.401065,688074118.771,688090794.046,688057443.495,688059111.022,688089126.519,2.0,556129639.988,0.24999086758,26,0.00391737297911,0.125027109087,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,659363609.792,19030.1156021,659363609.792,659377066.116,659350153.468,659351499.101,659375720.484,2.0,362145299.829,0.25000913242,51,0.00391765919034,0.125027109087,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,630776507.248,3037.32537775,630776507.248,630778654.961,630774359.535,630774574.306,630778440.19,2.0,9225345.45032,0.25000913242,76,0.00391765919034,0.125027109087,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,602122163.196,6320.38313077,602122163.196,602126632.382,602117694.01,602118140.929,602126185.463,2.0,39947242.9197,0.12500456621,101,0.00195882959517,0.125027109087,1.0563053673200001e-12,0.125333333333
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,553349715.643,43779.5951511,553349715.643,553380672.492,553318758.795,553321854.479,553377576.807,2.0,1916652951.6,0.12498630137,7,0.00783247488584,0.25,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,526546820.407,140033.729107,526546820.407,526645839.207,526447801.608,526457703.488,526635937.327,2.0,19609445287.7,0.24999086758,32,0.0156660943683,0.25,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,497805273.941,92922.5262485,497805273.941,497870980.089,497739567.793,497746138.407,497864409.475,2.0,8634595884.41,0.25000913242,57,0.015667238965,0.25,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,469145926.839,112774.684579,469145926.839,469225670.583,469066183.095,469074157.469,469217696.209,2.0,12718129482.0,0.25000913242,82,0.015667238965,0.25,1.0563053673200001e-12,0.250666666667
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,455063317.767,51931.5441141,455063317.767,455100038.914,455026596.62,455030268.735,455096366.799,2.0,2696885274.08,0.12498630137,2,0.00391623744292,0.25,1.0563053673200001e-12,0.125333333333
